Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,12.7708768,original
2006-01-02,12.5726592,original
2006-01-03,12.2894912,original
2006-01-04,12.1479072,original
2006-01-05,11.9496896,original
2006-01-06,11.751472,original
2006-01-07,11.723155199999999,original
2006-01-08,11.6665216,original
2006-01-09,11.6382048,original
2006-01-10,11.609888,original
2006-01-11,11.5532544,original
2006-01-12,11.52808391111111,original
2006-01-13,12.2045408,original
2006-01-14,18.175846,original
2006-01-15,17.120216782978723,original
2006-01-16,14.242760466666667,original
2006-01-17,14.636835933333334,original
2006-01-18,19.317367,original
2006-01-19,23.988459133333333,original
2006-01-20,21.204563733333334,original
2006-01-21,16.650868333333335,original
2006-01-22,14.768981,original
2006-01-23,23.1348256,original
2006-01-24,23.3896768,original
2006-01-25,23.7294784,original
2006-01-26,22.1738242,original
2006-01-27,17.2449312,original
2006-01-28,15.5954776,original
2006-01-29,16.532291733333334,original
2006-01-30,19.712622333333336,original
2006-01-31,47.40114333333333,original
2006-02-01,40.64050733333333,original
2006-02-02,49.4676798,original
2006-02-03,116.665216,original
2006-02-04,137.64374740425532,original
2006-02-05,76.45536,original
2006-02-06,41.908864,original
2006-02-07,32.393239333333334,original
2006-02-08,26.512193933333332,original
2006-02-09,23.341302266666666,original
2006-02-10,20.654745866666666,original
2006-02-11,77.304864,original
2006-02-12,103.49200466666666,original
2006-02-13,76.172192,original
2006-02-14,55.093874,original
2006-02-15,33.413824,original
2006-02-16,28.035991733333333,original
2006-02-17,23.852774466666666,original
2006-02-18,21.502480066666664,original
2006-02-19,20.0836904,original
2006-02-20,18.388222,original
2006-02-21,17.9528512,original
2006-02-22,17.795339,original
2006-02-23,18.4218482,original
2006-02-24,18.6607712,original
2006-02-25,32.847488,original
2006-02-26,121.195904,original
2006-02-27,129.690944,original
2006-02-28,101.92677832258065,original
2006-03-01,52.669247999999996,original
2006-03-02,39.10078133333333,original
2006-03-03,28.599968,original
2006-03-04,25.347665533333334,original
2006-03-05,21.5490848,original
2006-03-06,19.4536416,original
2006-03-07,18.315070266666666,original
2006-03-08,17.1776788,original
2006-03-09,16.45914,original
2006-03-10,15.982473866666666,original
2006-03-11,23.1065088,original
2006-03-12,39.271862,original
2006-03-13,34.81786533333333,original
2006-03-14,24.210864,original
2006-03-15,21.930181733333335,original
2006-03-16,19.698463933333333,original
2006-03-17,17.0750304,original
2006-03-18,15.998992,original
2006-03-19,15.5069876,original
2006-03-20,15.0362208,original
2006-03-21,14.9229536,original
2006-03-22,60.597952,original
2006-03-23,94.90257533333333,original
2006-03-24,56.067264,original
