Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,2330.0681142857143,rating_curve_long_gap
2006-01-02,2245.1177142857146,rating_curve_long_gap
2006-01-03,2232.9819428571427,rating_curve_long_gap
2006-01-04,2257.253485714286,rating_curve_long_gap
2006-01-05,2305.7965714285715,rating_curve_long_gap
2006-01-06,2378.6112000000003,rating_curve_long_gap
2006-01-07,2451.4258285714286,rating_curve_long_gap
2006-01-08,2548.512,rating_curve_long_gap
2006-01-09,2597.0550857142853,rating_curve_long_gap
2006-01-10,2706.277028571428,rating_curve_long_gap
2006-01-11,2827.634742857143,rating_curve_long_gap
2006-01-12,3021.807085714286,rating_curve_long_gap
2006-01-13,3106.757485714286,rating_curve_long_gap
2006-01-14,3264.522514285714,rating_curve_long_gap
2006-01-15,3398.016,rating_curve_long_gap
2006-01-16,3519.3737142857144,rating_curve_long_gap
2006-01-17,3592.188342857143,rating_curve_long_gap
2006-01-18,3689.274514285714,rating_curve_long_gap
2006-01-19,3762.089142857143,rating_curve_long_gap
2006-01-20,3798.4964571428573,rating_curve_long_gap
2006-01-21,3810.632228571429,rating_curve_long_gap
2006-01-22,3847.0395428571433,rating_curve_long_gap
2006-01-23,3883.4468571428574,rating_curve_long_gap
2006-01-24,3980.533028571429,rating_curve_long_gap
2006-01-25,4198.976914285714,rating_curve_long_gap
2006-01-26,4550.914285714286,rating_curve_long_gap
2006-01-27,4975.666285714286,rating_curve_long_gap
2006-01-28,5315.467885714286,rating_curve_long_gap
2006-01-29,5752.355657142856,rating_curve_long_gap
2006-01-30,6286.3296,rating_curve_long_gap
2006-01-31,6917.389714285714,rating_curve_long_gap
2006-02-01,7050.883199999999,rating_curve_long_gap
2006-02-02,7281.462857142857,rating_curve_long_gap
2006-02-03,7609.128685714286,rating_curve_long_gap
2006-02-04,7839.708342857143,rating_curve_long_gap
2006-02-05,7876.115657142857,rating_curve_long_gap
2006-02-06,7791.1652571428585,rating_curve_long_gap
2006-02-07,7135.8336,rating_curve_long_gap
2006-02-08,6917.389714285714,rating_curve_long_gap
2006-02-09,6650.4027428571435,rating_curve_long_gap
2006-02-10,6359.144228571428,rating_curve_long_gap
2006-02-11,6189.243428571429,rating_curve_long_gap
2006-02-12,6140.7003428571425,rating_curve_long_gap
2006-02-13,5946.528,rating_curve_long_gap
2006-02-14,5873.713371428572,rating_curve_long_gap
2006-02-15,5849.441828571429,rating_curve_long_gap
2006-02-16,5740.219885714287,rating_curve_long_gap
2006-02-17,5630.997942857143,rating_curve_long_gap
2006-02-18,5485.368685714287,rating_curve_long_gap
2006-02-19,5315.467885714286,rating_curve_long_gap
2006-02-20,5121.295542857142,rating_curve_long_gap
2006-02-21,4854.308571428571,rating_curve_long_gap
2006-02-22,4611.593142857143,rating_curve_long_gap
2006-02-23,4393.149257142857,rating_curve_long_gap
2006-02-24,4247.5199999999995,rating_curve_long_gap
2006-02-25,4271.791542857143,rating_curve_long_gap
2006-02-26,4356.741942857143,rating_curve_long_gap
2006-02-27,4429.556571428571,rating_curve_long_gap
2006-02-28,4514.506971428572,rating_curve_long_gap
2006-03-01,4550.914285714286,rating_curve_long_gap
2006-03-02,4526.642742857143,rating_curve_long_gap
2006-03-03,4429.556571428571,rating_curve_long_gap
2006-03-04,4332.470399999999,rating_curve_long_gap
2006-03-05,4235.384228571429,rating_curve_long_gap
2006-03-06,4114.026514285714,rating_curve_long_gap
2006-03-07,3980.533028571429,rating_curve_long_gap
2006-03-08,3810.632228571429,rating_curve_long_gap
2006-03-09,3689.274514285714,rating_curve_long_gap
2006-03-10,3555.7810285714286,rating_curve_long_gap
2006-03-11,3495.1021714285716,rating_curve_long_gap
2006-03-12,3361.608685714286,rating_curve_long_gap
2006-03-13,3300.929828571429,rating_curve_long_gap
2006-03-14,3276.6582857142857,rating_curve_long_gap
2006-03-15,3300.929828571429,rating_curve_long_gap
2006-03-16,3361.608685714286,rating_curve_long_gap
2006-03-17,3580.052571428572,rating_curve_long_gap
2006-03-18,3883.4468571428574,rating_curve_long_gap
2006-03-19,4381.013485714286,rating_curve_long_gap
2006-03-20,4999.937828571429,rating_curve_long_gap
2006-03-21,6067.885714285714,rating_curve_long_gap
2006-03-22,6990.204342857143,rating_curve_long_gap
2006-03-23,7572.721371428571,rating_curve_long_gap
2006-03-24,8009.6091428571435,rating_curve_long_gap
2006-03-25,8458.632685714287,rating_curve_long_gap
2006-03-26,8822.705828571428,rating_curve_long_gap
2006-03-27,8907.65622857143,rating_curve_long_gap
2006-03-28,8919.792,rating_curve_long_gap
2006-03-29,8786.298514285714,rating_curve_long_gap
2006-03-30,8555.718857142858,rating_curve_long_gap
2006-03-31,8009.6091428571435,rating_curve_long_gap
2006-04-01,7499.9067428571425,rating_curve_long_gap
2006-04-02,7063.018971428572,rating_curve_long_gap
2006-04-03,6601.859657142858,rating_curve_long_gap
2006-04-04,6128.564571428571,rating_curve_long_gap
2006-04-05,5703.8125714285725,rating_curve_long_gap
2006-04-06,5254.789028571429,rating_curve_long_gap
2006-04-07,4914.987428571429,rating_curve_long_gap
2006-04-08,4623.728914285714,rating_curve_long_gap
2006-04-09,4405.285028571429,rating_curve_long_gap
2006-04-10,4271.791542857143,rating_curve_long_gap
2006-04-11,4174.705371428571,rating_curve_long_gap
2006-04-12,4138.298057142857,rating_curve_long_gap
2006-04-13,4174.705371428571,rating_curve_long_gap
2006-04-14,4223.248457142857,rating_curve_long_gap
2006-04-15,4247.5199999999995,rating_curve_long_gap
2006-04-16,4429.556571428571,rating_curve_long_gap
2006-04-17,4708.679314285714,rating_curve_long_gap
2006-04-18,4999.937828571429,rating_curve_long_gap
2006-04-19,5145.567085714287,rating_curve_long_gap
2006-04-20,5242.653257142857,rating_curve_long_gap
2006-04-21,5291.1963428571435,rating_curve_long_gap
2006-04-22,5315.467885714286,rating_curve_long_gap
2006-04-23,5266.9248,rating_curve_long_gap
2006-04-24,5218.381714285715,rating_curve_long_gap
