Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,-7.349014777278578,rating_curve_long_gap
2006-01-02,-2.8510480847932724,rating_curve_long_gap
2006-01-03,0.0006985608753389272,rating_curve_long_gap
2006-01-04,-1.402788387589946,rating_curve_long_gap
2006-01-05,2.573496791240455,rating_curve_long_gap
2006-01-06,0.7553871458563499,rating_curve_long_gap
2006-01-07,-3.5506175834034215,rating_curve_long_gap
2006-01-08,-5.868106239026183,rating_curve_long_gap
2006-01-09,-3.5120275783853083,rating_curve_long_gap
2006-01-10,-1.104675804559812,rating_curve_long_gap
2006-01-11,-2.6978186076356874,rating_curve_long_gap
2006-01-12,-3.0360480756957546,rating_curve_long_gap
2006-01-13,0.19236131751403462,rating_curve_long_gap
2006-01-14,0.271483468414381,rating_curve_long_gap
2006-01-15,-2.695676101954228,rating_curve_long_gap
2006-01-16,-4.552046198431141,rating_curve_long_gap
2006-01-17,8.42645530737375,rating_curve_long_gap
2006-01-18,8.209733455994712,rating_curve_long_gap
2006-01-19,6.8718825219234265,rating_curve_long_gap
2006-01-20,6.776934273923427,rating_curve_long_gap
2006-01-21,8.208425991147646,rating_curve_long_gap
2006-01-22,2.939280098279715,rating_curve_long_gap
2006-01-23,8.180570013058489,rating_curve_long_gap
2006-01-24,5.748014236877923,rating_curve_long_gap
2006-01-25,4.820435544266468,rating_curve_long_gap
2006-01-26,1.5664799948518109,rating_curve_long_gap
2006-01-27,-0.5418742825917242,rating_curve_long_gap
2006-01-28,-3.021365527367996,rating_curve_long_gap
2006-01-29,8.632342612026225,rating_curve_long_gap
2006-01-30,12.164666560972105,rating_curve_long_gap
2006-01-31,5.705552014891449,rating_curve_long_gap
2006-02-01,4.951576883992976,rating_curve_long_gap
2006-02-02,46.64975712727641,rating_curve_long_gap
2006-02-03,51.141355836613904,rating_curve_long_gap
2006-02-04,48.71687091425495,rating_curve_long_gap
2006-02-05,48.21449400898804,rating_curve_long_gap
2006-02-06,43.81183174046193,rating_curve_long_gap
2006-02-07,34.657337104643446,rating_curve_long_gap
2006-02-08,26.449792746128132,rating_curve_long_gap
2006-02-09,22.044583324030857,rating_curve_long_gap
2006-02-10,17.61844033187585,rating_curve_long_gap
2006-02-11,25.55578591192053,rating_curve_long_gap
2006-02-12,17.972958060221423,rating_curve_long_gap
2006-02-13,12.72702453595835,rating_curve_long_gap
2006-02-14,12.069856513999174,rating_curve_long_gap
2006-02-15,10.213169007868032,rating_curve_long_gap
2006-02-16,8.596461676877926,rating_curve_long_gap
2006-02-17,10.420368515373749,rating_curve_long_gap
2006-02-18,6.709838793864387,rating_curve_long_gap
2006-02-19,1.9225246450368623,rating_curve_long_gap
2006-02-20,1.5538457057999118,rating_curve_long_gap
2006-02-21,0.9189042998625538,rating_curve_long_gap
2006-02-22,-0.557504964876613,rating_curve_long_gap
2006-02-23,4.500950714524141,rating_curve_long_gap
2006-02-24,0.4436058376993337,rating_curve_long_gap
2006-02-25,4.079735070683794,rating_curve_long_gap
2006-02-26,10.827895817291505,rating_curve_long_gap
2006-02-27,5.101748991432492,rating_curve_long_gap
2006-02-28,3.791773528028207,rating_curve_long_gap
2006-03-01,3.2396810924118356,rating_curve_long_gap
2006-03-02,6.492279451890536,rating_curve_long_gap
2006-03-03,9.267497366797116,rating_curve_long_gap
2006-03-04,7.229873470450549,rating_curve_long_gap
2006-03-05,3.631756772683296,rating_curve_long_gap
2006-03-06,2.657079396626248,rating_curve_long_gap
2006-03-07,1.5836299392887874,rating_curve_long_gap
2006-03-08,-10.13127563253521,rating_curve_long_gap
2006-03-09,-4.331817805208085,rating_curve_long_gap
2006-03-10,0.8635857374904319,rating_curve_long_gap
2006-03-11,-6.6720978855665996,rating_curve_long_gap
2006-03-12,-3.24488909830807,rating_curve_long_gap
2006-03-13,3.8681170301769825,rating_curve_long_gap
2006-03-14,10.590525197291505,rating_curve_long_gap
2006-03-15,-1.6456285646699484,rating_curve_long_gap
2006-03-16,-0.12503771287880383,rating_curve_long_gap
2006-03-17,4.087790745403437,rating_curve_long_gap
2006-03-18,2.8851645928734637,rating_curve_long_gap
2006-03-19,-0.7999738806547132,rating_curve_long_gap
2006-03-20,-3.425897993653531,rating_curve_long_gap
2006-03-21,4.3404666339983144,rating_curve_long_gap
2006-03-22,2.592975033152623,rating_curve_long_gap
2006-03-23,2.174323172456363,rating_curve_long_gap
2006-03-24,-0.9436409199380691,rating_curve_long_gap
2006-03-25,-2.049922089132221,rating_curve_long_gap
2006-03-26,-0.7248828125598124,rating_curve_long_gap
2006-03-27,-1.177749668326605,rating_curve_long_gap
2006-03-28,1.2445491387256862,rating_curve_long_gap
2006-03-29,-0.16524333130587188,rating_curve_long_gap
2006-03-30,-7.034929950027122,rating_curve_long_gap
2006-03-31,-4.607590257301004,rating_curve_long_gap
2006-04-01,-1.8690892531637768,rating_curve_long_gap
2006-04-02,-5.98256389834312,rating_curve_long_gap
2006-04-03,0.5517495455152268,rating_curve_long_gap
2006-04-04,2.897132408806968,rating_curve_long_gap
2006-04-05,-2.892898793922976,rating_curve_long_gap
2006-04-06,-10.185387312502437,rating_curve_long_gap
2006-04-07,-8.470412159438357,rating_curve_long_gap
2006-04-08,7.082906191065703,rating_curve_long_gap
2006-04-09,5.0135957038105765,rating_curve_long_gap
2006-04-10,0.37818565057881415,rating_curve_long_gap
2006-04-11,-2.0913419560049746,rating_curve_long_gap
2006-04-12,-1.3534297893521527,rating_curve_long_gap
2006-04-13,-1.158281522480972,rating_curve_long_gap
2006-04-14,-5.715521882679143,rating_curve_long_gap
2006-04-15,-9.41142049687412,rating_curve_long_gap
