Date,Discharge (m3/s),Discharge_filled_method,period
2006-01-01,5.5500928,original,pre-2016
2006-01-02,5.521776,original,pre-2016
2006-01-03,5.5500928,original,pre-2016
2006-01-04,5.4934592,original,pre-2016
2006-01-05,4.6722719999999995,original,pre-2016
2006-01-06,5.0403904,original,pre-2016
2006-01-07,5.1253408,original,pre-2016
2006-01-08,5.3518752,original,pre-2016
2006-01-09,5.521776,original,pre-2016
2006-01-10,5.6350432,original,pre-2016
2006-01-11,5.5784096,original,pre-2016
2006-01-12,5.66336,original,pre-2016
2006-01-13,5.9182112,original,pre-2016
2006-01-14,5.804944,original,pre-2016
2006-01-15,5.5784096,original,pre-2016
2006-01-16,5.6067264,original,pre-2016
2006-01-17,6.1447456,original,pre-2016
2006-01-18,5.804944,original,pre-2016
2006-01-19,5.804944,original,pre-2016
2006-01-20,5.946528,original,pre-2016
2006-01-21,6.0597952,original,pre-2016
2006-01-22,6.8526656,original,pre-2016
2006-01-23,8.2685056,original,pre-2016
2006-01-24,6.9942496,original,pre-2016
2006-01-25,6.2863296,original,pre-2016
2006-01-26,5.9748448,original,pre-2016
2006-01-27,5.9182112,original,pre-2016
2006-01-28,6.0031616,original,pre-2016
2006-01-29,6.37128,original,pre-2016
2006-01-30,6.3429632,original,pre-2016
2006-01-31,6.1447456,original,pre-2016
2006-02-01,6.229696,original,pre-2016
2006-02-02,11.4966208,original,pre-2016
2006-02-03,8.7498912,original,pre-2016
2006-02-04,7.3906848,original,pre-2016
2006-02-05,6.796032,original,pre-2016
2006-02-06,6.8526656,original,pre-2016
2006-02-07,6.6827648,original,pre-2016
2006-02-08,5.9748448,original,pre-2016
2006-02-09,6.0031616,original,pre-2016
2006-02-10,6.2863296,original,pre-2016
2006-02-11,8.353456,original,pre-2016
2006-02-12,7.1358336,original,pre-2016
2006-02-13,6.8243488,original,pre-2016
2006-02-14,6.7677152,original,pre-2016
2006-02-15,6.6827648,original,pre-2016
2006-02-16,6.7110816,original,pre-2016
2006-02-17,6.9092991999999995,original,pre-2016
2006-02-18,6.8243488,original,pre-2016
2006-02-19,6.6827648,original,pre-2016
2006-02-20,6.6827648,original,pre-2016
2006-02-21,6.5978144,original,pre-2016
2006-02-22,6.4562304,original,pre-2016
2006-02-23,6.5128639999999995,original,pre-2016
2006-02-24,6.2863296,original,pre-2016
2006-02-25,7.2774176,original,pre-2016
2006-02-26,7.7021695999999995,original,pre-2016
2006-02-27,6.796032,original,pre-2016
2006-02-28,6.4279136,original,pre-2016
2006-03-01,6.37128,original,pre-2016
2006-03-02,6.3146464,original,pre-2016
2006-03-03,6.3429632,original,pre-2016
2006-03-04,6.2013792,original,pre-2016
2006-03-05,6.2013792,original,pre-2016
2006-03-06,6.2580127999999995,original,pre-2016
2006-03-07,6.1730624,original,pre-2016
2006-03-08,6.088112,original,pre-2016
2006-03-09,5.946528,original,pre-2016
2006-03-10,6.088112,original,pre-2016
2006-03-11,6.0314784,original,pre-2016
2006-03-12,6.0031616,original,pre-2016
2006-03-13,6.088112,original,pre-2016
2006-03-14,5.9182112,original,pre-2016
2006-03-15,5.8898944,original,pre-2016
2006-03-16,5.8898944,original,pre-2016
2006-03-17,6.0597952,original,pre-2016
2006-03-18,5.8332608,original,pre-2016
2006-03-19,5.9748448,original,pre-2016
2006-03-20,6.0597952,original,pre-2016
2006-03-21,6.1730624,original,pre-2016
2006-03-22,6.088112,original,pre-2016
2006-03-23,6.8809824,original,pre-2016
2006-03-24,6.937616,original,pre-2016
2006-03-25,6.5694976,original,pre-2016
2006-03-26,6.2863296,original,pre-2016
2006-03-27,6.37128,original,pre-2016
2006-03-28,5.9748448,original,pre-2016
2006-03-29,6.1447456,original,pre-2016
2006-03-30,6.5411808,original,pre-2016
2006-03-31,6.6544479999999995,original,pre-2016
2006-04-01,6.5694976,original,pre-2016
2006-04-02,6.37128,original,pre-2016
2006-04-03,6.1164287999999996,original,pre-2016
2006-04-04,6.0597952,original,pre-2016
2006-04-05,6.1447456,original,pre-2016
2006-04-06,6.2580127999999995,original,pre-2016
2006-04-07,6.229696,original,pre-2016
2006-04-08,6.2580127999999995,original,pre-2016
2006-04-09,6.0314784,original,pre-2016
2006-04-10,5.996082400000001,interpolated,pre-2016
2006-04-11,5.9606864,interpolated,pre-2016
2006-04-12,5.9252904,interpolated,pre-2016
2006-04-13,5.8898944,original,pre-2016
2006-04-14,5.7766272,original,pre-2016
2006-04-15,5.804944,original,pre-2016
2006-04-16,5.8332608,original,pre-2016
2006-04-17,5.9182112,original,pre-2016
2006-04-18,5.8898944,original,pre-2016
2006-04-19,5.9182112,original,pre-2016
2006-04-20,5.9748448,original,pre-2016
2006-04-21,6.088112,original,pre-2016
2006-04-22,6.1730624,original,pre-2016
2006-04-23,6.0031616,original,pre-2016
2006-04-24,6.0314784,original,pre-2016
2006-04-25,6.1730624,original,pre-2016
2006-04-26,6.8809824,original,pre-2016
2006-04-27,6.5694976,original,pre-2016
2006-04-28,6.3146464,original,pre-2016
2006-04-29,6.0597952,original,pre-2016
2006-04-30,6.6544479999999995,original,pre-2016
2006-05-01,6.7110816,original,pre-2016
2006-05-02,6.6261312,original,pre-2016
2006-05-03,6.4562304,original,pre-2016
2006-05-04,6.4845472,original,pre-2016
2006-05-05,6.4279136,original,pre-2016
2006-05-06,6.4279136,original,pre-2016
