Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,,unfillable_long_missing
2006-01-02,,unfillable_long_missing
2006-01-03,,unfillable_long_missing
2006-01-04,,unfillable_long_missing
2006-01-05,,unfillable_long_missing
2006-01-06,,unfillable_long_missing
2006-01-07,,unfillable_long_missing
2006-01-08,,unfillable_long_missing
2006-01-09,,unfillable_long_missing
2006-01-10,,unfillable_long_missing
2006-01-11,,unfillable_long_missing
2006-01-12,,unfillable_long_missing
2006-01-13,,unfillable_long_missing
2006-01-14,,unfillable_long_missing
2006-01-15,,unfillable_long_missing
2006-01-16,,unfillable_long_missing
2006-01-17,,unfillable_long_missing
2006-01-18,,unfillable_long_missing
2006-01-19,,unfillable_long_missing
2006-01-20,,unfillable_long_missing
2006-01-21,,unfillable_long_missing
2006-01-22,,unfillable_long_missing
2006-01-23,,unfillable_long_missing
2006-01-24,,unfillable_long_missing
2006-01-25,,unfillable_long_missing
2006-01-26,,unfillable_long_missing
2006-01-27,,unfillable_long_missing
2006-01-28,,unfillable_long_missing
2006-01-29,,unfillable_long_missing
2006-01-30,,unfillable_long_missing
2006-01-31,,unfillable_long_missing
2006-02-01,,unfillable_long_missing
2006-02-02,,unfillable_long_missing
2006-02-03,,unfillable_long_missing
2006-02-04,,unfillable_long_missing
2006-02-05,,unfillable_long_missing
2006-02-06,,unfillable_long_missing
2006-02-07,,unfillable_long_missing
2006-02-08,,unfillable_long_missing
2006-02-09,,unfillable_long_missing
2006-02-10,,unfillable_long_missing
2006-02-11,,unfillable_long_missing
2006-02-12,,unfillable_long_missing
2006-02-13,,unfillable_long_missing
2006-02-14,10.4205824,original
2006-02-15,7.417271128888888,original
2006-02-16,6.2013792,original
2006-02-17,11.893056,original
2006-02-18,12.7859201,original
2006-02-19,10.241242666666666,original
2006-02-20,8.2968224,original
2006-02-21,7.255000133333333,original
2006-02-22,8.105978966666667,original
2006-02-23,10.221774866666667,original
2006-02-24,8.859913766666667,original
2006-02-25,5.972160603333334,original
2006-02-26,22.8799744,original
2006-02-27,18.636288966666665,original
2006-02-28,12.4186866,original
2006-03-01,10.094024803333333,original
2006-03-02,10.8170176,original
2006-03-03,12.0063232,original
2006-03-04,10.7320672,original
2006-03-05,9.049282366666667,original
2006-03-06,11.3550368,original
2006-03-07,10.901968,original
2006-03-08,7.7021695999999995,original
2006-03-09,2.645261066666667,original
2006-03-10,12.0629568,original
2006-03-11,8.1835552,original
2006-03-12,11.0152352,original
2006-03-13,10.654343483333333,original
2006-03-14,17.6696832,original
2006-03-15,10.3922656,original
2006-03-16,5.70610067,original
2006-03-17,12.440514133333332,original
2006-03-18,11.5789165,original
2006-03-19,2.150808443333333,original
2006-03-20,6.4128703,original
2006-03-21,15.404339199999999,original
2006-03-22,13.240463733333332,original
2006-03-23,11.395742199999999,original
2006-03-24,12.5443424,original
2006-03-25,6.6544479999999995,original
2006-03-26,6.229696,original
2006-03-27,5.420425453333333,original
2006-03-28,7.9003872,original
2006-03-29,9.344543999999999,original
2006-03-30,8.0986048,original
2006-03-31,7.456757333333333,original
2006-04-01,11.1001856,original
2006-04-02,8.8631584,original
2006-04-03,9.32357187,original
2006-04-04,13.502394133333333,original
2006-04-05,9.7409792,original
2006-04-06,4.7572224,original
2006-04-07,3.964352,original
2006-04-08,15.3760224,original
