Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,1.21195904,original
2006-01-02,1.2147907199999999,original
2006-01-03,1.16382048,original
2006-01-04,1.0703750399999998,original
2006-01-05,0.9797612800000001,original
2006-01-06,0.83817728,original
2006-01-07,0.77021696,original
2006-01-08,0.77021696,original
2006-01-09,0.75889024,original
2006-01-10,0.7503952,original
2006-01-11,0.7673852800000001,original
2006-01-12,0.7730486400000001,original
2006-01-13,1.1666521600000002,original
2006-01-14,2.973264,original
2006-01-15,2.62213568,original
2006-01-16,1.9991660799999997,original
2006-01-17,1.80378016,original
2006-01-18,3.0298976,original
2006-01-19,3.1997984,original
2006-01-20,2.6079772799999996,original
2006-01-21,29.449472,original
2006-01-22,26.2213568,original
2006-01-23,20.4447296,original
2006-01-24,16.28216,original
2006-01-25,8.5799904,original
2006-01-26,4.7005888,original
2006-01-27,3.5679168,original
2006-01-28,3.0582143999999998,original
2006-01-29,3.5679168,original
2006-01-30,4.3041536,original
2006-01-31,3.4263328,original
2006-02-01,2.66744256,original
2006-02-02,5.238608,original
2006-02-03,6.3429632,original
2006-02-04,4.3041536,original
2006-02-05,3.0582143999999998,original
2006-02-06,2.4635616,original
2006-02-07,2.2936608,original
2006-02-08,2.1803936,original
2006-02-09,2.00199776,original
2006-02-10,1.77263168,original
2006-02-11,6.8526656,original
2006-02-12,9.1463264,original
2006-02-13,5.5500928,original
2006-02-14,3.5396,original
2006-02-15,2.8599968,original
2006-02-16,2.54284864,original
2006-02-17,2.33047264,original
2006-02-18,2.12376,original
2006-02-19,2.07562144,original
2006-02-20,2.0104928,original
2006-02-21,1.90855232,original
2006-02-22,1.8547504,original
2006-02-23,1.7613049600000001,original
2006-02-24,1.63671104,original
2006-02-25,8.4667232,original
2006-02-26,35.112832,original
2006-02-27,21.8888864,original
2006-02-28,15.007904,original
2006-03-01,5.8332608,original
2006-03-02,4.4174208,original
2006-03-03,3.6524029901639343,original
2006-03-04,3.0520302712643677,original
2006-03-05,2.4097596799999996,original
2006-03-06,2.20936136091954,original
2006-03-07,2.0321822638297875,original
2006-03-08,1.8607752510638296,original
2006-03-09,1.73015648,original
2006-03-10,1.7839584,original
2006-03-11,1.7052023,original
2006-03-12,1.6849986357894737,original
2006-03-13,1.90855232,original
2006-03-14,2.1927822,original
2006-03-15,1.5783666333333333,original
2006-03-16,1.3969621333333333,original
2006-03-17,1.3376738333333333,original
2006-03-18,1.1931401666666666,original
2006-03-19,1.0955062,original
2006-03-20,1.06471168,original
2006-03-21,1.1017809454545453,original
2006-03-22,1.203464,original
2006-03-23,1.12700864,original
2006-03-24,1.0229444,original
2006-03-25,0.86649408,original
2006-03-26,0.79003872,original
2006-03-27,0.7471505666666667,original
2006-03-28,0.7220784,original
2006-03-29,0.7217834333333333,original
2006-03-30,0.7475635199999999,original
2006-03-31,0.7673852800000001,original
2006-04-01,0.7645535999999999,original
2006-04-02,0.7645535999999999,original
2006-04-03,0.7362368,original
2006-04-04,0.6796032,original
2006-04-05,0.6427913599999999,original
2006-04-06,0.6170702666666666,original
2006-04-07,0.57483104,original
2006-04-08,0.5380192,original
2006-04-09,0.51253408,original
2006-04-10,0.47855391999999997,original
2006-04-11,0.46156384,original
2006-04-12,0.45023712,original
2006-04-13,0.43041535999999997,original
2006-04-14,0.42445703333333334,original
2006-04-15,0.4120684333333333,original
2006-04-16,0.3884711,original
2006-04-17,0.3793206505494506,original
2006-04-18,0.3574996,original
2006-04-19,0.33413824000000003,original
2006-04-20,0.3302633094736842,original
2006-04-21,0.4967238666666667,original
2006-04-22,2.6415959489361702,original
2006-04-23,1.3025728,original
2006-04-24,0.6796032,original
2006-04-25,0.6579930105263158,original
2006-04-26,39.64352,original
2006-04-27,20.954432,original
2006-04-28,11.609888,original
2006-04-29,4.95544,original
2006-04-30,2.548512,original
2006-05-01,2.3786112,original
2006-05-02,3.5679168,original
2006-05-03,2.7693830399999997,original
2006-05-04,1.8151068799999999,original
2006-05-05,1.3946769178947367,original
2006-05-06,1.02506816,original
2006-05-07,0.9612808421052631,original
2006-05-08,1.7904476666666667,original
2006-05-09,4.074233495652174,original
2006-05-10,4.20646064,original
2006-05-11,2.4120765090909093,original
2006-05-12,1.54892896,original
2006-05-13,1.17196156,original
2006-05-14,0.7730486400000001,original
2006-05-15,0.6670841936842105,original
2006-05-16,0.5380192,original
2006-05-17,0.4843352666666667,original
2006-05-18,0.4256369,original
2006-05-19,0.3876991659574468,original
2006-05-20,0.36528672,original
2006-05-21,0.3292945768421052,original
2006-05-22,0.3070137263157895,original
2006-05-23,0.40776192,original
2006-05-24,0.38227679999999997,original
2006-05-25,0.283168,original
2006-05-26,0.25768288,original
2006-05-27,0.24588421333333332,original
2006-05-28,0.228799744,original
2006-05-29,0.2215036493617021,original
2006-05-30,0.209827488,original
2006-05-31,0.206146304,original
