Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,24.465715199999998,original
2006-01-02,24.097596799999998,original
2006-01-03,23.644528,original
2006-01-04,23.1065088,original
2006-01-05,22.6251232,original
2006-01-06,22.1437376,original
2006-01-07,21.7189856,original
2006-01-08,21.520768,original
2006-01-09,21.4075008,original
2006-01-10,21.379184,original
2006-01-11,21.209283199999998,original
2006-01-12,21.096016,original
2006-01-13,22.087104,original
2006-01-14,25.4568032,original
2006-01-15,25.768288,original
2006-01-16,23.927696,original
2006-01-17,23.9843296,original
2006-01-18,27.2124448,original
2006-01-19,29.73264,original
2006-01-20,29.449472,original
2006-01-21,30.298976,original
2006-01-22,28.1185824,original
2006-01-23,27.467296,original
2006-01-24,47.005888,original
2006-01-25,82.401888,original
2006-01-26,86.36624,original
2006-01-27,61.730624,original
2006-01-28,43.041536,original
2006-01-29,37.944511999999996,original
2006-01-30,41.908864,original
2006-01-31,72.20784,original
2006-02-01,73.906848,original
2006-02-02,59.748447999999996,original
2006-02-03,56.6336,original
2006-02-04,72.774176,original
2006-02-05,80.70288,original
2006-02-06,74.473184,original
2006-02-07,56.6336,original
2006-02-08,44.174208,original
2006-02-09,37.661344,original
2006-02-10,34.263328,original
2006-02-11,38.794016,original
2006-02-12,64.279136,original
2006-02-13,84.384064,original
2006-02-14,86.083072,original
2006-02-15,77.588032,original
2006-02-16,57.483104,original
2006-02-17,43.89104,original
2006-02-18,37.944511999999996,original
2006-02-19,34.546496,original
2006-02-20,32.56432,original
2006-02-21,32.847488,original
2006-02-22,35.679168,original
2006-02-23,36.528672,original
2006-02-24,35.962336,original
2006-02-25,41.908864,original
2006-02-26,77.304864,original
2006-02-27,119.780064,original
2006-02-28,140.734496,original
2006-03-01,129.690944,original
2006-03-02,106.754336,original
2006-03-03,73.057344,original
2006-03-04,54.368256,original
2006-03-05,45.590047999999996,original
2006-03-06,40.493024,original
2006-03-07,37.378175999999996,original
2006-03-08,35.112832,original
2006-03-09,33.413824,original
2006-03-10,32.56432,original
2006-03-11,33.130656,original
