Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,,unfillable_long_missing
2006-01-02,,unfillable_long_missing
2006-01-03,,unfillable_long_missing
2006-01-04,,unfillable_long_missing
2006-01-05,,unfillable_long_missing
2006-01-06,,unfillable_long_missing
2006-01-07,,unfillable_long_missing
2006-01-08,,unfillable_long_missing
2006-01-09,,unfillable_long_missing
2006-01-10,,unfillable_long_missing
2006-01-11,,unfillable_long_missing
2006-01-12,,unfillable_long_missing
2006-01-13,,unfillable_long_missing
2006-01-14,,unfillable_long_missing
2006-01-15,,unfillable_long_missing
2006-01-16,,unfillable_long_missing
2006-01-17,,unfillable_long_missing
2006-01-18,,unfillable_long_missing
2006-01-19,,unfillable_long_missing
2006-01-20,28.50833168888889,original
2006-01-21,32.847488,original
2006-01-22,32.72950133333333,original
2006-01-23,31.997984,original
2006-01-24,30.298976,original
2006-01-25,31.997984,original
2006-01-26,34.546496,original
2006-01-27,35.962336,original
2006-01-28,48.704896,original
2006-01-29,58.208722,original
2006-01-30,56.536260999999996,original
2006-01-31,61.945949666666664,original
2006-02-01,82.7301859,original
2006-02-02,3.254514716666667,original
2006-02-03,1.6032913166666667,original
2006-02-04,12.557910866666667,original
2006-02-05,38.10969333333333,original
2006-02-06,50.85225333333333,original
2006-02-07,49.324326,interpolated
2006-02-08,47.79639866666666,interpolated
2006-02-09,46.26847133333333,interpolated
2006-02-10,44.740544,original
2006-02-11,65.36166366666666,original
2006-02-12,56.86957333333333,original
2006-02-13,61.11761195604395,original
2006-02-14,75.93916833333334,original
2006-02-15,150.63947666666667,original
2006-02-16,168.79172533333332,original
2006-02-17,96.135536,original
2006-02-18,73.16058233333334,original
2006-02-19,81.04504133333333,original
2006-02-20,116.09888,original
2006-02-21,114.49426133333334,original
2006-02-22,100.763563,original
2006-02-23,90.330592,original
2006-02-24,81.80310566666667,original
2006-02-25,83.94456366666667,original
2006-02-26,91.463264,original
2006-02-27,99.47455866666667,original
2006-02-28,98.03118844444444,interpolated
2006-03-01,96.58781822222223,interpolated
2006-03-02,95.144448,original
2006-03-03,88.950148,original
2006-03-04,85.516736,original
2006-03-05,72.774176,original
2006-03-06,67.110816,original
2006-03-07,62.580128,original
2006-03-08,71.924672,original
2006-03-09,81.48159199999999,original
2006-03-10,1.0430611266666667,original
2006-03-11,65.615335,original
2006-03-12,50.633683033333334,original
2006-03-13,56.65601746666667,original
2006-03-14,71.924672,original
2006-03-15,69.62524296296296,interpolated
2006-03-16,67.32581392592593,interpolated
2006-03-17,65.02638488888888,original
2006-03-18,85.98278333333333,original
2006-03-19,110.41487233333334,original
2006-03-20,133.17450033333333,original
2006-03-21,126.859264,original
2006-03-22,98.878726,original
2006-03-23,95.427616,original
2006-03-24,100.241472,original
2006-03-25,106.754336,original
2006-03-26,111.89265533333334,original
2006-03-27,112.26431333333333,original
2006-03-28,110.21134533333334,original
2006-03-29,110.718688,original
2006-03-30,108.736512,original
2006-03-31,97.409792,original
2006-04-01,101.090976,original
2006-04-02,102.25609433333334,original
2006-04-03,99.675136,original
2006-04-04,106.53016133333334,original
2006-04-05,106.45936933333334,original
2006-04-06,107.887008,original
2006-04-07,100.807808,original
2006-04-08,101.090976,original
2006-04-09,105.621664,original
2006-04-10,96.560288,original
2006-04-11,96.59863366666666,original
