Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,1.9227107200000002,original
2006-01-02,1.8094435199999999,original
2006-01-03,1.73865152,original
2006-01-04,1.62538432,original
2006-01-05,1.54892896,original
2006-01-06,1.4724736,original
2006-01-07,1.37902816,original
2006-01-08,1.32805792,original
2006-01-09,1.2969094399999999,original
2006-01-10,1.2685926399999998,original
2006-01-11,1.22328576,original
2006-01-12,1.19213728,original
2006-01-13,1.2657609600000002,original
2006-01-14,1.274256,original
2006-01-15,1.30540448,original
2006-01-16,1.31106784,original
2006-01-17,2.3021558399999997,original
2006-01-18,4.5023712,original
2006-01-19,6.3429632,original
2006-01-20,7.7021695999999995,original
2006-01-21,8.2968224,original
2006-01-22,7.78712,original
2006-01-23,7.2491008,original
2006-01-24,8.49504,original
2006-01-25,10.5055328,original
2006-01-26,10.4488992,original
2006-01-27,8.9481088,original
2006-01-28,7.2774176,original
2006-01-29,11.4966208,original
2006-01-30,14.583152,original
2006-01-31,13.733648,original
2006-02-01,12.600976,original
2006-02-02,14.6964192,original
2006-02-03,21.9172032,original
2006-02-04,23.3330432,original
2006-02-05,20.954432,original
2006-02-06,15.6308736,original
2006-02-07,11.1001856,original
2006-02-08,8.49504,original
2006-02-09,6.7393984,original
2006-02-10,5.5500928,original
2006-02-11,11.4116704,original
2006-02-12,21.803936,original
2006-02-13,28.3168,original
2006-02-14,34.263328,original
2006-02-15,38.510848,original
2006-02-16,39.64352,original
2006-02-17,38.794016,original
2006-02-18,38.510848,original
2006-02-19,30.865312,original
2006-02-20,18.0944352,original
2006-02-21,9.8825632,original
2006-02-22,7.220784,original
2006-02-23,6.3429632,original
2006-02-24,5.8898944,original
2006-02-25,6.1730624,original
2006-02-26,11.8081056,original
2006-02-27,17.0467136,original
2006-02-28,21.4358176,original
2006-03-01,25.2585856,original
2006-03-02,28.599968,original
2006-03-03,31.431648,original
2006-03-04,34.546496,original
2006-03-05,32.281152,original
2006-03-06,22.9649248,original
2006-03-07,12.2045408,original
2006-03-08,6.8526656,original
2006-03-09,5.4368256,original
2006-03-10,12.4877088,original
2006-03-11,22.0587872,original
2006-03-12,27.7787808,original
2006-03-13,33.130656,original
2006-03-14,37.378175999999996,original
2006-03-15,31.997984,original
2006-03-16,15.6591904,original
2006-03-17,7.6172192,original
2006-03-18,5.4651423999999995,original
2006-03-19,4.530688,original
2006-03-20,4.1342528,original
2006-03-21,5.097024,original
2006-03-22,8.5799904,original
2006-03-23,14.0451328,original
