Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,13.818598399999999,original
2006-01-02,13.1106784,original
2006-01-03,12.3461248,original
2006-01-04,11.893056,original
2006-01-05,11.3833536,original
2006-01-06,10.9869184,original
2006-01-07,10.788700799999999,original
2006-01-08,10.2506816,original
2006-01-09,9.7976128,original
2006-01-10,9.5144448,original
2006-01-11,9.344543999999999,original
2006-01-12,9.3162272,original
2006-01-13,9.3728608,original
2006-01-14,9.2595936,original
2006-01-15,9.4011776,original
2006-01-16,8.6649408,original
2006-01-17,13.1106784,original
2006-01-18,17.1599808,original
2006-01-19,23.3330432,original
2006-01-20,33.130656,original
2006-01-21,33.696992,original
2006-01-22,29.73264,original
2006-01-23,28.0053152,original
2006-01-24,28.2318496,original
2006-01-25,29.73264,original
2006-01-26,32.56432,original
2006-01-27,31.714816,original
2006-01-28,30.298976,original
2006-01-29,32.281152,original
2006-01-30,38.22768,original
2006-01-31,50.687072,original
2006-02-01,58.332608,original
2006-02-02,62.863296,original
2006-02-03,76.738528,original
2006-02-04,91.18009599999999,original
2006-02-05,83.251392,original
2006-02-06,69.942496,original
2006-02-07,57.483104,original
2006-02-08,49.271232,original
2006-02-09,42.758368,original
2006-02-10,37.095008,original
2006-02-11,44.174208,original
2006-02-12,65.12864,original
2006-02-13,77.021696,original
2006-02-14,79.28704,original
2006-02-15,73.62368,original
2006-02-16,62.013792,original
2006-02-17,56.350432,original
2006-02-18,54.651424,original
2006-02-19,54.368256,original
2006-02-20,54.651424,original
2006-02-21,55.21776,original
2006-02-22,54.651424,original
2006-02-23,48.988064,original
2006-02-24,39.926688,original
2006-02-25,33.696992,original
2006-02-26,31.431648,original
2006-02-27,37.378175999999996,original
2006-02-28,50.120736,original
2006-03-01,52.952416,original
2006-03-02,47.855392,original
2006-03-03,45.023711999999996,original
2006-03-04,43.89104,original
2006-03-05,44.457376,original
2006-03-06,45.30688,original
2006-03-07,45.30688,original
2006-03-08,45.30688,original
2006-03-09,42.4752,original
2006-03-10,35.679168,original
2006-03-11,41.625696,original
2006-03-12,60.597952,original
2006-03-13,73.057344,original
2006-03-14,75.322688,original
2006-03-15,65.411808,original
2006-03-16,56.6336,original
2006-03-17,53.235583999999996,original
2006-03-18,50.687072,original
2006-03-19,43.041536,original
2006-03-20,32.56432,original
2006-03-21,26.9292768,original
2006-03-22,24.352448,original
2006-03-23,27.0142272,original
2006-03-24,31.714816,original
2006-03-25,31.14848,original
2006-03-26,31.714816,original
2006-03-27,34.263328,original
2006-03-28,37.944511999999996,original
2006-03-29,42.758368,original
2006-03-30,47.572224,original
2006-03-31,50.97024,original
2006-04-01,53.518752,original
2006-04-02,46.439552,original
2006-04-03,34.546496,original
2006-04-04,28.599968,original
2006-04-05,26.90096,original
2006-04-06,25.3718528,original
2006-04-07,23.1914592,original
2006-04-08,20.6995808,original
2006-04-09,18.3492864,original
2006-04-10,16.3104768,original
2006-04-11,14.3283008,original
2006-04-12,13.1956288,original
2006-04-13,12.374441599999999,original
2006-04-14,11.581571199999999,original
2006-04-15,10.8170176,original
2006-04-16,10.052464,original
2006-04-17,9.5710784,original
2006-04-18,9.20296,original
2006-04-19,8.778208,original
2006-04-20,8.4100896,original
2006-04-21,8.1552384,original
2006-04-22,7.9570208,original
2006-04-23,7.7021695999999995,original
2006-04-24,8.49504,original
2006-04-25,11.2417696,original
2006-04-26,18.7457216,original
2006-04-27,24.5223488,original
2006-04-28,29.73264,original
2006-04-29,41.625696,original
2006-04-30,88.348416,original
2006-05-01,143.283008,original
2006-05-02,142.150336,original
2006-05-03,143.849344,original
2006-05-04,162.8216,original
2006-05-05,175.280992,original
2006-05-06,155.459232,original
2006-05-07,121.195904,original
2006-05-08,106.754336,original
2006-05-09,98.25929599999999,original
2006-05-10,84.384064,original
2006-05-11,65.411808,original
2006-05-12,47.572224,original
2006-05-13,39.64352,original
2006-05-14,36.81184,original
2006-05-15,34.829664,original
2006-05-16,30.865312,original
2006-05-17,24.635616,original
2006-05-18,19.7651264,original
2006-05-19,16.9334464,original
2006-05-20,15.2061216,original
2006-05-21,13.45048,original
2006-05-22,12.1195904,original
2006-05-23,11.185136,original
2006-05-24,10.2506816,original
2006-05-25,9.1746432,original
2006-05-26,8.9764256,original
2006-05-27,8.6649408,original
2006-05-28,8.2685056,original
2006-05-29,8.0136544,original
2006-05-30,8.0419712,original
2006-05-31,10.278998399999999,original
2006-06-01,13.6770144,original
2006-06-02,10.6754336,original
2006-06-03,11.9496896,original
2006-06-04,10.8736512,original
2006-06-05,9.1746432,original
2006-06-06,7.8154368,original
2006-06-07,8.211872,original
2006-06-08,7.9853376,original
2006-06-09,7.3340512,original
2006-06-10,6.7677152,original
2006-06-11,7.1641504,original
2006-06-12,6.6544479999999995,original
2006-06-13,5.7199936,original
2006-06-14,5.4934592,original
2006-06-15,5.1253408,original
2006-06-16,4.7005888,original
2006-06-17,5.6350432,original
2006-06-18,6.6827648,original
2006-06-19,7.1641504,original
2006-06-20,9.3728608,original
2006-06-21,14.724736,original
2006-06-22,18.4625536,original
2006-06-23,16.1688928,original
2006-06-24,13.1106784,original
2006-06-25,11.9213728,original
2006-06-26,10.5621664,original
2006-06-27,8.6083072,original
2006-06-28,7.0508831999999995,original
2006-06-29,6.4279136,original
2006-06-30,5.66336,original
2006-07-01,5.1253408,original
2006-07-02,5.0687071999999995,original
2006-07-03,5.9748448,original
2006-07-04,6.7393984,original
2006-07-05,9.9675136,original
2006-07-06,19.11384,original
2006-07-07,17.6696832,original
2006-07-08,16.3387936,original
2006-07-09,16.1122592,original
2006-07-10,13.960182399999999,original
