Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,-19.7368096,original
2006-01-02,7.645536,original
2006-01-03,124.59392,original
2006-01-04,26.9575936,original
2006-01-05,164.803776,original
2006-01-06,159.98991999999998,original
2006-01-07,-135.92064,original
2006-01-08,-40.209856,original
2006-01-09,-23.0498752,original
2006-01-10,-29.166304,original
2006-01-11,54.651424,original
2006-01-12,-34.263328,original
2006-01-13,93.162272,original
2006-01-14,162.8216,original
2006-01-15,-41.05936,original
2006-01-16,-79.853376,original
2006-01-17,109.586016,original
2006-01-18,75.605856,original
2006-01-19,-0.48988064000000003,original
2006-01-20,-0.991088,original
2006-01-21,78.154368,original
2006-01-22,-53.80192,original
2006-01-23,159.423584,original
2006-01-24,126.57609599999999,original
2006-01-25,47.005888,original
2006-01-26,17.4997824,original
2006-01-27,-24.465715199999998,original
2006-01-28,-86.36624,original
2006-01-29,-41.625696,original
2006-01-30,75.322688,original
2006-01-31,37.661344,original
2006-02-01,-9.9958304,original
2006-02-02,4.8704896,original
2006-02-03,228.799744,original
2006-02-04,300.15808,original
2006-02-05,129.124608,original
2006-02-06,138.75232,original
2006-02-07,271.274944,original
2006-02-08,42.4752,original
2006-02-09,79.003872,original
2006-02-10,-52.38608,original
2006-02-11,255.700704,original
2006-02-12,229.082912,original
2006-02-13,78.720704,original
2006-02-14,-39.360352,original
2006-02-15,-108.736512,original
2006-02-16,-82.96822399999999,original
2006-02-17,161.688928,original
2006-02-18,212.092832,original
2006-02-19,35.396,original
2006-02-20,20.0766112,original
2006-02-21,-16.9334464,original
2006-02-22,-33.696992,original
2006-02-23,110.718688,original
2006-02-24,9.0896928,original
2006-02-25,59.182112,original
2006-02-26,204.164128,original
2006-02-27,18.037801599999998,original
2006-02-28,-6.6544479999999995,original
2006-03-01,24.635616,original
2006-03-02,47.289056,original
2006-03-03,130.540448,original
2006-03-04,21.803936,original
2006-03-05,-12.8558272,original
2006-03-06,84.667232,original
2006-03-07,23.7011616,original
2006-03-08,-90.330592,original
2006-03-09,-222.28688,original
2006-03-10,48.421728,original
2006-03-11,-39.077184,original
2006-03-12,8.551673599999999,original
2006-03-13,120.063232,original
2006-03-14,294.49472,original
2006-03-15,62.863296,original
2006-03-16,-46.156384,original
2006-03-17,156.025568,original
2006-03-18,47.855392,original
2006-03-19,-120.912736,original
2006-03-20,-134.221632,original
2006-03-21,223.70272,original
2006-03-22,137.33648,original
2006-03-23,170.183968,original
2006-03-24,127.70876799999999,original
2006-03-25,0.41342528,original
2006-03-26,-25.7116544,original
2006-03-27,-77.304864,original
2006-03-28,-16.28216,original
2006-03-29,19.7368096,original
2006-03-30,-33.413824,original
2006-03-31,-16.4803776,original
2006-04-01,79.003872,original
2006-04-02,20.388096,original
2006-04-03,58.332608,original
2006-04-04,109.302848,original
2006-04-05,15.6308736,original
2006-04-06,-96.843456,original
2006-04-07,-131.67312,original
2006-04-08,203.314624,original
2006-04-09,202.46511999999998,original
2006-04-10,26.8726432,original
2006-04-11,-92.595936,original
2006-04-12,34.546496,original
2006-04-13,67.110816,original
2006-04-14,33.696992,original
2006-04-15,-44.174208,original
2006-04-16,-42.192032,original
2006-04-17,24.4090816,original
2006-04-18,22.936608,original
2006-04-19,33.696992,original
2006-04-20,18.4908704,original
2006-04-21,17.7263168,original
2006-04-22,207.562144,original
2006-04-23,62.29696,original
2006-04-24,-8.8065248,original
2006-04-25,-32.281152,original
2006-04-26,158.57408,original
