Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,,unfillable_long_missing
2006-01-02,,unfillable_long_missing
2006-01-03,,unfillable_long_missing
2006-01-04,,unfillable_long_missing
2006-01-05,,unfillable_long_missing
2006-01-06,,unfillable_long_missing
2006-01-07,,unfillable_long_missing
2006-01-08,,unfillable_long_missing
2006-01-09,,unfillable_long_missing
2006-01-10,,unfillable_long_missing
2006-01-11,,unfillable_long_missing
2006-01-12,,unfillable_long_missing
2006-01-13,9.72288791111111,original
2006-01-14,7.624794285990338,interpolated
2006-01-15,5.526700660869565,original
2006-01-16,8.585004833333333,original
2006-01-17,8.891770166666667,original
2006-01-18,6.615807366666666,original
2006-01-19,10.3772223,interpolated
2006-01-20,14.138637233333332,original
2006-01-21,16.6166522,original
2006-01-22,15.962416133333335,original
2006-01-23,31.480170016666666,interpolated
2006-01-24,46.997923899999996,interpolated
2006-01-25,62.51567778333333,interpolated
2006-01-26,78.03343166666666,original
2006-01-27,97.51303033333333,original
2006-01-28,119.744668,original
2006-01-29,112.59369277777778,interpolated
2006-01-30,105.44271755555556,interpolated
2006-01-31,98.29174233333333,original
2006-02-01,104.00328022222222,interpolated
2006-02-02,109.71481811111111,interpolated
2006-02-03,115.426356,original
2006-02-04,111.83956133333334,original
2006-02-05,112.35968588888889,interpolated
2006-02-06,112.87981044444444,interpolated
2006-02-07,113.399935,original
2006-02-08,112.94568633333333,interpolated
2006-02-09,112.49143766666667,interpolated
2006-02-10,112.03718900000001,interpolated
2006-02-11,111.58294033333334,original
2006-02-12,92.038449,interpolated
2006-02-13,72.49395766666666,original
2006-02-14,120.42309133333332,original
2006-02-15,119.78301366666668,original
2006-02-16,115.73017166666666,original
2006-02-17,113.59535041666666,interpolated
2006-02-18,111.46052916666666,interpolated
2006-02-19,109.32570791666666,interpolated
2006-02-20,107.19088666666666,original
2006-02-21,95.37820908333333,interpolated
2006-02-22,83.56553149999999,interpolated
2006-02-23,71.75285391666667,interpolated
2006-02-24,59.94017633333333,original
2006-02-25,65.376412,original
2006-02-26,66.61674683333334,interpolated
2006-02-27,67.85708166666666,original
2006-02-28,73.59595313333332,interpolated_long_gap
2006-03-01,79.33482459999999,interpolated_long_gap
2006-03-02,85.07369606666666,interpolated_long_gap
2006-03-03,90.81256753333334,interpolated_long_gap
2006-03-04,96.551439,original
2006-03-05,88.20093266666666,interpolated
2006-03-06,79.85042633333333,original
2006-03-07,81.1138668888889,interpolated
2006-03-08,82.37730744444444,interpolated
2006-03-09,83.640748,original
2006-03-10,75.80250044444445,interpolated_long_gap
2006-03-11,67.9642528888889,interpolated_long_gap
2006-03-12,60.12600533333334,interpolated_long_gap
2006-03-13,52.287757777777784,interpolated_long_gap
2006-03-14,44.44951022222222,interpolated_long_gap
2006-03-15,36.61126266666667,original
2006-03-16,44.75347280715198,interpolated_long_gap
2006-03-17,52.8956829476373,interpolated_long_gap
2006-03-18,61.03789308812261,interpolated_long_gap
2006-03-19,69.18010322860792,interpolated_long_gap
2006-03-20,77.32231336909322,interpolated_long_gap
2006-03-21,85.46452350957856,interpolated_long_gap
2006-03-22,93.60673365006386,interpolated_long_gap
2006-03-23,101.74894379054916,interpolated_long_gap
2006-03-24,109.89115393103448,original
2006-03-25,120.35385178947368,original
2006-03-26,123.2907166639676,interpolated
