Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,98.542464,original
2006-01-02,41.342528,original
2006-01-03,115.815712,original
2006-01-04,81.269216,original
2006-01-05,79.28704,original
2006-01-06,105.621664,original
2006-01-07,99.391968,original
2006-01-08,105.904832,original
2006-01-09,108.453344,original
2006-01-10,138.75232,original
2006-01-11,146.114688,original
2006-01-12,129.690944,original
2006-01-13,55.500928,original
2006-01-14,176.696832,original
2006-01-15,150.928544,original
2006-01-16,124.027584,original
2006-01-17,94.011776,original
2006-01-18,190.855232,original
2006-01-19,143.56617599999998,original
2006-01-20,140.734496,original
2006-01-21,156.025568,original
2006-01-22,140.734496,original
2006-01-23,148.380032,original
2006-01-24,194.819584,original
2006-01-25,198.500768,original
2006-01-26,212.092832,original
2006-01-27,203.88096,original
2006-01-28,216.62351999999998,original
2006-01-29,212.94233599999998,original
2006-01-30,193.686912,original
2006-01-31,254.284864,original
2006-02-01,255.700704,original
2006-02-02,245.506656,original
2006-02-03,288.83136,original
2006-02-04,297.3264,original
2006-02-05,342.63328,original
2006-02-06,305.82144,original
2006-02-07,334.13824,original
2006-02-08,342.63328,original
2006-02-09,314.31648,original
2006-02-10,300.15808,original
2006-02-11,229.36608,original
2006-02-12,276.938304,original
2006-02-13,314.31648,original
2006-02-14,291.66304,original
2006-02-15,258.532384,original
2006-02-16,256.26704,original
2006-02-17,252.302688,original
2006-02-18,251.453184,original
2006-02-19,248.904672,original
2006-02-20,244.090816,original
2006-02-21,251.170016,original
2006-02-22,219.4552,original
2006-02-23,201.332448,original
2006-02-24,202.46511999999998,original
2006-02-25,160.273088,original
2006-02-26,229.36608,original
2006-02-27,244.94031999999999,original
2006-02-28,197.934432,original
2006-03-01,192.837408,original
2006-03-02,185.758208,original
2006-03-03,199.067104,original
2006-03-04,180.661184,original
2006-03-05,163.104768,original
2006-03-06,164.520608,original
2006-03-07,179.245344,original
2006-03-08,162.538432,original
2006-03-09,183.492864,original
2006-03-10,156.591904,original
2006-03-11,136.770144,original
2006-03-12,109.302848,original
2006-03-13,56.6336,original
2006-03-14,141.867168,original
2006-03-15,120.063232,original
2006-03-16,95.993952,original
2006-03-17,131.67312,original
2006-03-18,148.6632,original
2006-03-19,134.221632,original
2006-03-20,177.546336,original
2006-03-21,177.263168,original
2006-03-22,275.239296,original
2006-03-23,269.0096,original
2006-03-24,314.31648,original
2006-03-25,334.13824,original
2006-03-26,342.63328,original
2006-03-27,328.47488,original
2006-03-28,342.63328,original
2006-03-29,362.45504,original
2006-03-30,365.28672,original
2006-03-31,362.45504,original
2006-04-01,345.46496,original
2006-04-02,325.6432,original
2006-04-03,300.15808,original
2006-04-04,302.98976,original
2006-04-05,277.787808,original
2006-04-06,247.20566399999998,original
2006-04-07,198.2176,original
2006-04-08,137.619648,original
2006-04-09,231.348256,original
2006-04-10,201.898784,original
2006-04-11,164.803776,original
2006-04-12,158.57408,original
2006-04-13,174.997824,original
2006-04-14,161.972096,original
2006-04-15,169.051296,original
2006-04-16,147.530528,original
2006-04-17,162.538432,original
2006-04-18,184.625536,original
2006-04-19,203.88096,original
2006-04-20,216.057184,original
2006-04-21,208.12848,original
2006-04-22,220.587872,original
2006-04-23,233.330432,original
2006-04-24,208.977984,original
2006-04-25,184.625536,original
2006-04-26,208.694816,original
2006-04-27,243.807648,original
2006-04-28,225.684896,original
2006-04-29,244.373984,original
2006-04-30,126.859264,original
2006-05-01,238.99379199999998,original
2006-05-02,237.86112,original
2006-05-03,243.807648,original
2006-05-04,250.886848,original
2006-05-05,255.700704,original
2006-05-06,285.99968,original
2006-05-07,277.50464,original
2006-05-08,300.15808,original
2006-05-09,276.371968,original
2006-05-10,225.968064,original
2006-05-11,242.10864,original
2006-05-12,278.070976,original
2006-05-13,283.168,original
2006-05-14,269.575936,original
2006-05-15,274.106624,original
2006-05-16,294.49472,original
2006-05-17,270.70860799999997,original
2006-05-18,267.310592,original
2006-05-19,252.01952,original
2006-05-20,264.76207999999997,original
2006-05-21,256.550208,original
2006-05-22,245.789824,original
2006-05-23,235.31260799999998,original
2006-05-24,226.5344,original
2006-05-25,224.552224,original
2006-05-26,223.70272,original
2006-05-27,208.12848,original
2006-05-28,201.615616,original
2006-05-29,175.847328,original
2006-05-30,196.80176,original
2006-05-31,186.324544,original
2006-06-01,174.14831999999998,original
2006-06-02,197.934432,original
2006-06-03,190.855232,original
2006-06-04,186.89088,original
2006-06-05,180.378016,original
2006-06-06,189.156224,original
2006-06-07,190.855232,original
2006-06-08,194.25324799999999,original
2006-06-09,194.25324799999999,original
2006-06-10,190.005728,original
2006-06-11,179.528512,original
2006-06-12,188.873056,original
2006-06-13,184.908704,original
2006-06-14,195.669088,original
2006-06-15,157.72457599999998,original
2006-06-16,165.93644799999998,original
2006-06-17,107.037504,original
2006-06-18,88.914752,original
2006-06-19,116.948384,original
2006-06-20,112.700864,original
2006-06-21,133.655296,original
2006-06-22,135.637472,original
2006-06-23,125.726592,original
2006-06-24,151.211712,original
2006-06-25,152.627552,original
2006-06-26,137.33648,original
2006-06-27,136.486976,original
2006-06-28,122.611744,original
2006-06-29,121.195904,original
2006-06-30,107.887008,original
2006-07-01,96.27712,original
2006-07-02,92.312768,original
2006-07-03,71.075168,original
2006-07-04,99.391968,original
2006-07-05,85.799904,original
2006-07-06,111.28502399999999,original
2006-07-07,130.823616,original
2006-07-08,137.33648,original
2006-07-09,124.310752,original
2006-07-10,132.239456,original
2006-07-11,133.655296,original
2006-07-12,117.231552,original
2006-07-13,116.948384,original
2006-07-14,115.532544,original
2006-07-15,108.453344,original
2006-07-16,95.427616,original
2006-07-17,117.797888,original
2006-07-18,117.231552,original
2006-07-19,127.70876799999999,original
2006-07-20,133.655296,original
2006-07-21,133.08896,original
2006-07-22,126.859264,original
2006-07-23,146.681024,original
2006-07-24,119.49689599999999,original
2006-07-25,178.112672,original
2006-07-26,118.93056,original
2006-07-27,82.11872,original
2006-07-28,84.384064,original
2006-07-29,98.825632,original
2006-07-30,83.53456,original
2006-07-31,71.641504,original
2006-08-01,72.774176,original
2006-08-02,86.36624,original
2006-08-03,104.77216,original
2006-08-04,111.85136,original
2006-08-05,118.93056,original
2006-08-06,115.815712,original
2006-08-07,99.1088,original
2006-08-08,105.33849599999999,original
2006-08-09,104.488992,original
2006-08-10,101.657312,original
2006-08-11,90.04742399999999,original
2006-08-12,97.409792,original
2006-08-13,87.498912,original
2006-08-14,84.667232,original
2006-08-15,95.144448,original
2006-08-16,94.294944,original
2006-08-17,105.904832,original
2006-08-18,109.01968,original
2006-08-19,86.36624,original
2006-08-20,91.18009599999999,original
2006-08-21,97.12662399999999,original
2006-08-22,81.269216,original
2006-08-23,73.906848,original
2006-08-24,82.685056,original
2006-08-25,86.083072,original
2006-08-26,78.437536,original
2006-08-27,89.19792,original
2006-08-28,74.473184,original
2006-08-29,73.906848,original
