Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,-28.599968,original
2006-01-02,-10.335632,original
2006-01-03,4.389104,original
2006-01-04,-1.66785952,original
2006-01-05,20.926115199999998,original
2006-01-06,15.291072,original
2006-01-07,-6.9942496,original
2006-01-08,-18.4625536,original
2006-01-09,-7.4190016,original
2006-01-10,4.3324704,original
2006-01-11,-2.50886848,original
2006-01-12,-5.66336,original
2006-01-13,10.0241472,original
2006-01-14,12.7991936,original
2006-01-15,-3.2847488,original
2006-01-16,-12.03464,original
2006-01-17,43.89104,original
2006-01-18,38.510848,original
2006-01-19,31.14848,original
2006-01-20,31.14848,original
2006-01-21,41.342528,original
2006-01-22,16.1122592,original
2006-01-23,40.776192,original
2006-01-24,31.431648,original
2006-01-25,27.0708608,original
2006-01-26,12.8558272,original
2006-01-27,2.70991776,original
2006-01-28,-10.4488992,original
2006-01-29,39.360352,original
2006-01-30,57.766272,original
2006-01-31,26.3629408,original
2006-02-01,20.52968,original
2006-02-02,236.728448,original
2006-02-03,283.168,original
2006-02-04,263.34624,original
2006-02-05,259.381888,original
2006-02-06,217.473024,original
2006-02-07,161.40576,original
2006-02-08,114.116704,original
2006-02-09,93.44544,original
2006-02-10,69.37616,original
2006-02-11,115.249376,original
2006-02-12,77.8712,original
2006-02-13,54.085088,original
2006-02-14,49.837568,original
2006-02-15,39.64352,original
2006-02-16,31.431648,original
2006-02-17,43.89104,original
2006-02-18,33.413824,original
2006-02-19,13.3655296,original
2006-02-20,10.3639488,original
2006-02-21,6.2580127999999995,original
2006-02-22,-1.90288896,original
2006-02-23,24.1825472,original
2006-02-24,6.4562304,original
2006-02-25,20.8694816,original
2006-02-26,52.952416,original
2006-02-27,22.228688,original
2006-02-28,14.6681024,original
2006-03-01,12.0912736,original
2006-03-02,27.750464,original
2006-03-03,43.607872,original
2006-03-04,34.263328,original
2006-03-05,16.0273088,original
2006-03-06,13.0540448,original
2006-03-07,8.2685056,original
2006-03-08,-42.192032,original
2006-03-09,-23.4746272,original
2006-03-10,3.2281152,original
2006-03-11,-30.582144,original
2006-03-12,-19.1704736,original
2006-03-13,11.32672,original
2006-03-14,52.952416,original
2006-03-15,-2.6731059200000002,original
2006-03-16,1.07887008,original
2006-03-17,21.94552,original
2006-03-18,18.3492864,original
2006-03-19,-1.7273247999999999,original
2006-03-20,-15.149488,original
2006-03-21,23.4746272,original
2006-03-22,20.388096,original
2006-03-23,20.2181952,original
2006-03-24,7.6172192,original
2006-03-25,0.179528512,original
2006-03-26,4.3324704,original
2006-03-27,0.6484547199999999,original
2006-03-28,12.2894912,original
2006-03-29,5.8898944,original
2006-03-30,-24.210864,original
2006-03-31,-15.3193888,original
2006-04-01,-2.81185824,original
2006-04-02,-21.1809664,original
2006-04-03,8.5233568,original
2006-04-04,19.8500768,original
2006-04-05,-7.0225664,original
2006-04-06,-38.794016,original
2006-04-07,-33.130656,original
