Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,5436.8256,original
2006-01-02,5238.608,original
2006-01-03,5210.2912,original
2006-01-04,5266.9248,original
2006-01-05,5380.192,original
2006-01-06,5550.0928,original
2006-01-07,5719.9936,original
2006-01-08,5946.528,original
2006-01-09,6059.7952,original
2006-01-10,6314.6464,original
2006-01-11,6597.8144,original
2006-01-12,7050.8832,original
2006-01-13,7249.1008,original
2006-01-14,7617.2192,original
2006-01-15,7928.704,original
2006-01-16,8211.872,original
2006-01-17,8381.7728,original
2006-01-18,8608.3072,original
2006-01-19,8778.208,original
2006-01-20,8863.1584,original
2006-01-21,8891.4752,original
2006-01-22,8976.4256,original
2006-01-23,9061.376,original
2006-01-24,9287.9104,original
2006-01-25,9797.612799999999,original
2006-01-26,10618.8,original
2006-01-27,11609.887999999999,original
2006-01-28,12402.7584,original
2006-01-29,13422.163199999999,original
2006-01-30,14668.1024,original
2006-01-31,16140.576,original
2006-02-01,16452.0608,original
2006-02-02,16990.079999999998,original
2006-02-03,17754.6336,original
2006-02-04,18292.6528,original
2006-02-05,18377.6032,original
2006-02-06,18179.3856,original
2006-02-07,16650.2784,original
2006-02-08,16140.576,original
2006-02-09,15517.6064,original
2006-02-10,14838.0032,original
2006-02-11,14441.568,original
2006-02-12,14328.300799999999,original
2006-02-13,13875.232,original
2006-02-14,13705.3312,original
2006-02-15,13648.6976,original
2006-02-16,13393.8464,original
2006-02-17,13138.9952,original
2006-02-18,12799.1936,original
2006-02-19,12402.7584,original
2006-02-20,11949.6896,original
2006-02-21,11326.72,original
2006-02-22,10760.384,original
2006-02-23,10250.6816,original
2006-02-24,9910.88,original
2006-02-25,9967.5136,original
2006-02-26,10165.7312,original
2006-02-27,10335.632,original
2006-02-28,10533.8496,original
2006-03-01,10618.8,original
2006-03-02,10562.1664,original
2006-03-03,10335.632,original
2006-03-04,10109.0976,original
2006-03-05,9882.5632,original
2006-03-06,9599.395199999999,original
2006-03-07,9287.9104,original
2006-03-08,8891.4752,original
2006-03-09,8608.3072,original
2006-03-10,8296.8224,original
2006-03-11,8155.2384,original
2006-03-12,7843.7536,original
2006-03-13,7702.1696,original
2006-03-14,7645.536,original
2006-03-15,7702.1696,original
2006-03-16,7843.7536,original
2006-03-17,8353.456,original
2006-03-18,9061.376,original
2006-03-19,10222.3648,original
2006-03-20,11666.5216,original
2006-03-21,14158.4,original
2006-03-22,16310.4768,original
2006-03-23,17669.6832,original
2006-03-24,18689.088,original
2006-03-25,19736.8096,original
2006-03-26,20586.3136,original
2006-03-27,20784.5312,original
2006-03-28,20812.847999999998,original
2006-03-29,20501.3632,original
2006-03-30,19963.344,original
2006-03-31,18689.088,original
2006-04-01,17499.7824,original
2006-04-02,16480.3776,original
2006-04-03,15404.3392,original
2006-04-04,14299.984,original
2006-04-05,13308.896,original
2006-04-06,12261.1744,original
2006-04-07,11468.304,original
2006-04-08,10788.7008,original
2006-04-09,10278.9984,original
2006-04-10,9967.5136,original
2006-04-11,9740.9792,original
2006-04-12,9656.0288,original
2006-04-13,9740.9792,original
2006-04-14,9854.2464,original
2006-04-15,9910.88,original
2006-04-16,10335.632,original
2006-04-17,10986.9184,original
2006-04-18,11666.5216,original
2006-04-19,12006.3232,original
2006-04-20,12232.8576,original
2006-04-21,12346.1248,original
2006-04-22,12402.7584,original
2006-04-23,12289.4912,original
2006-04-24,12176.224,original
2006-04-25,12147.9072,original
2006-04-26,12289.4912,original
2006-04-27,12572.6592,original
2006-04-28,12714.243199999999,original
2006-04-29,12855.8272,original
2006-04-30,13280.5792,original
2006-05-01,13705.3312,original
2006-05-02,14299.984,original
2006-05-03,14611.4688,original
2006-05-04,14894.6368,original
2006-05-05,14894.6368,original
2006-05-06,14838.0032,original
2006-05-07,14781.3696,original
2006-05-08,14611.4688,original
2006-05-09,15064.5376,original
2006-05-10,15206.1216,original
2006-05-11,15064.5376,original
2006-05-12,14894.6368,original
2006-05-13,14838.0032,original
2006-05-14,14838.0032,original
2006-05-15,14922.953599999999,original
2006-05-16,14838.0032,original
2006-05-17,14781.3696,original
2006-05-18,14611.4688,original
2006-05-19,14498.2016,original
2006-05-20,14158.4,original
2006-05-21,13818.598399999999,original
2006-05-22,13393.8464,original
2006-05-23,12742.56,original
2006-05-24,12176.224,original
2006-05-25,11468.304,original
2006-05-26,11185.136,original
2006-05-27,10930.2848,original
2006-05-28,10703.750399999999,original
2006-05-29,10618.8,original
2006-05-30,10477.216,original
2006-05-31,10562.1664,original
2006-06-01,10562.1664,original
2006-06-02,10618.8,original
2006-06-03,10703.750399999999,original
2006-06-04,10590.4832,original
2006-06-05,10335.632,original
2006-06-06,10194.048,original
2006-06-07,9882.5632,original
2006-06-08,9514.4448,original
2006-06-09,9287.9104,original
2006-06-10,9174.6432,original
2006-06-11,9118.0096,original
2006-06-12,9061.376,original
2006-06-13,9089.6928,original
2006-06-14,9089.6928,original
2006-06-15,9033.0592,original
2006-06-16,8891.4752,original
2006-06-17,8834.8416,original
2006-06-18,8495.039999999999,original
2006-06-19,8098.6048,original
2006-06-20,7815.4367999999995,original
2006-06-21,7447.3184,original
2006-06-22,7164.1503999999995,original
2006-06-23,6937.616,original
2006-06-24,6824.3488,original
2006-06-25,6739.3984,original
2006-06-26,6654.448,original
2006-06-27,6569.4976,original
2006-06-28,6484.5472,original
2006-06-29,6371.28,original
2006-06-30,6116.4288,original
2006-07-01,6088.112,original
2006-07-02,5974.8448,original
2006-07-03,6003.1616,original
2006-07-04,6003.1616,original
2006-07-05,6059.7952,original
2006-07-06,6201.3792,original
2006-07-07,6427.9136,original
2006-07-08,6654.448,original
2006-07-09,6852.6656,original
2006-07-10,7022.5664,original
2006-07-11,7079.2,original
