Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,687.3116622222223,original
2006-01-02,533.3587266666667,original
2006-01-03,512.0621333333332,original
2006-01-04,470.3538466666667,original
2006-01-05,524.2737533333333,original
2006-01-06,591.9391066666667,original
2006-01-07,494.30514,original
2006-01-08,498.90662,original
2006-01-09,519.1413333333333,original
2006-01-10,462.1065786666666,original
2006-01-11,404.027642,original
2006-01-12,347.82469333333336,original
2006-01-13,347.7362033333333,original
2006-01-14,519.25932,original
2006-01-15,599.8236939130434,original
2006-01-16,754.9376866666667,original
2006-01-17,737.8886133333333,original
2006-01-18,899.9236355555556,interpolated
2006-01-19,1061.958657777778,original
2006-01-20,1248.1809466666666,original
2006-01-21,1394.1304533333334,original
2006-01-22,1497.8997266666665,original
2006-01-23,1545.1533866666666,original
2006-01-24,1577.8946866666665,original
2006-01-25,1619.0720333333334,original
2006-01-26,1669.3933466666665,original
2006-01-27,1717.0009666666665,original
2006-01-28,1749.7422666666666,original
2006-01-29,1757.23442,original
2006-01-30,1737.1766866666667,original
2006-01-31,1700.6598133333334,original
2006-02-01,1674.1718066666665,original
2006-02-02,1634.4692933333333,original
2006-02-03,1592.28906,original
2006-02-04,1552.3505733333334,original
2006-02-05,1499.2565733333333,original
2006-02-06,1433.7739733333333,original
2006-02-07,1430.17538,original
2006-02-08,1463.2116466666666,original
2006-02-09,1515.1847733333334,original
2006-02-10,1599.8402066666665,original
2006-02-11,1636.1211066666665,original
2006-02-12,1727.4427866666665,original
2006-02-13,1779.35692,original
2006-02-14,1795.8750533333334,original
2006-02-15,1766.5553666666665,original
2006-02-16,1711.21962,original
2006-02-17,1617.5382066666666,original
2006-02-18,1513.2379933333334,original
2006-02-19,1435.7207533333333,original
2006-02-20,1306.82032,original
2006-02-21,1170.2507533333335,original
2006-02-22,1041.17334,original
2006-02-23,1025.3041333333333,original
2006-02-24,1026.9344945454545,original
2006-02-25,1129.4709704347824,original
2006-02-26,1368.8223133333333,original
2006-02-27,1558.1909133333334,original
2006-02-28,1687.2683266666666,original
2006-03-01,1802.2463333333333,original
2006-03-02,1876.9908866666667,original
2006-03-03,1899.4416973913044,original
2006-03-04,1860.6497333333332,original
2006-03-05,1787.7339733333333,original
2006-03-06,1642.02044,original
2006-03-07,1499.6105333333335,original
2006-03-08,1368.2913733333335,original
2006-03-09,1194.3200333333334,original
2006-03-10,1027.1329266666667,original
2006-03-11,984.18578,original
2006-03-12,1083.3535733333333,original
2006-03-13,1127.00864,original
2006-03-14,1140.8720733333334,original
2006-03-15,1144.2346933333333,original
2006-03-16,1130.0173,original
2006-03-17,1139.3382466666667,original
2006-03-18,1089.66586,original
2006-03-19,964.5999933333334,original
2006-03-20,840.3600333333333,original
2006-03-21,850.03494,original
2006-03-22,1113.91212,original
2006-03-23,1343.8681333333334,original
2006-03-24,1526.4524999999999,original
2006-03-25,1647.6248066666665,original
2006-03-26,1736.1148066666665,original
2006-03-27,1781.12672,original
2006-03-28,1743.6659533333334,original
2006-03-29,1643.2003066666666,original
2006-03-30,1484.8622,original
2006-03-31,1304.16562,original
2006-04-01,1136.38858,original
2006-04-02,988.3743066666666,original
2006-04-03,873.2783133333332,original
2006-04-04,808.1496733333333,original
2006-04-05,736.94472,original
2006-04-06,675.00172,original
2006-04-07,651.5223733333332,original
2006-04-08,626.1552399999999,original
2006-04-09,748.8613733333333,original
2006-04-10,796.2920133333333,original
2006-04-11,855.1083666666667,original
2006-04-12,830.56714,original
2006-04-13,763.0787666666666,original
2006-04-14,695.8263666666667,original
2006-04-15,601.0830733333333,original
2006-04-16,520.2032133333333,original
2006-04-17,433.71898666666664,original
2006-04-18,356.0855298,original
2006-04-19,336.474376,original
2006-04-20,377.746112,original
2006-04-21,400.15767933333336,original
2006-04-22,557.1330399999999,original
2006-04-23,640.7265933333333,original
2006-04-24,782.2515999999999,original
2006-04-25,900.1792733333333,original
2006-04-26,901.7720933333333,original
2006-04-27,868.44086,original
2006-04-28,712.1085266666666,original
2006-04-29,510.551904,original
2006-04-30,413.86183066666666,original
