Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,0.166502784,original
2006-01-02,0.167635456,original
2006-01-03,0.158007744,original
2006-01-04,0.144132512,original
2006-01-05,0.143849344,original
2006-01-06,0.14016816,original
2006-01-07,0.136770144,original
2006-01-08,0.13960182399999999,original
2006-01-09,0.144982016,original
2006-01-10,0.14809686400000002,original
2006-01-11,0.143283008,original
2006-01-12,0.13846915199999998,original
2006-01-13,1.0886393760000002,interpolated
2006-01-14,2.0388096,original
2006-01-15,0.6796032,original
2006-01-16,0.6229696,original
2006-01-17,0.6796032,original
2006-01-18,0.8054556444444444,original
2006-01-19,0.5691676800000001,original
2006-01-20,0.4105936,original
2006-01-21,0.3681184,original
2006-01-22,0.58898944,original
2006-01-23,4.6138686,original
2006-01-24,6.6668366,original
2006-01-25,3.8298472,original
2006-01-26,2.0452988666666667,original
2006-01-27,1.2158526,original
2006-01-28,0.858353,original
2006-01-29,1.5178984666666666,original
2006-01-30,1.8984054666666668,original
2006-01-31,1.1232330666666666,original
2006-02-01,0.778712,original
2006-02-02,2.23985888,original
2006-02-03,2.7561685333333332,original
2006-02-04,1.9142156799999999,original
2006-02-05,1.3928326,original
2006-02-06,0.8636623999999999,original
2006-02-07,0.7279777333333333,original
2006-02-08,0.5946528,original
2006-02-09,0.5380192,original
2006-02-10,0.5126520666666667,original
2006-02-11,5.117081733333333,original
2006-02-12,4.95544,original
2006-02-13,3.2263454,original
2006-02-14,1.65936448,original
2006-02-15,1.18081056,original
2006-02-16,0.9061376,original
2006-02-17,0.7673852800000001,original
2006-02-18,0.7114596,original
2006-02-19,0.64562304,original
2006-02-20,0.57766272,original
2006-02-21,0.5274004,original
2006-02-22,0.5097024,original
2006-02-23,0.49720969411764704,original
2006-02-24,0.47855391999999997,original
2006-02-25,4.698923105882352,original
2006-02-26,13.8893904,original
2006-02-27,7.645536,original
2006-02-28,3.7378176,original
2006-03-01,2.3219776,original
2006-03-02,1.7641366399999998,original
2006-03-03,1.4951270399999999,original
2006-03-04,1.22611744,original
2006-03-05,0.99391968,original
2006-03-06,0.7645535999999999,original
2006-03-07,0.70792,original
2006-03-08,0.6851092444444444,original
2006-03-09,0.60597952,original
2006-03-10,0.57483104,original
2006-03-11,0.5351875199999999,original
2006-03-12,0.50120736,original
2006-03-13,0.48138559999999997,original
2006-03-14,0.4530688,original
2006-03-15,0.44174208,original
2006-03-16,0.42192032,original
2006-03-17,0.43607872000000003,original
2006-03-18,0.43607872000000003,original
2006-03-19,0.41342528,original
2006-03-20,0.41625695999999995,original
2006-03-21,0.42758367999999997,original
2006-03-22,0.40705399999999997,original
2006-03-23,0.37095007999999996,original
2006-03-24,0.37944512,original
2006-03-25,0.3681184,original
2006-03-26,0.35679168,original
2006-03-27,0.35112832,original
2006-03-28,0.34829664,original
2006-03-29,0.34546496,original
2006-03-30,0.34263328,original
2006-03-31,0.34263328,original
2006-04-01,0.3398016,original
2006-04-02,0.33413824000000003,original
2006-04-03,0.3398016,original
2006-04-04,0.3398016,original
2006-04-05,0.3398016,original
2006-04-06,0.36245504,original
2006-04-07,0.37095007999999996,original
2006-04-08,0.35962335999999995,original
2006-04-09,0.31384453333333334,original
2006-04-10,0.272690784,original
2006-04-11,0.26617792,original
2006-04-12,0.27240761599999996,original
2006-04-13,0.275239296,original
2006-04-14,0.2619304,original
2006-04-15,0.24663932800000002,original
2006-04-16,0.24210864,original
2006-04-17,0.22936608,original
2006-04-18,0.222853216,original
2006-04-19,0.22936608,original
2006-04-20,0.2052968,original
2006-04-21,0.207845312,original
2006-04-22,0.21444076666666667,original
2006-04-23,0.20699580799999998,original
2006-04-24,0.19198790400000001,original
2006-04-25,0.188589888,original
2006-04-26,0.41200943999999995,original
2006-04-27,0.42192032,original
2006-04-28,0.33478716666666664,original
2006-04-29,0.7419001599999999,original
2006-04-30,14.120762253333334,original
2006-05-01,5.097024,original
2006-05-02,2.3036896666666666,original
2006-05-03,1.5361864,original
2006-05-04,3.1968487333333333,original
2006-05-05,1.23461248,original
2006-05-06,1.05055328,original
2006-05-07,0.9146326399999999,original
2006-05-08,4.0776192,original
2006-05-09,1.68768128,original
2006-05-10,0.99391968,original
2006-05-11,0.7297475333333333,original
2006-05-12,0.53235584,original
2006-05-13,0.4790258666666667,original
2006-05-14,0.43324704,original
2006-05-15,0.4105936,original
2006-05-16,0.38227679999999997,original
2006-05-17,0.3681184,original
2006-05-18,0.36245504,original
2006-05-19,0.35679168,original
2006-05-20,0.35631973333333333,original
2006-05-21,0.3398016,original
2006-05-22,0.3398016,original
2006-05-23,0.3398016,original
2006-05-24,0.3398016,original
2006-05-25,0.32847487999999997,original
2006-05-26,0.3256432,original
2006-05-27,0.3114848,original
2006-05-28,0.3132546,original
2006-05-29,0.31714815999999996,original
2006-05-30,0.31431648,original
2006-05-31,0.30865312,original
2006-06-01,0.31714815999999996,original
2006-06-02,0.42770166666666665,original
2006-06-03,0.5863937333333333,original
2006-06-04,0.32281152,original
2006-06-05,0.27467295999999997,original
2006-06-06,0.24918784000000002,original
2006-06-07,0.20104928,original
2006-06-08,0.204164128,original
2006-06-09,0.197368096,original
2006-06-10,0.18388221999999999,original
2006-06-11,0.1840592,original
2006-06-12,0.180378016,original
2006-06-13,0.173865152,original
2006-06-14,0.16338793599999998,original
2006-06-15,0.15630873599999998,original
2006-06-16,0.155459232,original
2006-06-17,0.16537011199999999,original
2006-06-18,0.261080896,original
2006-06-19,0.72491008,original
2006-06-20,1.62538432,original
2006-06-21,0.4825654666666667,original
2006-06-22,0.268726432,original
2006-06-23,0.204164128,original
2006-06-24,0.17585912666666667,original
2006-06-25,0.18523906666666667,original
2006-06-26,0.19255424000000002,original
2006-06-27,0.15208481333333335,original
2006-06-28,0.13828037333333335,original
2006-06-29,0.13960182399999999,original
2006-06-30,0.13818598399999998,original
2006-07-01,0.13592063999999998,original
2006-07-02,0.244090816,original
2006-07-03,0.26504524799999996,original
2006-07-04,0.190855232,original
2006-07-05,0.24606119333333332,original
2006-07-06,0.424752,original
2006-07-07,0.9261953333333334,original
2006-07-08,0.6624951333333333,original
2006-07-09,0.5156017333333333,original
2006-07-10,0.4006237266666667,original
2006-07-11,0.264195744,original
2006-07-12,0.22500057333333331,original
2006-07-13,0.162538432,original
2006-07-14,0.31997984,original
2006-07-15,0.157724576,original
2006-07-16,0.14111205333333332,original
2006-07-17,0.13704151333333334,original
2006-07-18,0.13846915199999998,original
2006-07-19,0.13285298666666664,original
2006-07-20,0.30865312,original
2006-07-21,0.3681184,original
2006-07-22,0.60031616,original
2006-07-23,1.69617632,original
2006-07-24,1.7886778666666665,original
2006-07-25,0.7192467199999999,original
2006-07-26,0.4548386,original
2006-07-27,0.32139567999999996,original
2006-07-28,0.26277990399999995,original
2006-07-29,0.18802355199999998,original
2006-07-30,1.1185136,original
2006-07-31,0.45590048000000005,original
2006-08-01,1.54892896,original
2006-08-02,0.37944512,original
2006-08-03,0.174714656,original
2006-08-04,0.15002004666666666,original
2006-08-05,0.176696832,original
2006-08-06,0.22258184666666667,original
2006-08-07,0.16482737333333333,original
2006-08-08,0.1495481,original
2006-08-09,0.13828037333333335,original
2006-08-10,0.31714815999999996,original
2006-08-11,0.71641504,original
2006-08-12,0.7220784,original
2006-08-13,0.41873467999999997,original
2006-08-14,0.21939620666666665,original
2006-08-15,0.16299858,original
2006-08-16,0.1840592,original
2006-08-17,0.21733144000000001,original
2006-08-18,0.14356617600000002,original
2006-08-19,0.136770144,original
2006-08-20,0.142150336,original
2006-08-21,0.13960182399999999,original
2006-08-22,0.35112832,original
2006-08-23,3.8302011600000005,original
2006-08-24,2.5125260666666667,original
2006-08-25,1.5121171199999999,original
2006-08-26,1.9137437333333331,original
2006-08-27,0.9303248666666666,original
2006-08-28,0.5468682,original
2006-08-29,0.3816868666666666,original
2006-08-30,0.38227679999999997,original
2006-08-31,0.3291828,original
2006-09-01,0.235595776,original
2006-09-02,0.19868954666666666,original
2006-09-03,0.17279147333333333,original
2006-09-04,0.14783729333333334,original
2006-09-05,0.139601824,original
2006-09-06,0.1274256,original
2006-09-07,0.11729116631578947,original
2006-09-08,0.118647392,original
2006-09-09,0.11757371333333332,original
2006-09-10,0.14028614666666667,original
2006-09-11,0.65411808,original
2006-09-12,0.23021558400000003,original
2006-09-13,0.18689087999999998,original
2006-09-14,0.150645376,original
2006-09-15,0.13102419333333332,original
2006-09-16,0.12400398666666668,original
2006-09-17,1.17797888,original
2006-09-18,2.770326933333333,original
2006-09-19,2.041759266666667,original
2006-09-20,0.4790258666666667,original
2006-09-21,0.22738390399999997,original
2006-09-22,0.169617632,original
2006-09-23,0.195952256,original
2006-09-24,0.4389104,original
2006-09-25,0.3580895333333333,original
2006-09-26,0.23672844799999998,original
2006-09-27,0.187457216,original
2006-09-28,0.15108192666666667,original
2006-09-29,0.13509473333333333,original
2006-09-30,0.13365529599999998,original
2006-10-01,0.15149488,original
2006-10-02,0.20635868000000002,original
2006-10-03,0.15904602666666667,original
2006-10-04,0.13507113599999998,original
2006-10-05,0.126576096,original
2006-10-06,0.12884144,original
2006-10-07,0.122045408,original
2006-10-08,0.11834062666666666,original
2006-10-09,0.11836422399999999,original
2006-10-10,0.113550368,original
2006-10-11,0.11350317333333335,original
2006-10-12,0.11015235200000001,original
2006-10-13,0.11609887999999999,original
2006-10-14,0.112417696,original
2006-10-15,0.11314921333333333,original
2006-10-16,0.28830042,original
2006-10-17,0.42711173333333335,original
2006-10-18,0.37578753333333337,original
2006-10-19,0.77021696,original
2006-10-20,0.5833260800000001,original
2006-10-21,0.38463653333333336,original
2006-10-22,1.8400020666666668,original
2006-10-23,3.5679168,original
2006-10-24,1.08170176,original
2006-10-25,0.6329984666666667,original
2006-10-26,0.42003253333333335,original
2006-10-27,10.463057599999999,original
2006-10-28,12.516025599999999,original
2006-10-29,7.3906848,original
2006-10-30,3.194489,original
2006-10-31,1.5562441333333334,original
2006-11-01,0.93728608,original
2006-11-02,0.7562945333333333,original
2006-11-03,0.5810843333333333,original
2006-11-04,0.4760762,original
2006-11-05,0.40410433333333334,original
2006-11-06,0.39112579999999997,original
2006-11-07,1.4317682,original
2006-11-08,1.8706786,original
2006-11-09,1.1686579333333333,original
2006-11-10,0.8099784666666667,original
2006-11-11,0.5691676800000001,original
2006-11-12,0.45023712,original
2006-11-13,0.39077184000000004,original
2006-11-14,0.41000366666666666,original
2006-11-15,8.636624,original
2006-11-16,7.4756352,original
2006-11-17,4.4457376,original
2006-11-18,2.11526496,original
2006-11-19,1.2884144,original
2006-11-20,0.9633611333333334,original
2006-11-21,0.69942496,original
2006-11-22,0.6040917333333333,original
2006-11-23,0.49837568000000004,original
2006-11-24,0.4554285333333333,original
2006-11-25,0.4088238,original
2006-11-26,0.37932713333333334,original
2006-11-27,0.3569096666666666,original
2006-11-28,0.3398016,original
2006-11-29,0.31679419999999997,original
2006-11-30,0.41908864,original
2006-12-01,1.840592,original
2006-12-02,1.1810465333333333,original
2006-12-03,0.62863296,original
2006-12-04,0.45023712,original
2006-12-05,0.37378175999999996,original
2006-12-06,0.35112832,original
2006-12-07,0.33390226666666667,original
2006-12-08,0.3079452,original
2006-12-09,0.27750464,original
2006-12-10,0.2690096,original
2006-12-11,0.283168,original
2006-12-12,0.3398016,original
2006-12-13,0.33350897777777777,original
2006-12-14,0.41625695999999995,original
2006-12-15,0.32281152,original
2006-12-16,0.2973264,original
2006-12-17,0.28387592,original
