Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,18.8023552,original
2006-01-02,30.263835874698792,original
2006-01-03,30.015808,original
2006-01-04,23.1348256,original
2006-01-05,27.5522464,original
2006-01-06,23.33567732093023,original
2006-01-07,1.6373599666666665,original
2006-01-08,5.920570933333334,original
2006-01-09,-0.7049703333333333,original
2006-01-10,16.444686633333333,original
2006-01-11,13.8557642,original
2006-01-12,-4.793208333333333,original
2006-01-13,14.9229536,original
2006-01-14,10.9869184,original
2006-01-15,-2.236732233333333,original
2006-01-16,-4.4174208,original
2006-01-17,37.944511999999996,original
2006-01-18,20.594201851428572,original
2006-01-19,17.5688046,original
2006-01-20,31.431648,original
2006-01-21,69.942496,original
2006-01-22,75.03952,original
2006-01-23,87.215744,original
2006-01-24,65.1427984,original
2006-01-25,34.829664,original
2006-01-26,30.69128166666667,original
2006-01-27,31.6210166,original
2006-01-28,46.156384,original
2006-01-29,63.7128,original
2006-01-30,62.0306051,original
2006-01-31,74.75635199999999,original
2006-02-01,58.99952763333334,original
2006-02-02,104.14093133333334,original
2006-02-03,100.241472,original
2006-02-04,136.513523,original
2006-02-05,151.211712,original
2006-02-06,218.11310166666667,original
2006-02-07,235.02944,original
2006-02-08,213.7245876,original
2006-02-09,131.389952,original
2006-02-10,97.12662399999999,original
2006-02-11,134.80714083333334,original
2006-02-12,147.530528,original
2006-02-13,190.16501,original
2006-02-14,235.02944,original
2006-02-15,243.241312,original
2006-02-16,210.67699199999998,original
2006-02-17,206.93976433333333,original
2006-02-18,199.916608,original
2006-02-19,161.9791752,original
2006-02-20,142.45710133333333,original
2006-02-21,130.04195433333334,original
2006-02-22,106.2879937,original
2006-02-23,109.01968,original
2006-02-24,65.15577693333334,original
2006-02-25,52.53444823333333,original
2006-02-26,69.6743713,original
2006-02-27,56.648643299999996,original
2006-02-28,83.0460952,original
2006-03-01,85.799904,original
2006-03-02,102.6961846,original
2006-03-03,105.32138793333334,original
2006-03-04,82.401888,original
2006-03-05,67.39634373333334,original
2006-03-06,68.91276736666666,original
2006-03-07,50.1552471,original
2006-03-08,25.321118533333333,original
2006-03-09,36.83602726666667,original
