Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,43.607872,original
2006-01-02,42.758368,original
2006-01-03,31.714816,original
2006-01-04,25.48512,original
2006-01-05,27.184128,original
2006-01-06,27.637196799999998,original
2006-01-07,27.9769984,original
2006-01-08,28.3168,original
2006-01-09,29.166304,original
2006-01-10,28.883136,original
2006-01-11,27.269078399999998,original
2006-01-12,17.8112672,original
2006-01-13,12.317808,original
2006-01-14,11.0152352,original
2006-01-15,12.9690944,original
2006-01-16,18.6041376,original
2006-01-17,23.4746272,original
2006-01-18,27.892048,original
2006-01-19,35.679168,original
2006-01-20,57.483104,original
2006-01-21,65.411808,original
2006-01-22,69.659328,original
2006-01-23,52.102911999999996,original
2006-01-24,34.546496,original
2006-01-25,30.015808,original
2006-01-26,41.05936,original
2006-01-27,50.687072,original
2006-01-28,53.80192,original
2006-01-29,56.6336,original
2006-01-30,58.898944,original
2006-01-31,60.597952,original
2006-02-01,59.46528,original
2006-02-02,59.46528,original
2006-02-03,86.36624,original
2006-02-04,154.609728,original
2006-02-05,184.342368,original
2006-02-06,192.271072,original
2006-02-07,175.280992,original
2006-02-08,122.894912,original
2006-02-09,77.588032,original
2006-02-10,66.261312,original
2006-02-11,85.233568,original
2006-02-12,138.75232,original
2006-02-13,191.704736,original
2006-02-14,199.067104,original
2006-02-15,169.334464,original
2006-02-16,133.372128,original
2006-02-17,116.948384,original
2006-02-18,112.134528,original
2006-02-19,109.586016,original
2006-02-20,107.320672,original
2006-02-21,105.904832,original
2006-02-22,92.879104,original
2006-02-23,60.031616,original
2006-02-24,46.439552,original
2006-02-25,45.023711999999996,original
2006-02-26,50.97024,original
2006-02-27,75.03952,original
2006-02-28,73.340512,original
2006-03-01,83.817728,original
2006-03-02,89.19792,original
2006-03-03,83.251392,original
2006-03-04,70.792,original
2006-03-05,54.085088,original
2006-03-06,47.855392,original
2006-03-07,46.439552,original
2006-03-08,46.156384,original
2006-03-09,45.590047999999996,original
2006-03-10,36.245504,original
2006-03-11,30.015808,original
2006-03-12,28.883136,original
2006-03-13,28.0902656,original
2006-03-14,27.1558112,original
2006-03-15,26.2213568,original
2006-03-16,25.6550208,original
2006-03-17,26.3912576,original
2006-03-18,26.1080896,original
2006-03-19,25.7399712,original
2006-03-20,26.476208,original
2006-03-21,30.865312,original
2006-03-22,71.075168,original
2006-03-23,122.045408,original
2006-03-24,126.292928,original
2006-03-25,112.984032,original
2006-03-26,90.896928,original
2006-03-27,82.96822399999999,original
2006-03-28,81.552384,original
2006-03-29,82.401888,original
2006-03-30,84.384064,original
2006-03-31,84.667232,original
2006-04-01,84.9504,original
2006-04-02,83.817728,original
2006-04-03,82.401888,original
2006-04-04,81.552384,original
2006-04-05,80.419712,original
2006-04-06,79.853376,original
2006-04-07,79.853376,original
2006-04-08,79.28704,original
2006-04-09,75.605856,original
2006-04-10,72.20784,original
2006-04-11,74.473184,original
2006-04-12,73.62368,original
2006-04-13,61.447456,original
2006-04-14,47.572224,original
2006-04-15,43.324704,original
2006-04-16,42.192032,original
2006-04-17,41.908864,original
2006-04-18,41.625696,original
2006-04-19,41.342528,original
2006-04-20,41.625696,original
2006-04-21,42.192032,original
2006-04-22,43.041536,original
2006-04-23,42.4752,original
2006-04-24,42.192032,original
2006-04-25,41.908864,original
2006-04-26,43.324704,original
2006-04-27,44.740544,original
2006-04-28,45.30688,original
2006-04-29,51.536576,original
2006-04-30,106.754336,original
2006-05-01,191.1384,original
2006-05-02,188.30671999999998,original
2006-05-03,124.59392,original
2006-05-04,76.738528,original
2006-05-05,61.447456,original
2006-05-06,56.350432,original
2006-05-07,54.368256,original
2006-05-08,52.38608,original
2006-05-09,50.97024,original
2006-05-10,49.837568,original
2006-05-11,54.368256,original
2006-05-12,72.774176,original
2006-05-13,78.437536,original
2006-05-14,80.136544,original
2006-05-15,83.53456,original
2006-05-16,100.807808,original
2006-05-17,112.41769599999999,original
2006-05-18,133.655296,original
2006-05-19,153.477056,original
2006-05-20,160.273088,original
2006-05-21,148.946368,original
2006-05-22,92.879104,original
2006-05-23,57.199936,original
2006-05-24,63.7128,original
2006-05-25,65.411808,original
2006-05-26,60.881119999999996,original
2006-05-27,40.493024,original
2006-05-28,32.56432,original
2006-05-29,34.829664,original
2006-05-30,35.112832,original
2006-05-31,35.396,original
2006-06-01,34.263328,original
2006-06-02,28.599968,original
2006-06-03,23.644528,original
2006-06-04,21.379184,original
2006-06-05,28.599968,original
2006-06-06,32.847488,original
2006-06-07,33.98016,original
2006-06-08,36.245504,original
2006-06-09,37.095008,original
2006-06-10,37.378175999999996,original
2006-06-11,36.81184,original
2006-06-12,35.679168,original
2006-06-13,35.112832,original
2006-06-14,34.829664,original
2006-06-15,35.396,original
2006-06-16,35.962336,original
2006-06-17,35.962336,original
2006-06-18,37.095008,original
2006-06-19,44.174208,original
2006-06-20,51.536576,original
2006-06-21,63.7128,original
2006-06-22,86.649408,original
2006-06-23,73.057344,original
2006-06-24,46.439552,original
2006-06-25,37.095008,original
2006-06-26,35.962336,original
2006-06-27,34.829664,original
2006-06-28,36.528672,original
2006-06-29,38.510848,original
2006-06-30,38.794016,original
2006-07-01,38.794016,original
2006-07-02,39.64352,original
2006-07-03,47.005888,original
2006-07-04,51.819744,original
2006-07-05,52.38608,original
2006-07-06,48.421728,original
2006-07-07,50.120736,original
2006-07-08,50.120736,original
2006-07-09,48.704896,original
2006-07-10,47.855392,original
2006-07-11,47.572224,original
2006-07-12,47.005888,original
2006-07-13,46.439552,original
2006-07-14,45.590047999999996,original
2006-07-15,45.30688,original
2006-07-16,47.855392,original
2006-07-17,51.536576,original
2006-07-18,57.483104,original
2006-07-19,45.873216,original
2006-07-20,49.5544,original
2006-07-21,58.898944,original
2006-07-22,60.881119999999996,original
2006-07-23,62.580128,original
2006-07-24,63.429632,original
2006-07-25,60.881119999999996,original
2006-07-26,62.863296,original
2006-07-27,92.0296,original
2006-07-28,114.966208,original
2006-07-29,150.645376,original
2006-07-30,181.510688,original
2006-07-31,172.166144,original
2006-08-01,127.142432,original
2006-08-02,94.294944,original
2006-08-03,87.78208,original
2006-08-04,104.77216,original
