Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,112.700864,original
2006-01-02,105.33849599999999,original
2006-01-03,98.825632,original
2006-01-04,94.294944,original
2006-01-05,90.04742399999999,original
2006-01-06,86.36624,original
2006-01-07,83.251392,original
2006-01-08,80.70288,original
2006-01-09,78.720704,original
2006-01-10,77.588032,original
2006-01-11,76.45536,original
2006-01-12,75.322688,original
2006-01-13,80.136544,original
2006-01-14,89.19792,original
2006-01-15,89.764256,original
2006-01-16,89.764256,original
2006-01-17,95.710784,original
2006-01-18,121.479072,original
2006-01-19,150.362208,original
2006-01-20,186.607712,original
2006-01-21,248.338336,original
2006-01-22,283.168,original
2006-01-23,277.787808,original
2006-01-24,276.371968,original
2006-01-25,305.82144,original
2006-01-26,351.12832,original
2006-01-27,368.1184,original
2006-01-28,348.29663999999997,original
2006-01-29,305.82144,original
2006-01-30,259.665056,original
2006-01-31,332.74418215384617,original
2006-02-01,416.25696,original
2006-02-02,404.93023999999997,original
2006-02-03,373.78176,original
2006-02-04,390.77184,original
2006-02-05,424.752,original
2006-02-06,453.0688,original
2006-02-07,447.28745333333336,original
2006-02-08,408.11588,original
2006-02-09,361.51114666666666,original
2006-02-10,318.21004,original
2006-02-11,297.79834666666665,original
2006-02-12,413.5432666666666,original
2006-02-13,570.4655333333333,original
2006-02-14,671.46212,original
2006-02-15,685.26656,original
2006-02-16,649.1934191304348,original
2006-02-17,521.02912,original
2006-02-18,421.92032,original
2006-02-19,353.96,original
2006-02-20,319.27192,original
2006-02-21,299.33217333333334,original
2006-02-22,258.249216,original
2006-02-23,250.89864666666665,original
2006-02-24,250.82785466666664,original
2006-02-25,255.098972,original
2006-02-26,489.88063999999997,original
2006-02-27,712.9934266666667,original
2006-02-28,883.0122133333333,original
2006-03-01,914.63264,original
2006-03-02,832.51392,original
2006-03-03,713.58336,original
2006-03-04,617.30624,original
2006-03-05,477.13808,original
2006-03-06,359.1514133333333,original
2006-03-07,270.991776,original
2006-03-08,240.66920266666665,original
2006-03-09,205.2968,original
2006-03-10,189.156224,original
2006-03-11,184.95589866666668,original
