Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,147.813696,original
2006-01-02,139.035488,original
2006-01-03,133.372128,original
2006-01-04,129.40777599999998,original
2006-01-05,121.479072,original
2006-01-06,112.700864,original
2006-01-07,106.754336,original
2006-01-08,103.639488,original
2006-01-09,101.94048,original
2006-01-10,100.241472,original
2006-01-11,94.578112,original
2006-01-12,85.516736,original
2006-01-13,81.269216,original
2006-01-14,89.481088,original
2006-01-15,97.976128,original
2006-01-16,100.52464,original
2006-01-17,108.736512,original
2006-01-18,120.3464,original
2006-01-19,138.185984,original
2006-01-20,211.243328,original
2006-01-21,285.99968,original
2006-01-22,300.15808,original
2006-01-23,302.98976,original
2006-01-24,362.45504,original
2006-01-25,543.68256,original
2006-01-26,665.4448,original
2006-01-27,744.73184,original
2006-01-28,781.54368,original
2006-01-29,792.8704,original
2006-01-30,787.20704,original
2006-01-31,826.85056,original
2006-02-01,866.4940799999999,original
2006-02-02,908.96928,original
2006-02-03,923.1276799999999,original
2006-02-04,934.4544,original
2006-02-05,957.10784,original
2006-02-06,988.25632,original
2006-02-07,1030.73152,original
2006-02-08,1027.89984,original
2006-02-09,996.75136,original
2006-02-10,923.1276799999999,original
2006-02-11,869.32576,original
2006-02-12,809.8604799999999,original
2006-02-13,846.67232,original
2006-02-14,928.79104,original
2006-02-15,1005.2464,original
2006-02-16,1042.05824,original
2006-02-17,1036.39488,original
2006-02-18,957.10784,original
2006-02-19,846.67232,original
2006-02-20,699.4249599999999,original
2006-02-21,563.50432,original
2006-02-22,441.74208,original
2006-02-23,359.62336,original
2006-02-24,308.65312,original
2006-02-25,291.66304,original
2006-02-26,404.93023999999997,original
2006-02-27,603.14784,original
2006-02-28,753.2268799999999,original
2006-03-01,857.99904,original
2006-03-02,940.11776,original
2006-03-03,982.59296,original
2006-03-04,1019.4048,original
2006-03-05,1033.5632,original
2006-03-06,1053.38496,original
2006-03-07,1061.8799999999999,original
2006-03-08,1070.37504,original
2006-03-09,1078.87008,original
2006-03-10,1056.21664,original
2006-03-11,945.78112,original
2006-03-12,775.88032,original
2006-03-13,676.77152,original
2006-03-14,591.82112,original
2006-03-15,489.88063999999997,original
2006-03-16,413.42528,original
2006-03-17,353.96,original
2006-03-18,308.65312,original
2006-03-19,267.310592,original
2006-03-20,244.94031999999999,original
2006-03-21,258.249216,original
2006-03-22,419.08864,original
2006-03-23,654.11808,original
2006-03-24,849.504,original
2006-03-25,971.26624,original
2006-03-26,1022.23648,original
2006-03-27,996.75136,original
2006-03-28,911.80096,original
2006-03-29,815.52384,original
2006-03-30,733.40512,original
2006-03-31,659.78144,original
2006-04-01,591.82112,original
2006-04-02,509.7024,original
2006-04-03,413.42528,original
2006-04-04,336.96992,original
2006-04-05,277.50464,original
2006-04-06,229.932416,original
2006-04-07,189.156224,original
2006-04-08,157.441408,original
2006-04-09,133.938464,original
2006-04-10,118.93056,original
2006-04-11,110.718688,original
2006-04-12,104.77216,original
2006-04-13,100.807808,original
2006-04-14,97.976128,original
2006-04-15,94.578112,original
2006-04-16,91.746432,original
2006-04-17,89.19792,original
2006-04-18,86.649408,original
2006-04-19,84.667232,original
2006-04-20,82.401888,original
2006-04-21,80.986048,original
2006-04-22,79.853376,original
2006-04-23,79.28704,original
2006-04-24,79.853376,original
2006-04-25,81.269216,original
2006-04-26,96.27712,original
2006-04-27,111.85136,original
2006-04-28,113.2672,original
2006-04-29,101.657312,original
2006-04-30,100.52464,original
2006-05-01,127.70876799999999,original
2006-05-02,211.526496,original
2006-05-03,251.170016,original
2006-05-04,207.562144,original
2006-05-05,161.972096,original
2006-05-06,133.655296,original
2006-05-07,131.956288,original
2006-05-08,172.166144,original
2006-05-09,215.490848,original
2006-05-10,248.338336,original
2006-05-11,255.983872,original
2006-05-12,247.488832,original
2006-05-13,275.805632,original
2006-05-14,291.66304,original
2006-05-15,308.65312,original
2006-05-16,334.13824,original
2006-05-17,353.96,original
2006-05-18,319.97983999999997,original
2006-05-19,270.142272,original
2006-05-20,213.508672,original
2006-05-21,163.954272,original
2006-05-22,129.974112,original
2006-05-23,111.568192,original
2006-05-24,106.754336,original
2006-05-25,97.976128,original
2006-05-26,92.879104,original
2006-05-27,94.011776,original
2006-05-28,86.932576,original
2006-05-29,80.136544,original
2006-05-30,73.906848,original
2006-05-31,70.225664,original
2006-06-01,69.659328,original
2006-06-02,66.827648,original
2006-06-03,63.7128,original
2006-06-04,61.447456,original
2006-06-05,58.615776,original
2006-06-06,56.6336,original
2006-06-07,56.067264,original
2006-06-08,54.651424,original
2006-06-09,52.952416,original
2006-06-10,51.536576,original
2006-06-11,50.687072,original
2006-06-12,49.837568,original
2006-06-13,49.271232,original
2006-06-14,48.421728,original
2006-06-15,47.855392,original
2006-06-16,46.72272,original
2006-06-17,46.439552,original
2006-06-18,46.156384,original
2006-06-19,46.72272,original
2006-06-20,47.289056,original
2006-06-21,47.005888,original
2006-06-22,53.235583999999996,original
2006-06-23,56.6336,original
2006-06-24,56.916768,original
2006-06-25,56.350432,original
2006-06-26,52.669247999999996,original
2006-06-27,49.271232,original
2006-06-28,50.687072,original
2006-06-29,54.085088,original
2006-06-30,49.5544,original
2006-07-01,45.590047999999996,original
2006-07-02,43.89104,original
2006-07-03,43.607872,original
2006-07-04,43.607872,original
2006-07-05,43.89104,original
2006-07-06,48.13856,original
2006-07-07,54.368256,original
2006-07-08,54.368256,original
2006-07-09,55.21776,original
2006-07-10,58.615776,original
2006-07-11,56.067264,original
2006-07-12,50.120736,original
2006-07-13,47.289056,original
2006-07-14,45.590047999999996,original
2006-07-15,45.023711999999996,original
2006-07-16,44.174208,original
2006-07-17,43.324704,original
2006-07-18,43.041536,original
2006-07-19,42.4752,original
2006-07-20,42.758368,original
2006-07-21,43.89104,original
2006-07-22,46.439552,original
2006-07-23,52.669247999999996,original
2006-07-24,66.827648,original
2006-07-25,75.03952,original
2006-07-26,65.12864,original
2006-07-27,58.332608,original
2006-07-28,58.898944,original
2006-07-29,53.235583999999996,original
2006-07-30,49.5544,original
2006-07-31,48.988064,original
2006-08-01,49.837568,original
2006-08-02,47.855392,original
2006-08-03,46.72272,original
