Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,35.679168,original
2006-01-02,39.64352,original
2006-01-03,34.546496,original
2006-01-04,30.015808,original
2006-01-05,33.696992,original
2006-01-06,31.14848,original
2006-01-07,32.56432,original
2006-01-08,31.14848,original
2006-01-09,35.396,original
2006-01-10,31.714816,original
2006-01-11,27.269078399999998,original
2006-01-12,30.865312,original
2006-01-13,29.449472,original
2006-01-14,30.865312,original
2006-01-15,29.449472,original
2006-01-16,33.98016,original
2006-01-17,33.98016,original
2006-01-18,34.263328,original
2006-01-19,53.235583999999996,original
2006-01-20,80.419712,original
2006-01-21,83.251392,original
2006-01-22,70.508832,original
2006-01-23,63.429632,original
2006-01-24,49.271232,original
2006-01-25,47.005888,original
2006-01-26,60.314783999999996,original
2006-01-27,59.46528,original
2006-01-28,54.934592,original
2006-01-29,48.421728,original
2006-01-30,52.102911999999996,original
2006-01-31,52.38608,original
2006-02-01,60.314783999999996,original
2006-02-02,65.978144,original
2006-02-03,66.261312,original
2006-02-04,95.993952,original
2006-02-05,140.734496,original
2006-02-06,142.716672,original
2006-02-07,101.657312,original
2006-02-08,75.322688,original
2006-02-09,64.562304,original
2006-02-10,54.934592,original
2006-02-11,62.013792,original
2006-02-12,89.19792,original
2006-02-13,169.617632,original
2006-02-14,212.659168,original
2006-02-15,210.110656,original
2006-02-16,169.617632,original
2006-02-17,114.116704,original
2006-02-18,83.53456,original
2006-02-19,67.67715199999999,original
2006-02-20,59.182112,original
2006-02-21,54.085088,original
2006-02-22,50.403904,original
2006-02-23,47.572224,original
2006-02-24,45.023711999999996,original
2006-02-25,43.607872,original
2006-02-26,45.873216,original
2006-02-27,54.085088,original
2006-02-28,82.96822399999999,original
2006-03-01,103.922656,original
2006-03-02,95.710784,original
2006-03-03,78.154368,original
2006-03-04,63.7128,original
2006-03-05,53.518752,original
2006-03-06,47.289056,original
2006-03-07,42.758368,original
2006-03-08,39.360352,original
2006-03-09,38.22768,original
2006-03-10,42.4752,original
2006-03-11,56.350432,original
2006-03-12,65.411808,original
2006-03-13,70.792,original
2006-03-14,63.7128,original
2006-03-15,51.819744,original
2006-03-16,50.120736,original
2006-03-17,48.988064,original
2006-03-18,48.421728,original
2006-03-19,45.023711999999996,original
2006-03-20,46.156384,original
2006-03-21,43.89104,original
2006-03-22,58.04944,original
2006-03-23,126.859264,original
2006-03-24,163.387936,original
2006-03-25,153.477056,original
2006-03-26,116.382048,original
2006-03-27,86.932576,original
2006-03-28,69.37616,original
2006-03-29,59.46528,original
2006-03-30,54.934592,original
2006-03-31,58.898944,original
2006-04-01,68.526656,original
2006-04-02,68.243488,original
2006-04-03,72.20784,original
2006-04-04,63.7128,original
2006-04-05,50.97024,original
2006-04-06,45.30688,original
2006-04-07,42.758368,original
2006-04-08,45.873216,original
2006-04-09,43.324704,original
2006-04-10,45.873216,original
2006-04-11,44.457376,original
2006-04-12,38.510848,original
2006-04-13,39.360352,original
2006-04-14,40.209856,original
2006-04-15,45.590047999999996,original
2006-04-16,45.590047999999996,original
2006-04-17,44.740544,original
2006-04-18,40.776192,original
2006-04-19,34.263328,original
2006-04-20,38.794016,original
2006-04-21,38.22768,original
2006-04-22,37.095008,original
2006-04-23,36.81184,original
2006-04-24,42.4752,original
2006-04-25,45.30688,original
2006-04-26,46.156384,original
2006-04-27,50.687072,original
2006-04-28,62.29696,original
2006-04-29,89.481088,original
2006-04-30,113.55036799999999,original
2006-05-01,195.669088,original
2006-05-02,288.83136,original
2006-05-03,382.2768,original
2006-05-04,458.73216,original
2006-05-05,475.72224,original
2006-05-06,441.74208,original
2006-05-07,359.62336,original
2006-05-08,269.292768,original
2006-05-09,193.403744,original
2006-05-10,126.00976,original
2006-05-11,121.195904,original
2006-05-12,130.540448,original
2006-05-13,131.106784,original
2006-05-14,128.558272,original
2006-05-15,122.328576,original
2006-05-16,96.843456,original
2006-05-17,71.924672,original
2006-05-18,90.04742399999999,original
2006-05-19,105.621664,original
2006-05-20,110.43552,original
2006-05-21,111.28502399999999,original
2006-05-22,106.47116799999999,original
2006-05-23,89.481088,original
2006-05-24,63.429632,original
2006-05-25,82.11872,original
2006-05-26,99.391968,original
2006-05-27,105.055328,original
2006-05-28,106.47116799999999,original
2006-05-29,102.223648,original
2006-05-30,67.110816,original
2006-05-31,44.740544,original
2006-06-01,46.72272,original
2006-06-02,88.631584,original
2006-06-03,118.647392,original
2006-06-04,132.805792,original
2006-06-05,125.443424,original
2006-06-06,96.843456,original
2006-06-07,66.827648,original
2006-06-08,90.04742399999999,original
2006-06-09,114.116704,original
2006-06-10,131.106784,original
2006-06-11,130.25728,original
2006-06-12,121.479072,original
2006-06-13,101.94048,original
2006-06-14,72.774176,original
2006-06-15,99.1088,original
2006-06-16,122.894912,original
2006-06-17,134.5048,original
2006-06-18,143.283008,original
2006-06-19,190.57206399999998,original
2006-06-20,232.764096,original
2006-06-21,206.146304,original
2006-06-22,237.011616,original
2006-06-23,255.41753599999998,original
2006-06-24,237.294784,original
2006-06-25,210.393824,original
2006-06-26,183.209696,original
2006-06-27,135.92064,original
2006-06-28,87.215744,original
2006-06-29,110.718688,original
2006-06-30,135.071136,original
2006-07-01,146.397856,original
2006-07-02,151.49488,original
2006-07-03,151.49488,original
2006-07-04,121.195904,original
2006-07-05,71.075168,original
2006-07-06,45.873216,original
2006-07-07,60.031616,original
2006-07-08,125.443424,original
2006-07-09,163.387936,original
2006-07-10,168.48496,original
2006-07-11,132.805792,original
2006-07-12,74.190016,original
2006-07-13,43.607872,original
2006-07-14,48.704896,original
2006-07-15,109.01968,original
2006-07-16,145.83152,original
2006-07-17,151.77804799999998,original
2006-07-18,117.797888,original
2006-07-19,82.96822399999999,original
2006-07-20,120.063232,original
2006-07-21,154.043392,original
2006-07-22,167.352288,original
2006-07-23,173.581984,original
2006-07-24,169.617632,original
2006-07-25,130.823616,original
2006-07-26,105.33849599999999,original
2006-07-27,178.679008,original
2006-07-28,236.162112,original
2006-07-29,268.443264,original
2006-07-30,277.221472,original
2006-07-31,263.34624,original
2006-08-01,208.694816,original
2006-08-02,145.548352,original
2006-08-03,165.086944,original
2006-08-04,190.855232,original
2006-08-05,205.013632,original
2006-08-06,214.924512,original
2006-08-07,218.605696,original
2006-08-08,188.873056,original
2006-08-09,139.035488,original
2006-08-10,170.750304,original
2006-08-11,205.2968,original
2006-08-12,218.322528,original
2006-08-13,220.021536,original
2006-08-14,210.110656,original
2006-08-15,166.785952,original
2006-08-16,112.134528,original
2006-08-17,149.795872,original
2006-08-18,181.22752,original
2006-08-19,195.952256,original
2006-08-20,202.748288,original
2006-08-21,197.934432,original
2006-08-22,157.72457599999998,original
2006-08-23,108.170176,original
2006-08-24,140.734496,original
2006-08-25,160.839424,original
2006-08-26,170.183968,original
2006-08-27,174.714656,original
2006-08-28,171.033472,original
2006-08-29,143.56617599999998,original
2006-08-30,100.241472,original
2006-08-31,127.4256,original
2006-09-01,150.645376,original
2006-09-02,154.609728,original
2006-09-03,150.928544,original
2006-09-04,143.56617599999998,original
2006-09-05,113.2672,original
2006-09-06,62.29696,original
2006-09-07,49.837568,original
2006-09-08,84.9504,original
2006-09-09,58.615776,original
2006-09-10,36.245504,original
2006-09-11,37.661344,original
2006-09-12,33.98016,original
2006-09-13,28.175216,original
2006-09-14,30.582144,original
2006-09-15,30.015808,original
2006-09-16,30.582144,original
2006-09-17,30.582144,original
2006-09-18,34.546496,original
2006-09-19,32.847488,original
2006-09-20,27.2124448,original
2006-09-21,30.298976,original
2006-09-22,31.714816,original
2006-09-23,31.14848,original
2006-09-24,32.281152,original
2006-09-25,34.263328,original
2006-09-26,31.997984,original
2006-09-27,30.015808,original
2006-09-28,35.112832,original
2006-09-29,32.56432,original
2006-09-30,33.130656,original
2006-10-01,30.865312,original
2006-10-02,31.714816,original
2006-10-03,29.73264,original
2006-10-04,23.9560128,original
2006-10-05,28.288483199999998,original
2006-10-06,28.883136,original
2006-10-07,29.166304,original
2006-10-08,28.883136,original
2006-10-09,29.449472,original
2006-10-10,28.288483199999998,original
2006-10-11,25.0886848,original
2006-10-12,32.56432,original
2006-10-13,36.81184,original
2006-10-14,42.758368,original
2006-10-15,42.758368,original
2006-10-16,73.340512,original
2006-10-17,294.49472,original
2006-10-18,433.24703999999997,original
2006-10-19,538.0192,original
2006-10-20,1104.3552,original
2006-10-21,1503.6220799999999,original
2006-10-22,1602.73088,original
2006-10-23,1364.86976,original
2006-10-24,1044.88992,original
2006-10-25,778.712,original
2006-10-26,659.78144,original
2006-10-27,849.504,original
2006-10-28,767.38528,original
2006-10-29,688.09824,original
2006-10-30,648.45472,original
2006-10-31,622.9696,original
2006-11-01,560.67264,original
2006-11-02,478.55392,original
2006-11-03,399.26688,original
2006-11-04,311.4848,original
2006-11-05,224.83539199999998,original
2006-11-06,163.67110399999999,original
2006-11-07,132.805792,original
2006-11-08,128.275104,original
2006-11-09,151.211712,original
2006-11-10,165.370112,original
2006-11-11,157.441408,original
2006-11-12,133.655296,original
2006-11-13,118.93056,original
2006-11-14,110.43552,original
2006-11-15,101.657312,original
2006-11-16,92.595936,original
2006-11-17,86.083072,original
2006-11-18,80.986048,original
2006-11-19,72.491008,original
2006-11-20,62.29696,original
2006-11-21,52.38608,original
2006-11-22,47.572224,original
2006-11-23,44.457376,original
2006-11-24,43.041536,original
2006-11-25,57.199936,original
2006-11-26,54.368256,original
2006-11-27,43.607872,original
2006-11-28,39.360352,original
2006-11-29,38.22768,original
2006-11-30,46.156384,original
2006-12-01,45.590047999999996,original
2006-12-02,47.855392,original
2006-12-03,56.6336,original
2006-12-04,57.199936,original
2006-12-05,43.324704,original
2006-12-06,38.22768,original
2006-12-07,44.457376,original
2006-12-08,41.908864,original
2006-12-09,45.30688,original
2006-12-10,41.05936,original
2006-12-11,44.174208,original
2006-12-12,38.794016,original
2006-12-13,37.661344,original
2006-12-14,57.483104,original
2006-12-15,70.508832,original
2006-12-16,62.29696,original
2006-12-17,50.97024,original
2006-12-18,43.607872,original
2006-12-19,39.360352,original
2006-12-20,37.095008,original
