Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,14.9795872,original
2006-01-02,14.9512704,original
2006-01-03,14.441568,original
2006-01-04,13.2805792,original
2006-01-05,13.0540448,original
2006-01-06,12.9974112,original
2006-01-07,12.9974112,original
2006-01-08,13.0540448,original
2006-01-09,13.0823616,original
2006-01-10,13.2805792,original
2006-01-11,13.3655296,original
2006-01-12,13.45048,original
2006-01-13,13.8469152,original
2006-01-14,15.1778048,original
2006-01-15,15.715824,original
2006-01-16,14.8096864,original
2006-01-17,14.9512704,original
2006-01-18,16.0839424,original
2006-01-19,17.556416,original
2006-01-20,16.2538432,original
2006-01-21,15.6875072,original
2006-01-22,15.545923199999999,original
2006-01-23,19.7934432,original
2006-01-24,65.978144,original
2006-01-25,52.38608,original
2006-01-26,30.298976,original
2006-01-27,24.1825472,original
2006-01-28,21.577401599999998,original
2006-01-29,20.7845312,original
2006-01-30,23.9843296,original
2006-01-31,30.865312,original
2006-02-01,27.3540288,original
2006-02-02,25.400169599999998,original
2006-02-03,33.413824,original
2006-02-04,39.64352,original
2006-02-05,33.413824,original
2006-02-06,26.90096,original
2006-02-07,23.786112,original
2006-02-08,22.8233408,original
2006-02-09,21.6340352,original
2006-02-10,20.8411648,original
2006-02-11,26.3912576,original
2006-02-12,50.403904,original
2006-02-13,42.758368,original
2006-02-14,33.98016,original
2006-02-15,28.1185824,original
2006-02-16,25.0037344,original
2006-02-17,23.219776,original
2006-02-18,22.2570048,original
2006-02-19,21.6057184,original
2006-02-20,21.2376,original
2006-02-21,20.8694816,original
2006-02-22,20.8411648,original
2006-02-23,20.7562144,original
2006-02-24,20.6429472,original
2006-02-25,27.637196799999998,original
2006-02-26,60.031616,original
2006-02-27,86.932576,original
2006-02-28,58.04944,original
2006-03-01,35.962336,original
2006-03-02,26.5894752,original
2006-03-03,22.2003712,original
2006-03-04,19.5102752,original
2006-03-05,17.8112672,original
2006-03-06,16.6219616,original
2006-03-07,15.8290912,original
2006-03-08,15.2061216,original
2006-03-09,14.7813696,original
2006-03-10,14.5265184,original
2006-03-11,14.724736,original
2006-03-12,14.9229536,original
2006-03-13,15.262755199999999,original
2006-03-14,14.7813696,original
2006-03-15,14.2150336,original
2006-03-16,13.6770144,original
2006-03-17,13.4221632,original
2006-03-18,13.1956288,original
2006-03-19,13.1106784,original
2006-03-20,12.9974112,original
2006-03-21,13.1389952,original
2006-03-22,17.2449312,original
2006-03-23,19.4819584,original
2006-03-24,18.3776032,original
2006-03-25,15.57424,original
2006-03-26,14.1300832,original
2006-03-27,13.3655296,original
2006-03-28,12.884144,original
2006-03-29,12.600976,original
2006-03-30,12.4877088,original
2006-03-31,12.4310752,original
2006-04-01,12.317808,original
2006-04-02,12.459392,original
2006-04-03,12.176224,original
2006-04-04,11.9213728,original
2006-04-05,11.6948384,original
2006-04-06,11.5532544,original
2006-04-07,11.4116704,original
2006-04-08,11.4116704,original
2006-04-09,11.4399872,original
2006-04-10,11.3550368,original
2006-04-11,11.185136,original
2006-04-12,11.0152352,original
2006-04-13,10.8736512,original
2006-04-14,10.8453344,original
2006-04-15,10.8170176,original
2006-04-16,10.7037504,original
2006-04-17,10.5904832,original
2006-04-18,10.477216,original
2006-04-19,10.3639488,original
2006-04-20,10.2506816,original
2006-04-21,10.2223648,original
2006-04-22,10.335632,original
2006-04-23,10.3073152,original
2006-04-24,10.194048,original
