Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,1.37053312,original
2006-01-02,1.35354304,original
2006-01-03,1.34787968,original
2006-01-04,1.32805792,original
2006-01-05,1.29407776,original
2006-01-06,1.2600976,original
2006-01-07,1.2374441600000001,original
2006-01-08,1.2317808,original
2006-01-09,1.22045408,original
2006-01-10,1.22894912,original
2006-01-11,1.2317808,original
2006-01-12,1.21195904,original
2006-01-13,1.31106784,original
2006-01-14,1.63104768,original
2006-01-15,2.05013632,original
2006-01-16,1.7641366399999998,original
2006-01-17,1.5857408,original
2006-01-18,1.78679008,original
2006-01-19,2.1379183999999998,original
2006-01-20,1.8830672,original
2006-01-21,1.67352288,original
2006-01-22,1.61972096,original
2006-01-23,1.6140576,original
2006-01-24,1.8292652799999998,original
2006-01-25,1.84625536,original
2006-01-26,1.5998992,original
2006-01-27,1.44132512,original
2006-01-28,1.3592064,original
2006-01-29,1.4243350399999999,original
2006-01-30,1.63671104,original
2006-01-31,1.6452060800000001,original
2006-02-01,1.4838003199999998,original
2006-02-02,1.6112259199999999,original
2006-02-03,2.79486816,original
2006-02-04,2.9166304,original
2006-02-05,2.0104928,original
2006-02-06,1.6565328,original
2006-02-07,1.4951270399999999,original
2006-02-08,1.486632,original
2006-02-09,1.45548352,original
2006-02-10,1.3677014399999998,original
2006-02-11,2.06146304,original
2006-02-12,5.4085088,original
2006-02-13,4.6439552,original
2006-02-14,2.548512,original
2006-02-15,1.9963344,original
2006-02-16,1.75847328,original
2006-02-17,1.6225526399999999,original
2006-02-18,1.54043392,original
2006-02-19,1.4724736,original
2006-02-20,1.4299984,original
2006-02-21,1.38185984,original
2006-02-22,1.3592064,original
2006-02-23,1.345048,original
2006-02-24,1.3167312,original
2006-02-25,2.33047264,original
2006-02-26,10.194048,original
2006-02-27,16.1122592,original
2006-02-28,12.2611744,original
2006-03-01,5.9748448,original
2006-03-02,4.0493024,original
2006-03-03,3.2564319999999998,original
2006-03-04,2.78070976,original
2006-03-05,2.41542304,original
2006-03-06,2.18605696,original
2006-03-07,2.05579968,original
2006-03-08,1.9680176,original
2006-03-09,1.9227107200000002,original
2006-03-10,1.88873056,original
2006-03-11,1.94536416,original
2006-03-12,1.97934432,original
2006-03-13,1.91704736,original
2006-03-14,1.8632454399999998,original
2006-03-15,1.840592,original
2006-03-16,1.80378016,original
2006-03-17,1.77546336,original
2006-03-18,1.74997824,original
2006-03-19,1.7443148800000001,original
2006-03-20,1.7273247999999999,original
2006-03-21,1.7839584,original
2006-03-22,1.9255423999999999,original
2006-03-23,1.8972256,original
2006-03-24,1.7613049600000001,original
2006-03-25,1.70183968,original
2006-03-26,1.6706912,original
2006-03-27,1.65086944,original
2006-03-28,1.62538432,original
2006-03-29,1.6452060800000001,original
2006-03-30,1.6452060800000001,original
2006-03-31,1.65086944,original
2006-04-01,1.6140576,original
2006-04-02,1.5942358399999998,original
2006-04-03,1.56875072,original
2006-04-04,1.5291071999999999,original
2006-04-05,1.48096864,original
2006-04-06,1.44132512,original
2006-04-07,1.40734496,original
2006-04-08,1.3960182399999999,original
2006-04-09,1.3648697600000002,original
2006-04-10,1.3365529600000001,original
2006-04-11,1.29407776,original
2006-04-12,1.2600976,original
2006-04-13,1.23461248,original
2006-04-14,1.2147907199999999,original
2006-04-15,1.19213728,original
2006-04-16,1.16382048,original
2006-04-17,1.1411670399999998,original
2006-04-18,1.1185136,original
2006-04-19,1.09586016,original
2006-04-20,1.06188,original
2006-04-21,1.04488992,original
2006-04-22,1.02789984,original
2006-04-23,1.0194048,original
2006-04-24,1.00241472,original
2006-04-25,0.991088,original
2006-04-26,1.05621664,original
2006-04-27,2.21437376,original
2006-04-28,2.6589475200000003,original
2006-04-29,1.55176064,original
2006-04-30,2.76371968,original
2006-05-01,14.3283008,original
2006-05-02,35.962336,original
2006-05-03,22.8516576,original
2006-05-04,7.3340512,original
2006-05-05,3.4546495999999998,original
2006-05-06,2.65328416,original
2006-05-07,2.5201952,original
2006-05-08,3.964352,original
2006-05-09,7.4473184,original
2006-05-10,6.1164287999999996,original
2006-05-11,6.5978144,original
2006-05-12,4.5873216,original
2006-05-13,2.79486816,original
2006-05-14,2.2228688,original
2006-05-15,1.9510275200000002,original
2006-05-16,1.79528512,original
2006-05-17,1.6933446399999998,original
2006-05-18,1.6225526399999999,original
2006-05-19,1.5630873600000001,original
2006-05-20,1.50645376,original
2006-05-21,1.4668102399999998,original
2006-05-22,1.41867168,original
2006-05-23,1.37902816,original
2006-05-24,1.35071136,original
2006-05-25,1.32805792,original
2006-05-26,1.3025728,original
2006-05-27,1.2884144,original
2006-05-28,1.2685926399999998,original
2006-05-29,1.2600976,original
2006-05-30,1.25443424,original
2006-05-31,1.3025728,original
2006-06-01,1.4130083199999999,original
2006-06-02,1.27991936,original
2006-06-03,1.2459392,original
2006-06-04,1.2147907199999999,original
2006-06-05,1.18364224,original
2006-06-06,1.1609888,original
2006-06-07,1.14399872,original
2006-06-08,1.12700864,original
2006-06-09,1.1156819199999999,original
2006-06-10,1.09586016,original
2006-06-11,1.0760384,original
2006-06-12,1.06188,original
2006-06-13,1.04488992,original
2006-06-14,1.0335632,original
2006-06-15,1.01090976,original
2006-06-16,1.0052464,original
2006-06-17,0.9995830399999999,original
2006-06-18,0.98825632,original
2006-06-19,0.991088,original
2006-06-20,1.23461248,original
2006-06-21,1.07887008,original
2006-06-22,0.9995830399999999,original
2006-06-23,1.0194048,original
2006-06-24,1.08453344,original
2006-06-25,1.3648697600000002,original
2006-06-26,1.1383353600000001,original
2006-06-27,0.9967513600000001,original
2006-06-28,0.9344544,original
2006-06-29,0.8919792,original
2006-06-30,0.8636623999999999,original
2006-07-01,0.85233568,original
2006-07-02,0.85799904,original
2006-07-03,0.849504,original
2006-07-04,0.95144448,original
2006-07-05,0.93728608,original
2006-07-06,1.27142432,original
2006-07-07,1.32239456,original
2006-07-08,1.60839424,original
2006-07-09,1.8377603200000001,original
2006-07-10,1.22611744,original
2006-07-11,1.09302848,original
2006-07-12,1.05338496,original
2006-07-13,0.991088,original
2006-07-14,0.9287910399999999,original
2006-07-15,0.88914752,original
2006-07-16,0.85799904,original
2006-07-17,0.82401888,original
2006-07-18,0.81835552,original
2006-07-19,0.8211872,original
2006-07-20,0.80986048,original
2006-07-21,0.8466723199999999,original
2006-07-22,0.93728608,original
2006-07-23,3.0865312,original
2006-07-24,5.2102912,original
2006-07-25,2.3729478399999997,original
2006-07-26,1.37053312,original
2006-07-27,1.1468304,original
2006-07-28,1.0420582399999998,original
2006-07-29,0.9797612800000001,original
2006-07-30,0.96560288,original
2006-07-31,1.9963344,original
2006-08-01,2.265344,original
2006-08-02,1.20629568,original
2006-08-03,1.00807808,original
2006-08-04,0.920296,original
2006-08-05,0.8806524800000001,original
2006-08-06,0.9061376,original
2006-08-07,1.0477216,original
2006-08-08,1.01374144,original
2006-08-09,1.02789984,original
2006-08-10,1.00807808,original
2006-08-11,0.99391968,original
2006-08-12,0.99391968,original
2006-08-13,0.920296,original
2006-08-14,0.8806524800000001,original
2006-08-15,0.8466723199999999,original
2006-08-16,0.86649408,original
2006-08-17,0.86649408,original
2006-08-18,0.8551673599999999,original
2006-08-19,0.84384064,original
2006-08-20,0.82401888,original
2006-08-21,0.8070288,original
2006-08-22,0.8325139199999999,original
2006-08-23,0.97126624,original
2006-08-24,1.25443424,original
2006-08-25,1.3167312,original
2006-08-26,1.47813696,original
2006-08-27,1.2657609600000002,original
2006-08-28,1.22894912,original
2006-08-29,1.15249376,original
2006-08-30,1.09586016,original
2006-08-31,1.0222364800000001,original
2006-09-01,0.97126624,original
2006-09-02,0.9457811199999999,original
2006-09-03,0.91746432,original
2006-09-04,0.90047424,original
2006-09-05,0.8919792,original
2006-09-06,0.8721574400000001,original
2006-09-07,0.8636623999999999,original
2006-09-08,0.85799904,original
2006-09-09,0.8466723199999999,original
2006-09-10,0.86932576,original
2006-09-11,0.97409792,original
2006-09-12,1.00807808,original
2006-09-13,1.07320672,original
2006-09-14,1.132672,original
2006-09-15,1.13550368,original
2006-09-16,1.00807808,original
2006-09-17,0.9769296,original
2006-09-18,1.0165731199999999,original
2006-09-19,1.18081056,original
2006-09-20,1.31956288,original
2006-09-21,1.24310752,original
2006-09-22,1.1156819199999999,original
2006-09-23,1.05621664,original
2006-09-24,1.1156819199999999,original
2006-09-25,1.15815712,original
2006-09-26,1.14399872,original
2006-09-27,1.07320672,original
2006-09-28,1.0420582399999998,original
2006-09-29,1.00807808,original
2006-09-30,1.01090976,original
2006-10-01,1.01090976,original
2006-10-02,1.0194048,original
2006-10-03,1.0194048,original
2006-10-04,1.08453344,original
2006-10-05,1.05904832,original
2006-10-06,1.03073152,original
2006-10-07,1.00807808,original
2006-10-08,0.9854246399999999,original
2006-10-09,0.9825929600000001,original
2006-10-10,0.9825929600000001,original
2006-10-11,0.9769296,original
2006-10-12,0.9769296,original
2006-10-13,0.9571078399999999,original
2006-10-14,0.9316227199999999,original
2006-10-15,0.9287910399999999,original
2006-10-16,0.9967513600000001,original
2006-10-17,1.11001856,original
2006-10-18,1.27708768,original
2006-10-19,1.41584,original
2006-10-20,1.29407776,original
2006-10-21,1.1864739199999998,original
2006-10-22,1.2374441600000001,original
2006-10-23,1.73298816,original
2006-10-24,1.8377603200000001,original
2006-10-25,1.3393846399999998,original
2006-10-26,1.25726592,original
2006-10-27,1.7556416,original
2006-10-28,5.097024,original
2006-10-29,7.1924672,original
2006-10-30,5.0403904,original
2006-10-31,2.35312608,original
2006-11-01,1.78962176,original
2006-11-02,1.57441408,original
2006-11-03,1.4299984,original
2006-11-04,1.3365529600000001,original
2006-11-05,1.27991936,original
2006-11-06,1.2969094399999999,original
2006-11-07,1.39884992,original
2006-11-08,1.56025568,original
2006-11-09,1.59140416,original
2006-11-10,1.40451328,original
2006-11-11,1.31956288,original
2006-11-12,1.2657609600000002,original
2006-11-13,1.2402758399999998,original
2006-11-14,1.22328576,original
2006-11-15,1.7273247999999999,original
2006-11-16,4.8421728,original
2006-11-17,4.4457376,original
2006-11-18,2.67027424,original
2006-11-19,1.97368096,original
2006-11-20,1.66785952,original
2006-11-21,1.50928544,original
2006-11-22,1.41584,original
2006-11-23,1.3677014399999998,original
2006-11-24,1.3308896,original
2006-11-25,1.29124608,original
2006-11-26,1.25160256,original
2006-11-27,1.23461248,original
2006-11-28,1.22045408,original
2006-11-29,1.20912736,original
2006-11-30,1.25726592,original
2006-12-01,1.4583152,original
2006-12-02,1.5942358399999998,original
2006-12-03,1.5460972800000001,original
2006-12-04,1.37619648,original
2006-12-05,1.30823616,original
2006-12-06,1.274256,original
2006-12-07,1.25443424,original
2006-12-08,1.21195904,original
2006-12-09,1.19213728,original
2006-12-10,1.1864739199999998,original
2006-12-11,1.19213728,original
2006-12-12,1.19213728,original
2006-12-13,1.2147907199999999,original
2006-12-14,1.28275104,original
2006-12-15,1.27991936,original
2006-12-16,1.22611744,original
2006-12-17,1.19496896,original
2006-12-18,1.17797888,original
2006-12-19,1.17797888,original
2006-12-20,1.21195904,original
2006-12-21,3.681184,original
2006-12-22,25.343536,original
2006-12-23,51.536576,original
2006-12-24,35.679168,original
2006-12-25,21.520768,original
2006-12-26,11.468304,original
2006-12-27,7.1075168,original
2006-12-28,4.7855392,original
2006-12-29,3.681184,original
2006-12-30,3.8510847999999998,original
2006-12-31,23.0215584,original
2007-01-01,66.54448,original
2007-01-02,43.041536,original
2007-01-03,18.830672,original
2007-01-04,6.7393984,original
2007-01-05,8.0419712,original
2007-01-06,15.8007744,original
2007-01-07,18.2360192,original
2007-01-08,17.7546336,original
2007-01-09,15.3193888,original
2007-01-10,8.919792,original
2007-01-11,5.2669248,original
2007-01-12,4.1342528,original
2007-01-13,3.5112832,original
2007-01-14,3.114848,original
2007-01-15,2.8599968,original
2007-01-16,2.83168,original
2007-01-17,3.3413824,original
2007-01-18,3.0582143999999998,original
2007-01-19,2.9449472,original
2007-01-20,3.5112832,original
2007-01-21,3.822768,original
2007-01-22,8.693257599999999,original
2007-01-23,12.1479072,original
2007-01-24,9.2312768,original
2007-01-25,5.7199936,original
2007-01-26,4.4174208,original
2007-01-27,3.7944512,original
2007-01-28,6.2013792,original
2007-01-29,7.2491008,original
2007-01-30,4.8421728,original
2007-01-31,3.7095008,original
2007-02-01,3.5679168,original
2007-02-02,4.7572224,original
2007-02-03,4.5873216,original
2007-02-04,3.5112832,original
2007-02-05,2.9449472,original
2007-02-06,2.6051456,original
2007-02-07,2.38427456,original
2007-02-08,2.25968064,original
2007-02-09,2.1492451200000002,original
2007-02-10,2.05013632,original
2007-02-11,1.9510275200000002,original
2007-02-12,1.87740384,original
2007-02-13,2.29932416,original
2007-02-14,2.9449472,original
2007-02-15,3.1714816,original
2007-02-16,2.3474627200000002,original
2007-02-17,2.06146304,original
2007-02-18,1.9142156799999999,original
2007-02-19,1.81793856,original
2007-02-20,1.7698,original
2007-02-21,1.80661184,original
2007-02-22,1.90572064,original
2007-02-23,1.9538592,original
2007-02-24,1.83209696,original
2007-02-25,1.77546336,original
2007-02-26,1.80661184,original
2007-02-27,1.74714656,original
2007-02-28,1.66785952,original
2007-03-01,1.6565328,original
2007-03-02,1.7103347199999999,original
2007-03-03,1.73581984,original
2007-03-04,1.66785952,original
2007-03-05,1.5630873600000001,original
2007-03-06,1.52061216,original
2007-03-07,1.4951270399999999,original
2007-03-08,1.486632,original
2007-03-09,1.47530528,original
2007-03-10,1.45548352,original
2007-03-11,1.44132512,original
2007-03-12,1.4243350399999999,original
2007-03-13,1.4130083199999999,original
2007-03-14,1.42150336,original
2007-03-15,1.77546336,original
2007-03-16,2.5201952,original
2007-03-17,2.18888864,original
2007-03-18,1.73865152,original
2007-03-19,1.57441408,original
2007-03-20,1.50645376,original
2007-03-21,1.46114688,original
2007-03-22,1.4243350399999999,original
2007-03-23,1.40451328,original
2007-03-24,1.37619648,original
2007-03-25,1.3592064,original
2007-03-26,1.34787968,original
2007-03-27,1.33372128,original
2007-03-28,1.3167312,original
2007-03-29,1.29974112,original
2007-03-30,1.274256,original
2007-03-31,1.30823616,original
2007-04-01,1.41584,original
2007-04-02,1.36203808,original
2007-04-03,1.35071136,original
2007-04-04,1.2884144,original
2007-04-05,1.25726592,original
2007-04-06,1.25443424,original
2007-04-07,1.21195904,original
2007-04-08,1.19496896,original
2007-04-09,1.20063232,original
2007-04-10,1.32805792,original
2007-04-11,1.8915622399999998,original
2007-04-12,1.81793856,original
2007-04-13,1.50928544,original
2007-04-14,1.3875232,original
2007-04-15,1.35354304,original
2007-04-16,1.2969094399999999,original
2007-04-17,1.25443424,original
2007-04-18,1.2459392,original
2007-04-19,1.29407776,original
2007-04-20,1.3025728,original
2007-04-21,1.2402758399999998,original
2007-04-22,1.1864739199999998,original
2007-04-23,1.1609888,original
2007-04-24,1.1468304,original
2007-04-25,1.17231552,original
2007-04-26,4.105936,original
2007-04-27,4.389104,original
2007-04-28,2.48621504,original
2007-04-29,1.68768128,original
2007-04-30,1.4639785600000002,original
2007-05-01,1.35071136,original
2007-05-02,1.29124608,original
2007-05-03,1.25726592,original
2007-05-04,2.76371968,original
2007-05-05,7.362368,original
2007-05-06,4.7855392,original
2007-05-07,2.61080896,original
2007-05-08,1.9595225600000001,original
2007-05-09,1.70750304,original
2007-05-10,1.58007744,original
2007-05-11,1.4639785600000002,original
2007-05-12,1.37619648,original
2007-05-13,1.32805792,original
2007-05-14,1.2884144,original
2007-05-15,1.2657609600000002,original
2007-05-16,1.3167312,original
2007-05-17,1.37053312,original
2007-05-18,1.3138995199999999,original
2007-05-19,1.2402758399999998,original
2007-05-20,1.19496896,original
2007-05-21,1.16382048,original
2007-05-22,1.15249376,original
2007-05-23,1.17797888,original
2007-05-24,1.39318656,original
2007-05-25,1.53760224,original
2007-05-26,1.41584,original
2007-05-27,1.274256,original
2007-05-28,1.21195904,original
2007-05-29,1.17797888,original
2007-05-30,1.5942358399999998,original
2007-05-31,2.71558112,original
2007-06-01,2.38427456,original
2007-06-02,1.7414832,original
2007-06-03,1.46964192,original
2007-06-04,1.3393846399999998,original
2007-06-05,1.31106784,original
2007-06-06,1.27142432,original
2007-06-07,1.24310752,original
2007-06-08,1.2374441600000001,original
2007-06-09,1.2657609600000002,original
2007-06-10,1.29124608,original
2007-06-11,2.3361359999999998,original
2007-06-12,1.7273247999999999,original
2007-06-13,1.33372128,original
2007-06-14,1.3733648,original
2007-06-15,1.39035488,original
2007-06-16,1.25443424,original
2007-06-17,1.1666521600000002,original
2007-06-18,1.132672,original
2007-06-19,1.79528512,original
2007-06-20,5.4934592,original
2007-06-21,3.7661344,original
2007-06-22,2.0841164799999996,original
2007-06-23,1.4951270399999999,original
2007-06-24,1.3365529600000001,original
2007-06-25,1.28275104,original
2007-06-26,1.22611744,original
2007-06-27,1.203464,original
2007-06-28,1.203464,original
2007-06-29,1.1893056,original
2007-06-30,1.1864739199999998,original
2007-07-01,1.15532544,original
2007-07-02,1.12417696,original
2007-07-03,1.09302848,original
2007-07-04,1.08170176,original
2007-07-05,1.5121171199999999,original
2007-07-06,3.4546495999999998,original
2007-07-07,4.8421728,original
2007-07-08,2.3956012799999997,original
2007-07-09,1.6621961600000001,original
2007-07-10,1.47813696,original
2007-07-11,1.4243350399999999,original
2007-07-12,1.40734496,original
2007-07-13,1.4639785600000002,original
2007-07-14,2.29649248,original
2007-07-15,3.5396,original
2007-07-16,6.4562304,original
2007-07-17,5.4085088,original
2007-07-18,5.1253408,original
2007-07-19,4.2192032,original
2007-07-20,2.3078192,original
2007-07-21,1.76696832,original
2007-07-22,1.53760224,original
2007-07-23,1.3960182399999999,original
2007-07-24,1.30823616,original
2007-07-25,1.25160256,original
2007-07-26,1.21195904,original
2007-07-27,1.1751472,original
2007-07-28,1.35637472,original
2007-07-29,1.2657609600000002,original
2007-07-30,1.17797888,original
2007-07-31,1.3138995199999999,original
2007-08-01,1.71882976,original
2007-08-02,2.8883136,original
2007-08-03,5.2952416,original
2007-08-04,2.8599968,original
2007-08-05,1.9623542399999998,original
2007-08-06,1.5432656,original
2007-08-07,1.3592064,original
2007-08-08,1.27708768,original
2007-08-09,1.22045408,original
2007-08-10,1.17797888,original
2007-08-11,1.1468304,original
2007-08-12,1.10718688,original
2007-08-13,1.0703750399999998,original
2007-08-14,1.05904832,original
2007-08-15,1.0392265600000001,original
2007-08-16,1.03073152,original
2007-08-17,1.0165731199999999,original
2007-08-18,1.0052464,original
2007-08-19,1.0392265600000001,original
2007-08-20,1.06471168,original
2007-08-21,1.01374144,original
2007-08-22,0.9854246399999999,original
2007-08-23,0.9599395199999999,original
2007-08-24,0.9429494399999999,original
