Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,3.5112832,original
2006-01-02,3.398016,original
2006-01-03,3.3413824,original
2006-01-04,3.3130656,original
2006-01-05,3.2564319999999998,original
2006-01-06,3.1997984,original
2006-01-07,3.1714816,original
2006-01-08,3.1431648,original
2006-01-09,3.1431648,original
2006-01-10,3.1431648,original
2006-01-11,3.114848,original
2006-01-12,3.114848,original
2006-01-13,3.1431648,original
2006-01-14,3.9926688,original
2006-01-15,4.3041536,original
2006-01-16,3.8794016,original
2006-01-17,3.822768,original
2006-01-18,3.7944512,original
2006-01-19,4.2758367999999995,original
2006-01-20,4.4740544,original
2006-01-21,4.3041536,original
2006-01-22,4.105936,original
2006-01-23,6.0597952,original
2006-01-24,22.1720544,original
2006-01-25,20.6995808,original
2006-01-26,12.7708768,original
2006-01-27,8.7215744,original
2006-01-28,6.7393984,original
2006-01-29,6.0597952,original
2006-01-30,5.7199936,original
2006-01-31,6.7393984,original
2006-02-01,7.220784,original
2006-02-02,6.796032,original
2006-02-03,8.7498912,original
2006-02-04,12.9690944,original
2006-02-05,12.6292928,original
2006-02-06,8.919792,original
2006-02-07,6.796032,original
2006-02-08,6.0314784,original
2006-02-09,5.6916768,original
2006-02-10,5.2952416,original
2006-02-11,7.1358336,original
2006-02-12,15.6308736,original
2006-02-13,19.4536416,original
2006-02-14,13.9035488,original
2006-02-15,9.2879104,original
2006-02-16,7.4190016,original
2006-02-17,6.3429632,original
2006-02-18,5.7483104,original
2006-02-19,5.3235584,original
2006-02-20,4.95544,original
2006-02-21,4.7572224,original
2006-02-22,4.6439552,original
2006-02-23,4.6156384,original
2006-02-24,4.530688,original
2006-02-25,6.4279136,original
2006-02-26,14.6681024,original
2006-02-27,31.431648,original
2006-02-28,29.73264,original
2006-03-01,15.6308736,original
2006-03-02,10.0807808,original
2006-03-03,7.8154368,original
2006-03-04,6.5128639999999995,original
2006-03-05,5.66336,original
2006-03-06,5.097024,original
2006-03-07,4.7289056,original
2006-03-08,4.4740544,original
2006-03-09,4.3041536,original
2006-03-10,4.1908864,original
2006-03-11,4.0493024,original
2006-03-12,4.0209856,original
2006-03-13,3.9926688,original
2006-03-14,3.9360352,original
2006-03-15,3.822768,original
2006-03-16,3.7944512,original
2006-03-17,3.7378176,original
2006-03-18,3.681184,original
2006-03-19,3.5962336,original
2006-03-20,3.5679168,original
2006-03-21,3.5396,original
2006-03-22,3.5112832,original
2006-03-23,3.681184,original
2006-03-24,3.7661344,original
2006-03-25,3.681184,original
2006-03-26,3.5396,original
2006-03-27,3.398016,original
2006-03-28,3.3413824,original
2006-03-29,3.2847488,original
2006-03-30,3.2281152,original
2006-03-31,3.1997984,original
2006-04-01,3.1997984,original
2006-04-02,3.1431648,original
2006-04-03,3.114848,original
2006-04-04,3.0865312,original
2006-04-05,3.0298976,original
2006-04-06,2.973264,original
2006-04-07,2.9166304,original
2006-04-08,2.8883136,original
2006-04-09,2.8599968,original
2006-04-10,2.8599968,original
2006-04-11,2.83168,original
2006-04-12,2.77221472,original
2006-04-13,2.74956128,original
2006-04-14,2.70708608,original
2006-04-15,2.72407616,original
2006-04-16,2.70142272,original
2006-04-17,2.68726432,original
2006-04-18,2.69292768,original
2006-04-19,2.6731059200000002,original
2006-04-20,2.6731059200000002,original
2006-04-21,2.6646108799999997,original
2006-04-22,2.66744256,original
2006-04-23,2.69292768,original
2006-04-24,2.66744256,original
2006-04-25,2.65611584,original
2006-04-26,2.73823456,original
2006-04-27,2.74389792,original
2006-04-28,2.8883136,original
2006-04-29,3.5112832,original
2006-04-30,7.3057343999999995,original
2006-05-01,9.4294944,original
2006-05-02,7.9853376,original
2006-05-03,6.0031616,original
2006-05-04,5.4651423999999995,original
2006-05-05,4.4740544,original
2006-05-06,3.9077184,original
2006-05-07,3.6528671999999998,original
2006-05-08,3.822768,original
2006-05-09,3.5962336,original
2006-05-10,5.380192,original
2006-05-11,4.9271232,original
2006-05-12,4.7005888,original
2006-05-13,3.964352,original
2006-05-14,3.5679168,original
2006-05-15,3.3413824,original
2006-05-16,3.1997984,original
2006-05-17,3.0865312,original
2006-05-18,3.0582143999999998,original
2006-05-19,3.0015808,original
2006-05-20,3.0298976,original
2006-05-21,3.0015808,original
2006-05-22,2.973264,original
2006-05-23,2.973264,original
2006-05-24,2.9449472,original
2006-05-25,2.9449472,original
2006-05-26,2.9166304,original
2006-05-27,2.9166304,original
2006-05-28,2.8883136,original
2006-05-29,2.8883136,original
2006-05-30,2.8599968,original
2006-05-31,2.8883136,original
2006-06-01,3.0015808,original
2006-06-02,2.973264,original
2006-06-03,2.9449472,original
2006-06-04,2.9166304,original
2006-06-05,2.8061948799999996,original
2006-06-06,2.69575936,original
2006-06-07,2.5768288,original
2006-06-08,2.5507475368421053,original
2006-06-09,2.5201952,original
2006-06-10,2.50320512,original
2006-06-11,2.4918784,original
2006-06-12,2.44090816,original
2006-06-13,2.4040963200000003,original
2006-06-14,2.37577952,original
2006-06-15,2.3502944,original
2006-06-16,2.36162112,original
2006-06-17,2.36162112,original
2006-06-18,2.3502944,original
2006-06-19,3.066473466666667,original
2006-06-20,4.1354326666666665,original
2006-06-21,2.867076,original
2006-06-22,2.7060242,original
2006-06-23,2.5337636666666667,original
2006-06-24,2.4193166,original
2006-06-25,2.3815608666666668,original
2006-06-26,2.3556038,original
2006-06-27,2.3502944,original
2006-06-28,2.326107133333333,original
2006-06-29,2.2681756799999997,original
2006-06-30,2.25684896,original
2006-07-01,2.2228688,original
2006-07-02,2.2199191333333332,original
2006-07-03,2.31631424,original
2006-07-04,2.38144288,original
2006-07-05,2.4352448,original
2006-07-06,2.7325711999999998,original
2006-07-07,3.0582143999999998,original
2006-07-08,2.760888,original
2006-07-09,2.8571651200000003,original
2006-07-10,2.57399712,original
2006-07-11,2.52585856,original
2006-07-12,2.4918784,original
2006-07-13,2.4792103578947366,original
2006-07-14,2.3915897333333334,original
2006-07-15,2.3662226,original
2006-07-16,2.2972004,original
2006-07-17,2.21437376,original
