Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,8.8348416,original
2006-01-02,16.6219616,original
2006-01-03,14.0734496,original
2006-01-04,8.778208,original
2006-01-05,17.5847328,original
2006-01-06,3.7661344000000003,interpolated
2006-01-07,-10.052464,original
2006-01-08,15.877465733333334,original
2006-01-09,8.3251392,original
2006-01-10,13.254622133333333,original
2006-01-11,19.14360213666667,original
2006-01-12,8.52477264,original
2006-01-13,32.56432,original
2006-01-14,16.00748704,interpolated
2006-01-15,-0.5493459199999999,original
2006-01-16,10.2506816,original
2006-01-17,31.2298908,original
2006-01-18,74.74455333333334,original
2006-01-19,24.2674976,original
2006-01-20,20.104928,original
2006-01-21,22.1437376,original
2006-01-22,22.6251232,original
2006-01-23,50.510386966666665,original
2006-01-24,38.74682133333333,original
2006-01-25,21.1526496,original
2006-01-26,30.598190186666663,original
2006-01-27,14.95109342,original
2006-01-28,10.026506933333332,original
2006-01-29,-26.220176933333335,original
2006-01-30,36.649271294466665,rating_curve_long_gap
2006-01-31,37.06579266258667,rating_curve_long_gap
2006-02-01,29.63522671744,rating_curve_long_gap
2006-02-02,7.571205322141333,rating_curve_long_gap
2006-02-03,48.9052961664,rating_curve_long_gap
2006-02-04,55.00660851466667,rating_curve_long_gap
2006-02-05,56.003411788799994,rating_curve_long_gap
2006-02-06,51.7971210496,rating_curve_long_gap
2006-02-07,52.14764527786666,rating_curve_long_gap
2006-02-08,46.96919749933333,rating_curve_long_gap
2006-02-09,38.293722849733335,rating_curve_long_gap
2006-02-10,22.3419552,original
2006-02-11,80.70288,original
2006-02-12,47.005888,original
2006-02-13,27.0991776,original
2006-02-14,19.2837408,original
2006-02-15,16.8201792,original
2006-02-16,18.365804533333336,original
2006-02-17,25.4364505,original
2006-02-18,26.38288054666667,original
2006-02-19,11.1922152,original
2006-02-20,14.47333591,original
2006-02-21,15.173085333333335,original
2006-02-22,13.281464099999999,original
2006-02-23,25.074231433333335,original
2006-02-24,5.521776,original
2006-02-25,34.546496,original
2006-02-26,48.421728,original
2006-02-27,17.103347199999998,original
2006-02-28,20.78594704,original
2006-03-01,21.852723486666665,original
2006-03-02,21.156041716666664,original
2006-03-03,23.582290033333333,original
2006-03-04,8.7684741,original
2006-03-05,13.9884992,original
2006-03-06,22.699159833333333,original
2006-03-07,15.8211271,original
