Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,7.9853376,original
2006-01-02,6.1447456,original
2006-01-03,8.919792,original
2006-01-04,7.2491008,original
2006-01-05,8.4384064,original
2006-01-06,6.512864,interpolated
2006-01-07,4.5873216,original
2006-01-08,9.304821822222221,original
2006-01-09,10.1657312,original
2006-01-10,11.723155199999999,original
2006-01-11,11.7169609,original
2006-01-12,11.751472,original
2006-01-13,11.6948384,original
2006-01-14,15.9423584,original
2006-01-15,12.5779686,original
2006-01-16,11.6665216,original
2006-01-17,13.875232,original
2006-01-18,30.015808,original
2006-01-19,24.380764799999998,original
2006-01-20,21.3411333,original
2006-01-21,18.348106533333333,original
2006-01-22,14.902010966666666,original
2006-01-23,27.325712,original
2006-01-24,30.841714666666668,original
2006-01-25,25.0886848,original
2006-01-26,20.7907255,original
2006-01-27,15.5804343,original
2006-01-28,13.665215733333332,original
2006-01-29,13.475552166666667,original
2006-01-30,28.424462833333333,original
2006-01-31,28.873107133333335,original
2006-02-01,20.8694816,original
2006-02-02,-2.896159713333333,original
2006-02-03,41.625696,original
2006-02-04,48.19755333333333,original
2006-02-05,49.271232,original
2006-02-06,44.740544,original
2006-02-07,45.11810133333333,original
2006-02-08,39.540281666666665,original
2006-02-09,30.19573766666667,original
2006-02-10,25.996297233333333,original
2006-02-11,24.132697833333335,original
2006-02-12,38.77041866666667,original
2006-02-13,34.325271,original
2006-02-14,26.950809366666665,original
2006-02-15,21.858209866666666,original
2006-02-16,19.478713766666665,original
2006-02-17,19.5102752,original
2006-02-18,18.8023552,original
2006-02-19,17.423091066666665,original
2006-02-20,14.418855566666666,original
2006-02-21,14.441568,original
2006-02-22,13.7150651,original
2006-02-23,15.007904,original
2006-02-24,13.7619648,original
2006-02-25,11.4116704,original
2006-02-26,24.8338336,original
2006-02-27,27.2407616,original
2006-02-28,22.5968064,original
2006-03-01,20.6429472,original
2006-03-02,18.5758208,original
2006-03-03,17.874095099999998,original
2006-03-04,16.587155533333334,original
2006-03-05,14.720016533333334,original
2006-03-06,14.490827433333333,original
2006-03-07,11.1001856,original
2006-03-08,12.3461248,original
2006-03-09,10.137414399999999,original
2006-03-10,15.7724576,original
2006-03-11,14.067845233333333,original
2006-03-12,13.3380977,original
2006-03-13,14.8530465,original
2006-03-14,19.0005728,original
2006-03-15,16.547629999999998,original
2006-03-16,12.129029333333333,original
2006-03-17,15.982473866666666,original
2006-03-18,15.538254066666665,original
2006-03-19,11.625521233333332,original
2006-03-20,13.221880833333332,original
2006-03-21,16.9051296,original
2006-03-22,17.431055166666667,original
2006-03-23,14.4132512,original
2006-03-24,14.7813696,original
2006-03-25,13.6203808,original
2006-03-26,13.713885233333333,original
2006-03-27,11.8470412,original
2006-03-28,14.0734496,original
2006-03-29,15.029731533333335,original
2006-03-30,13.5248116,original
2006-03-31,12.5089464,original
2006-04-01,15.255381033333334,original
2006-04-02,13.8239078,original
2006-04-03,14.2433504,original
2006-04-04,15.380741866666666,original
2006-04-05,13.1389952,original
2006-04-06,12.733121066666667,original
2006-04-07,12.4877088,original
2006-04-08,15.8857248,original
2006-04-09,17.632812366666666,original
2006-04-10,13.324234266666666,original
2006-04-11,13.5354304,original
2006-04-12,15.262755199999999,original
2006-04-13,17.425745766666665,original
2006-04-14,15.4609728,original
2006-04-15,14.7813696,original
2006-04-16,14.379624999999999,original
2006-04-17,16.7918624,original
2006-04-18,19.262798166666666,original
2006-04-19,19.331071565321636,interpolated_long_gap
2006-04-20,19.399344963976606,interpolated_long_gap
2006-04-21,19.46761836263158,interpolated_long_gap
2006-04-22,19.53589176128655,interpolated_long_gap
2006-04-23,19.60416515994152,interpolated_long_gap
2006-04-24,19.67243855859649,interpolated_long_gap
2006-04-25,19.740711957251463,interpolated_long_gap
2006-04-26,19.808985355906433,interpolated_long_gap
2006-04-27,19.877258754561403,interpolated_long_gap
2006-04-28,19.945532153216373,interpolated_long_gap
2006-04-29,20.013805551871346,interpolated_long_gap
2006-04-30,20.082078950526316,interpolated_long_gap
2006-05-01,20.150352349181286,interpolated_long_gap
2006-05-02,20.218625747836256,interpolated_long_gap
2006-05-03,20.28689914649123,interpolated_long_gap
2006-05-04,20.3551725451462,interpolated_long_gap
2006-05-05,20.42344594380117,interpolated_long_gap
2006-05-06,20.49171934245614,interpolated_long_gap
2006-05-07,20.55999274111111,interpolated_long_gap
2006-05-08,20.628266139766083,interpolated_long_gap
2006-05-09,20.696539538421053,interpolated_long_gap
2006-05-10,20.764812937076023,interpolated_long_gap
2006-05-11,20.833086335730993,interpolated_long_gap
2006-05-12,20.901359734385967,interpolated_long_gap
2006-05-13,20.969633133040936,interpolated_long_gap
2006-05-14,21.037906531695906,interpolated_long_gap
2006-05-15,21.106179930350876,interpolated_long_gap
2006-05-16,21.17445332900585,interpolated_long_gap
2006-05-17,21.24272672766082,interpolated_long_gap
2006-05-18,21.31100012631579,original
2006-05-19,19.4987715,original
2006-05-20,19.4385983,original
2006-05-21,19.005587233333333,original
2006-05-22,15.9140416,original
2006-05-23,14.3185669,original
2006-05-24,18.4342368,original
2006-05-25,18.3776032,original
2006-05-26,18.2077024,original
2006-05-27,18.0705429,original
2006-05-28,17.0467136,original
2006-05-29,18.8873056,original
2006-05-30,20.663594866666664,original
2006-05-31,19.797572733333332,original
2006-06-01,20.1332448,original
2006-06-02,20.416117833333335,original
2006-06-03,20.0022796,original
2006-06-04,18.8873056,original
2006-06-05,18.489690533333334,original
2006-06-06,19.5952256,original
2006-06-07,20.1332448,original
2006-06-08,20.7278976,original
2006-06-09,20.610500866666666,original
2006-06-10,19.4819584,original
2006-06-11,19.7934432,original
2006-06-12,20.409628566666665,original
2006-06-13,20.0403303,original
2006-06-14,20.6164002,original
2006-06-15,19.2748918,original
2006-06-16,19.8686597,original
2006-06-17,17.339320533333336,original
2006-06-18,19.227992099999998,original
2006-06-19,20.954432,original
2006-06-20,20.8411648,original
2006-06-21,20.6995808,original
2006-06-22,20.4730464,original
2006-06-23,21.3225504,original
2006-06-24,21.601588866666667,original
2006-06-25,20.388096,original
2006-06-26,19.644190066666667,original
2006-06-27,19.2341864,original
2006-06-28,18.810909233333334,original
2006-06-29,19.240970633333333,original
2006-06-30,19.503196,original
2006-07-01,18.5669718,original
2006-07-02,19.658643433333335,original
2006-07-03,18.65652368,original
2006-07-04,18.43140512,interpolated
2006-07-05,18.20628656,interpolated
2006-07-06,17.981168,original
2006-07-07,21.823698766666666,original
