Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,784.37536,original
2006-01-02,965.60288,original
2006-01-03,937.28608,original
2006-01-04,815.52384,original
2006-01-05,1121.34528,original
2006-01-06,1013.74144,original
2006-01-07,639.9596799999999,original
2006-01-08,894.81088,original
2006-01-09,1022.23648,original
2006-01-10,988.25632,original
2006-01-11,1135.50368,original
2006-01-12,1042.05824,original
2006-01-13,1336.55296,original
2006-01-14,1319.56288,original
2006-01-15,1209.12736,original
2006-01-16,1271.42432,original
2006-01-17,1568.75072,original
2006-01-18,1557.424,original
2006-01-19,1568.75072,original
2006-01-20,1531.93888,original
2006-01-21,1577.24576,original
2006-01-22,1469.64192,original
2006-01-23,1676.35456,original
2006-01-24,1676.35456,original
2006-01-25,1667.85952,original
2006-01-26,1735.8198399999999,original
2006-01-27,1866.07712,original
2006-01-28,1948.1958399999999,original
2006-01-29,2217.20544,original
2006-01-30,2480.55168,original
2006-01-31,2460.7299199999998,original
2006-02-01,2624.96736,original
2006-02-02,2973.264,original
2006-02-03,3199.7984,original
2006-02-04,3313.0656,original
2006-02-05,3143.1648,original
2006-02-06,3256.432,original
2006-02-07,3313.0656,original
2006-02-08,3029.8976,original
2006-02-09,2944.9472,original
2006-02-10,2724.07616,original
2006-02-11,2944.9472,original
2006-02-12,2859.9968,original
2006-02-13,2741.06624,original
2006-02-14,2610.80896,original
2006-02-15,2497.54176,original
2006-02-16,2435.2448,original
2006-02-17,2511.70016,original
2006-02-18,2531.52192,original
2006-02-19,2375.77952,original
2006-02-20,2273.83904,original
2006-02-21,2109.6016,original
2006-02-22,1985.00768,original
2006-02-23,2010.4928,original
2006-02-24,1860.41376,original
2006-02-25,1908.55232,original
2006-02-26,2055.79968,original
2006-02-27,2084.11648,original
2006-02-28,2010.4928,original
2006-03-01,1877.40384,original
2006-03-02,1871.74048,original
2006-03-03,1874.57216,original
2006-03-04,1823.60192,original
2006-03-05,1625.38432,original
2006-03-06,1659.36448,original
2006-03-07,1546.09728,original
2006-03-08,1424.33504,original
2006-03-09,1064.71168,original
2006-03-10,1597.06752,original
2006-03-11,1458.3152,original
2006-03-12,1413.00832,original
2006-03-13,1421.50336,original
2006-03-14,1563.08736,original
2006-03-15,1243.10752,original
2006-03-16,1265.76096,original
2006-03-17,1452.65184,original
2006-03-18,1551.76064,original
2006-03-19,1605.56256,original
2006-03-20,1758.47328,original
2006-03-21,2409.75968,original
2006-03-22,2701.42272,original
2006-03-23,3001.5808,original
2006-03-24,3199.7984,original
2006-03-25,3256.432,original
2006-03-26,3256.432,original
2006-03-27,3284.7488,original
2006-03-28,3369.6992,original
2006-03-29,3454.6495999999997,original
2006-03-30,3454.6495999999997,original
2006-03-31,3398.016,original
2006-04-01,3256.432,original
2006-04-02,3086.5312,original
2006-04-03,2973.264,original
2006-04-04,2831.68,original
2006-04-05,2588.15552,original
2006-04-06,2282.33408,original
2006-04-07,2058.63136,original
2006-04-08,2259.68064,original
2006-04-09,2013.32448,original
2006-04-10,1800.94848,original
2006-04-11,1724.4931199999999,original
2006-04-12,1752.80992,original
2006-04-13,1747.14656,original
2006-04-14,1766.96832,original
2006-04-15,1710.33472,original
2006-04-16,1764.13664,original
2006-04-17,1860.41376,original
2006-04-18,1902.88896,original
2006-04-19,2004.82944,original
2006-04-20,2115.26496,original
2006-04-21,2146.41344,original
2006-04-22,2324.80928,original
2006-04-23,2211.54208,original
2006-04-24,2160.57184,original
2006-04-25,2146.41344,original
2006-04-26,2254.01728,original
2006-04-27,2234.1955199999998,original
2006-04-28,2078.45312,original
2006-04-29,1883.0672,original
2006-04-30,2494.71008,original
2006-05-01,2494.71008,original
2006-05-02,2548.512,original
2006-05-03,2534.3536,original
2006-05-04,2568.33376,original
2006-05-05,2622.13568,original
2006-05-06,2622.13568,original
2006-05-07,2831.68,original
2006-05-08,2831.68,original
2006-05-09,2690.096,original
2006-05-10,2551.34368,original
2006-05-11,2806.19488,original
2006-05-12,2664.61088,original
2006-05-13,2565.5020799999998,original
2006-05-14,2545.68032,original
2006-05-15,2653.28416,original
2006-05-16,2596.65056,original
2006-05-17,2650.45248,original
2006-05-18,2582.49216,original
2006-05-19,2565.5020799999998,original
2006-05-20,2506.0368,original
2006-05-21,2395.60128,original
2006-05-22,2310.65088,original
2006-05-23,2254.01728,original
2006-05-24,2186.05696,original
2006-05-25,2101.10656,original
2006-05-26,2001.99776,original
2006-05-27,1885.89888,original
2006-05-28,1837.7603199999999,original
2006-05-29,1908.55232,original
2006-05-30,1885.89888,original
2006-05-31,1888.73056,original
2006-06-01,1953.8591999999999,original
2006-06-02,1902.88896,original
2006-06-03,1962.35424,original
2006-06-04,1854.7504,original
2006-06-05,1840.5919999999999,original
2006-06-06,1769.8,original
2006-06-07,1730.1564799999999,original
2006-06-08,1727.3247999999999,original
2006-06-09,1659.36448,original
2006-06-10,1517.78048,original
2006-06-11,1563.08736,original
2006-06-12,1574.41408,original
2006-06-13,1608.39424,original
2006-06-14,1577.24576,original
2006-06-15,1591.40416,original
2006-06-16,1495.12704,original
2006-06-17,1475.30528,original
2006-06-18,1497.95872,original
2006-06-19,1517.78048,original
2006-06-20,1429.9984,original
2006-06-21,1274.256,original
2006-06-22,1268.59264,original
2006-06-23,1206.29568,original
2006-06-24,1146.8304,original
2006-06-25,1220.45408,original
2006-06-26,1265.76096,original
2006-06-27,1172.3155199999999,original
2006-06-28,1200.63232,original
2006-06-29,1098.69184,original
2006-06-30,1022.23648,original
2006-07-01,1036.39488,original
2006-07-02,1039.22656,original
2006-07-03,1022.23648,original
2006-07-04,1042.05824,original
2006-07-05,1081.70176,original
2006-07-06,1104.3552,original
2006-07-07,1166.65216,original
2006-07-08,1166.65216,original
2006-07-09,1146.8304,original
2006-07-10,1243.10752,original
2006-07-11,1203.464,original
2006-07-12,1245.9392,original
2006-07-13,1197.80064,original
2006-07-14,1160.9888,original
2006-07-15,1073.20672,original
2006-07-16,1010.90976,original
2006-07-17,1081.70176,original
2006-07-18,1081.70176,original
2006-07-19,1073.20672,original
2006-07-20,1076.0384,original
2006-07-21,1076.0384,original
2006-07-22,1050.55328,original
2006-07-23,1124.17696,original
2006-07-24,1115.68192,original
2006-07-25,1093.02848,original
2006-07-26,1067.54336,original
2006-07-27,1209.12736,original
2006-07-28,1197.80064,original
2006-07-29,1192.13728,original
2006-07-30,1078.87008,original
2006-07-31,1033.5632,original
2006-08-01,1027.89984,original
2006-08-02,996.75136,original
2006-08-03,945.78112,original
2006-08-04,945.78112,original
2006-08-05,948.6128,original
2006-08-06,877.8208,original
2006-08-07,917.46432,original
2006-08-08,863.6623999999999,original
2006-08-09,894.81088,original
2006-08-10,869.32576,original
2006-08-11,925.95936,original
2006-08-12,954.27616,original
2006-08-13,931.62272,original
2006-08-14,948.6128,original
2006-08-15,908.96928,original
2006-08-16,826.85056,original
2006-08-17,741.90016,original
2006-08-18,792.8704,original
2006-08-19,750.3952,original
2006-08-20,852.33568,original
2006-08-21,821.1872,original
2006-08-22,841.00896,original
2006-08-23,807.0287999999999,original
2006-08-24,829.68224,original
2006-08-25,815.52384,original
2006-08-26,855.16736,original
2006-08-27,835.3456,original
2006-08-28,829.68224,original
2006-08-29,843.84064,original
2006-08-30,889.14752,original
2006-08-31,824.01888,original
2006-09-01,750.3952,original
2006-09-02,679.6032,original
2006-09-03,648.45472,original
2006-09-04,622.9696,original
2006-09-05,690.92992,original
2006-09-06,642.7913599999999,original
2006-09-07,614.47456,original
2006-09-08,671.10816,original
2006-09-09,750.3952,original
2006-09-10,832.51392,original
2006-09-11,945.78112,original
2006-09-12,993.91968,original
2006-09-13,968.43456,original
2006-09-14,925.95936,original
2006-09-15,855.16736,original
2006-09-16,849.504,original
2006-09-17,753.2268799999999,original
2006-09-18,637.128,original
2006-09-19,1166.65216,original
2006-09-20,852.33568,original
2006-09-21,673.93984,original
2006-09-22,682.43488,original
2006-09-23,982.59296,original
2006-09-24,1243.10752,original
2006-09-25,1223.28576,original
2006-09-26,1194.96896,original
2006-09-27,1078.87008,original
2006-09-28,1189.3056,original
2006-09-29,1143.99872,original
2006-09-30,1056.21664,original
2006-10-01,1265.76096,original
2006-10-02,1401.6816,original
2006-10-03,1577.24576,original
2006-10-04,1732.9881599999999,original
2006-10-05,1781.12672,original
2006-10-06,1860.41376,original
2006-10-07,1775.46336,original
2006-10-08,1611.22592,original
2006-10-09,1520.61216,original
2006-10-10,1446.98848,original
2006-10-11,1435.66176,original
2006-10-12,1475.30528,original
2006-10-13,1452.65184,original
2006-10-14,1260.0976,original
2006-10-15,988.25632,original
2006-10-16,597.48448,original
2006-10-17,1713.1664,original
2006-10-18,1568.75072,original
2006-10-19,1506.4537599999999,original
2006-10-20,1783.9584,original
2006-10-21,1599.8992,original
2006-10-22,1829.26528,original
2006-10-23,1560.25568,original
2006-10-24,1461.14688,original
2006-10-25,1557.424,original
2006-10-26,1472.4736,original
2006-10-27,1599.8992,original
2006-10-28,1956.6908799999999,original
2006-10-29,1619.7209599999999,original
2006-10-30,1639.54272,original
2006-10-31,1795.28512,original
2006-11-01,1999.16608,original
2006-11-02,2259.68064,original
2006-11-03,2069.95808,original
2006-11-04,2120.92832,original
2006-11-05,2098.27488,original
2006-11-06,2016.15616,original
2006-11-07,2239.8588799999998,original
2006-11-08,2256.84896,original
2006-11-09,2338.9676799999997,original
2006-11-10,2409.75968,original
2006-11-11,2681.6009599999998,original
2006-11-12,2503.20512,original
2006-11-13,2489.04672,original
2006-11-14,2338.9676799999997,original
2006-11-15,2426.74976,original
2006-11-16,2412.59136,original
2006-11-17,2027.48288,original
2006-11-18,2050.13632,original
2006-11-19,2058.63136,original
2006-11-20,2007.66112,original
2006-11-21,1834.92864,original
2006-11-22,1812.2752,original
2006-11-23,1837.7603199999999,original
2006-11-24,1846.2553599999999,original
2006-11-25,1948.1958399999999,original
2006-11-26,2106.76992,original
2006-11-27,2137.9184,original
2006-11-28,2169.06688,original
2006-11-29,2169.06688,original
2006-11-30,2208.7104,original
2006-12-01,2554.17536,original
2006-12-02,2310.65088,original
2006-12-03,2426.74976,original
2006-12-04,2220.03712,original
2006-12-05,2109.6016,original
2006-12-06,2186.05696,original
2006-12-07,2361.62112,original
2006-12-08,2225.70048,original
2006-12-09,2044.47296,original
2006-12-10,1993.50272,original
2006-12-11,1962.35424,original
2006-12-12,2075.62144,original
2006-12-13,2273.83904,original
2006-12-14,2324.80928,original
2006-12-15,2228.5321599999997,original
2006-12-16,2203.04704,original
2006-12-17,2140.75008,original
2006-12-18,2084.11648,original
2006-12-19,1945.36416,original
2006-12-20,1735.8198399999999,original
2006-12-21,1863.24544,original
2006-12-22,1956.6908799999999,original
2006-12-23,1914.21568,original
2006-12-24,1868.9088,original
2006-12-25,2095.4432,original
2006-12-26,2160.57184,original
2006-12-27,1891.56224,original
2006-12-28,1843.4236799999999,original
2006-12-29,1894.39392,original
2006-12-30,1939.7008,original
2006-12-31,2494.71008,original
2007-01-01,2772.21472,original
2007-01-02,2724.07616,original
2007-01-03,2684.43264,original
2007-01-04,2701.42272,original
2007-01-05,3086.5312,original
2007-01-06,3313.0656,original
2007-01-07,3454.6495999999997,original
2007-01-08,3567.9168,original
2007-01-09,3539.6,original
2007-01-10,3482.9664,original
2007-01-11,3511.2832,original
2007-01-12,3511.2832,original
2007-01-13,3596.2336,original
2007-01-14,3652.8672,original
2007-01-15,3766.1344,original
2007-01-16,3936.0352,original
2007-01-17,3822.768,original
2007-01-18,3992.6688,original
2007-01-19,4190.8864,original
2007-01-20,4247.5199999999995,original
2007-01-21,4360.7872,original
2007-01-22,4502.3712,original
2007-01-23,4615.6384,original
2007-01-24,4672.272,original
2007-01-25,4757.2224,original
2007-01-26,4728.9056,original
2007-01-27,4813.856,original
2007-01-28,4898.8063999999995,original
2007-01-29,4842.1728,original
2007-01-30,4898.8063999999995,original
2007-01-31,4870.4896,original
2007-02-01,4870.4896,original
2007-02-02,4898.8063999999995,original
2007-02-03,4842.1728,original
2007-02-04,4813.856,original
2007-02-05,4785.5392,original
2007-02-06,4643.9552,original
2007-02-07,4530.688,original
2007-02-08,4332.4704,original
2007-02-09,4219.2032,original
2007-02-10,4077.6192,original
2007-02-11,3879.4016,original
2007-02-12,3681.1839999999997,original
2007-02-13,3482.9664,original
2007-02-14,3313.0656,original
2007-02-15,3114.848,original
2007-02-16,2888.3136,original
2007-02-17,2738.23456,original
2007-02-18,2624.96736,original
2007-02-19,2367.28448,original
2007-02-20,2268.17568,original
2007-02-21,2152.0768,original
2007-02-22,2157.74016,original
2007-02-23,2157.74016,original
2007-02-24,1979.34432,original
2007-02-25,2186.05696,original
2007-02-26,2081.2848,original
2007-02-27,2047.30464,original
2007-02-28,1962.35424,original
2007-03-01,1917.04736,original
2007-03-02,2064.29472,original
2007-03-03,2126.59168,original
2007-03-04,2389.93792,original
2007-03-05,2446.57152,original
2007-03-06,2653.28416,original
2007-03-07,2809.02656,original
2007-03-08,2916.6304,original
2007-03-09,3001.5808,original
2007-03-10,3171.4816,original
2007-03-11,3228.1151999999997,original
2007-03-12,3228.1151999999997,original
2007-03-13,3341.3824,original
2007-03-14,3398.016,original
2007-03-15,3454.6495999999997,original
2007-03-16,3567.9168,original
2007-03-17,3511.2832,original
2007-03-18,3454.6495999999997,original
2007-03-19,3482.9664,original
2007-03-20,3426.3328,original
2007-03-21,3284.7488,original
2007-03-22,3114.848,original
2007-03-23,2973.264,original
2007-03-24,2786.3731199999997,original
2007-03-25,2735.40288,original
2007-03-26,2653.28416,original
2007-03-27,2639.12576,original
2007-03-28,2681.6009599999998,original
2007-03-29,2743.89792,original
2007-03-30,2831.68,original
2007-03-31,2859.9968,original
2007-04-01,3001.5808,original
2007-04-02,3143.1648,original
2007-04-03,3171.4816,original
2007-04-04,3284.7488,original
2007-04-05,3341.3824,original
2007-04-06,3341.3824,original
2007-04-07,3398.016,original
2007-04-08,3369.6992,original
2007-04-09,3369.6992,original
2007-04-10,3426.3328,original
2007-04-11,3511.2832,original
2007-04-12,3596.2336,original
2007-04-13,3567.9168,original
2007-04-14,3511.2832,original
2007-04-15,3681.1839999999997,original
2007-04-16,3539.6,original
2007-04-17,3482.9664,original
2007-04-18,3426.3328,original
2007-04-19,3313.0656,original
2007-04-20,3256.432,original
2007-04-21,3143.1648,original
2007-04-22,3114.848,original
2007-04-23,3114.848,original
2007-04-24,3086.5312,original
2007-04-25,3143.1648,original
2007-04-26,3369.6992,original
2007-04-27,3482.9664,original
2007-04-28,3482.9664,original
2007-04-29,3511.2832,original
2007-04-30,3511.2832,original
2007-05-01,3511.2832,original
2007-05-02,3567.9168,original
2007-05-03,3567.9168,original
2007-05-04,3596.2336,original
2007-05-05,3539.6,original
2007-05-06,3511.2832,original
2007-05-07,3454.6495999999997,original
2007-05-08,3398.016,original
2007-05-09,3369.6992,original
2007-05-10,3341.3824,original
2007-05-11,3341.3824,original
2007-05-12,3313.0656,original
2007-05-13,3256.432,original
2007-05-14,3228.1151999999997,original
2007-05-15,3228.1151999999997,original
2007-05-16,3341.3824,original
2007-05-17,3454.6495999999997,original
2007-05-18,3398.016,original
2007-05-19,3369.6992,original
2007-05-20,3341.3824,original
2007-05-21,3313.0656,original
2007-05-22,3341.3824,original
2007-05-23,3426.3328,original
2007-05-24,3426.3328,original
2007-05-25,3398.016,original
2007-05-26,3284.7488,original
2007-05-27,3171.4816,original
2007-05-28,3143.1648,original
2007-05-29,2973.264,original
2007-05-30,2944.9472,original
2007-05-31,2888.3136,original
2007-06-01,2729.73952,original
2007-06-02,2469.22496,original
2007-06-03,2336.136,original
2007-06-04,2251.1856,original
2007-06-05,2268.17568,original
2007-06-06,2129.42336,original
2007-06-07,1902.88896,original
2007-06-08,2081.2848,original
2007-06-09,2163.40352,original
2007-06-10,2132.25504,original
2007-06-11,2041.64128,original
2007-06-12,1999.16608,original
2007-06-13,2030.31456,original
2007-06-14,1962.35424,original
2007-06-15,1939.7008,original
2007-06-16,1979.34432,original
2007-06-17,1991.1870764210526,interpolated_long_gap
2007-06-18,2003.0298328421052,interpolated_long_gap
2007-06-19,2014.8725892631578,interpolated_long_gap
2007-06-20,2026.7153456842104,interpolated_long_gap
2007-06-21,2038.558102105263,interpolated_long_gap
2007-06-22,2050.4008585263155,interpolated_long_gap
2007-06-23,2062.2436149473683,interpolated_long_gap
2007-06-24,2074.0863713684207,interpolated_long_gap
2007-06-25,2085.9291277894736,interpolated_long_gap
2007-06-26,2097.771884210526,interpolated_long_gap
2007-06-27,2109.614640631579,interpolated_long_gap
2007-06-28,2121.457397052631,interpolated_long_gap
2007-06-29,2133.300153473684,interpolated_long_gap
2007-06-30,2145.1429098947365,interpolated_long_gap
2007-07-01,2156.9856663157893,interpolated_long_gap
2007-07-02,2168.8284227368417,interpolated_long_gap
2007-07-03,2180.6711791578946,interpolated_long_gap
2007-07-04,2192.513935578947,interpolated_long_gap
2007-07-05,2204.356692,interpolated_long_gap
2007-07-06,2216.1994484210522,original
2007-07-07,2265.344,original
2007-07-08,2385.188956666667,original
2007-07-09,2436.424666666667,original
2007-07-10,2435.2448,original
2007-07-11,2481.96752,original
2007-07-12,2573.20071,original
2007-07-13,2679.4477033333333,original
2007-07-14,2724.78408,original
2007-07-15,2728.028713333333,original
2007-07-16,2859.9968,original
2007-07-17,2992.4663299999997,original
2007-07-18,3114.848,original
2007-07-19,3129.596333333333,original
2007-07-20,3114.848,original
2007-07-21,3045.8258,original
2007-07-22,2973.264,original
