Date,Discharge (m3/s),Discharge_filled_method
2006-01-01,4.389104,original
2006-01-02,4.2758367999999995,original
2006-01-03,4.1908864,original
2006-01-04,3.964352,original
2006-01-05,3.7378176,original
2006-01-06,3.4829664,original
2006-01-07,3.3130656,original
2006-01-08,3.1714816,original
2006-01-09,3.1431648,original
2006-01-10,3.1431648,original
2006-01-11,3.1714816,original
2006-01-12,3.1431648,original
2006-01-13,3.7095008,original
2006-01-14,7.1358336,original
2006-01-15,10.0241472,original
2006-01-16,7.1924672,original
2006-01-17,6.4845472,original
2006-01-18,11.3550368,original
2006-01-19,14.1584,original
2006-01-20,11.2134528,original
2006-01-21,48.13856,original
2006-01-22,47.289056,original
2006-01-23,30.582144,original
2006-01-24,22.228688,original
2006-01-25,15.6308736,original
2006-01-26,11.9496896,original
2006-01-27,10.1090976,original
2006-01-28,8.9764256,original
2006-01-29,9.6843456,original
2006-01-30,13.5637472,original
2006-01-31,13.2239456,original
2006-02-01,10.6188,original
2006-02-02,12.232857599999999,original
2006-02-03,16.7918624,original
2006-02-04,18.3209696,original
2006-02-05,13.7053312,original
2006-02-06,10.5338496,original
2006-02-07,9.0047424,original
2006-02-08,8.778208,original
2006-02-09,8.9764256,original
2006-02-10,7.503952,original
2006-02-11,15.6875072,original
2006-02-12,25.3718528,original
2006-02-13,21.0676992,original
2006-02-14,15.007904,original
2006-02-15,12.317808,original
2006-02-16,10.4488992,original
2006-02-17,8.919792,original
2006-02-18,8.0419712,original
2006-02-19,7.6172192,original
2006-02-20,7.2491008,original
2006-02-21,6.9092991999999995,original
2006-02-22,6.5694976,original
2006-02-23,6.3146464,original
2006-02-24,5.946528,original
2006-02-25,14.1867168,original
2006-02-26,63.995968,original
2006-02-27,49.837568,original
2006-02-28,34.546496,original
2006-03-01,26.4195744,original
2006-03-02,19.0572064,original
2006-03-03,14.1300832,original
2006-03-04,11.2417696,original
2006-03-05,9.5427616,original
2006-03-06,8.551673599999999,original
2006-03-07,7.8720704,original
2006-03-08,7.3340512,original
2006-03-09,6.9942496,original
2006-03-10,6.8243488,original
2006-03-11,6.8809824,original
2006-03-12,6.9942496,original
2006-03-13,6.937616,original
2006-03-14,6.8809824,original
2006-03-15,6.5411808,original
2006-03-16,6.3429632,original
2006-03-17,6.0597952,original
2006-03-18,5.9748448,original
2006-03-19,5.4085088,original
2006-03-20,5.1819744,original
2006-03-21,5.3235584,original
2006-03-22,5.380192,original
2006-03-23,5.4934592,original
2006-03-24,5.4651423999999995,original
2006-03-25,5.1536576,original
2006-03-26,4.6156384,original
2006-03-27,4.3041536,original
2006-03-28,4.105936,original
2006-03-29,4.0493024,original
2006-03-30,4.0209856,original
2006-03-31,4.0209856,original
2006-04-01,3.9926688,original
2006-04-02,3.964352,original
2006-04-03,3.9077184,original
2006-04-04,3.822768,original
2006-04-05,3.5962336,original
2006-04-06,3.398016,original
2006-04-07,3.2564319999999998,original
2006-04-08,3.114848,original
2006-04-09,3.0298976,original
2006-04-10,2.8883136,original
2006-04-11,2.8033632,original
2006-04-12,2.74389792,original
2006-04-13,2.690096,original
2006-04-14,2.64478912,original
2006-04-15,2.5768288,original
2006-04-16,2.50886848,original
2006-04-17,2.4663932799999997,original
2006-04-18,2.4295814399999998,original
2006-04-19,2.34179936,original
2006-04-20,2.2766707200000003,original
2006-04-21,2.29932416,original
2006-04-22,3.0015808,original
2006-04-23,2.6787692799999996,original
2006-04-24,2.6023139200000003,original
2006-04-25,2.8175216,original
2006-04-26,17.981168,original
2006-04-27,27.5522464,original
2006-04-28,15.6025568,original
2006-04-29,9.2879104,original
2006-04-30,10.6471168,original
2006-05-01,30.582144,original
2006-05-02,22.0021536,original
2006-05-03,14.469884799999999,original
2006-05-04,9.4294944,original
2006-05-05,6.7110816,original
2006-05-06,5.0687071999999995,original
2006-05-07,4.5873216,original
2006-05-08,12.4310752,original
2006-05-09,19.538592,original
2006-05-10,22.4835392,original
2006-05-11,16.99008,original
2006-05-12,10.760384,original
2006-05-13,7.2774176,original
2006-05-14,5.2669248,original
2006-05-15,4.24752,original
2006-05-16,3.822768,original
2006-05-17,3.4263328,original
2006-05-18,3.0865312,original
2006-05-19,2.8033632,original
2006-05-20,2.6051456,original
2006-05-21,2.4635616,original
2006-05-22,2.3219776,original
2006-05-23,2.2087104,original
2006-05-24,2.12376,original
2006-05-25,2.0104928,original
2006-05-26,1.982176,original
2006-05-27,1.8972256,original
2006-05-28,1.840592,original
2006-05-29,1.8122752,original
2006-05-30,1.7556416,original
2006-05-31,1.7273247999999999,original
2006-06-01,1.699008,original
2006-06-02,1.6706912,original
2006-06-03,1.6699460210526316,original
2006-06-04,2.0104928,original
2006-06-05,2.143522766666667,original
2006-06-06,1.6706912,original
2006-06-07,1.5344166,original
2006-06-08,1.3875232,original
2006-06-09,1.31956288,original
2006-06-10,1.256558,original
2006-06-11,1.1893056,original
2006-06-12,1.132672,original
2006-06-13,1.1394562333333333,original
2006-06-14,1.09302848,original
2006-06-15,1.07320672,original
2006-06-16,1.05621664,original
2006-06-17,1.18364224,original
2006-06-18,1.2353204,original
2006-06-19,1.3308896,original
2006-06-20,1.2907741333333334,original
2006-06-21,1.4243350399999999,original
2006-06-22,1.4002067666666667,original
2006-06-23,1.4081708666666666,original
2006-06-24,1.5712874333333333,original
2006-06-25,1.6615472333333334,original
2006-06-26,3.2083524333333333,original
2006-06-27,2.5449724,original
2006-06-28,1.7898577333333334,original
