ICM_ID,new_area_m2,old_area_m2,new-old,old_comp_to_use_for_new_rain
1,103699000,89414000,14285000,1
2,73299200,73299200,0,2
3,19385800,19385800,0,3
4,20564600,20564600,0,4
5,13723600,24064800,-10341200,5
6,37491900,37491900,0,6
7,16365900,14809700,1556200,7
8,21156500,13390600,7765900,8
9,22013600,21659000,354600,9
10,24574500,24574500,0,10
11,28239000,28239000,0,11
12,30197800,30197800,0,12
13,227356000,227356000,0,13
14,59310400,59310400,0,14
15,43748400,43748400,0,15
16,21927400,21927400,0,16
17,21732100,21732100,0,17
18,30146900,30146900,0,18
19,25767700,25767700,0,19
20,11803900,11803900,0,20
21,14083300,14083300,0,21
22,9098210,9098210,0,22
23,16012300,17601100,-1588800,23
24,13970200,13970200,0,24
25,16220800,23986700,-7765900,25
26,20977100,20977100,0,26
27,15187900,15187900,0,27
28,40649300,40649300,0,28
29,55791700,55791700,0,29
30,32882500,32882500,0,30
31,19142300,19142300,0,31
32,63140200,63140200,0,32
33,261850000,261850000,0,33
34,145537000,145537000,0,34
35,16387100,16387100,0,35
36,11178400,11178400,0,36
37,876905000,876905000,0,37
38,672884000,672884000,0,38
39,21810900,21810900,0,39
40,9755350,9755350,0,40
41,57026400,57026400,0,41
42,176351000,176351000,0,42
43,67860400,68295700,-435300,43
44,27780800,27780800,0,44
45,39779800,39779800,0,45
46,30870700,30870700,0,46
47,24386100,24386100,0,47
48,89853000,89853000,0,48
49,36898400,36898400,0,49
50,51821000,51821000,0,50
51,53059700,53059700,0,51
52,54900100,54900100,0,52
53,122845000,122845000,0,53
54,39290800,39290800,0,54
55,82921000,82921000,0,55
56,360683000,360683000,0,56
57,378098000,376042000,2056000,57
58,22095800,22095800,0,58
59,36982600,36982600,0,59
60,32490200,32490200,0,60
61,13253700,13253700,0,61
62,15059200,15059200,0,62
63,41778900,41778900,0,63
64,45587000,45587000,0,64
65,91821200,91821200,0,65
66,95061500,95061500,0,66
67,316322000,316322000,0,67
68,752281000,836723000,-84442000,68
69,139253000,139253000,0,69
70,166432000,166432000,0,70
71,197327000,197327000,0,71
72,249075000,249075000,0,72
73,170954000,170954000,0,73
74,280129000,280129000,0,74
75,445223000,445223000,0,75
76,175930000,175930000,0,76
77,245208000,245208000,0,77
78,262127000,262127000,0,78
79,111250000,111250000,0,79
80,20424900,20424900,0,80
81,58117000,58117000,0,81
82,39658100,39658100,0,82
83,20965300,20965300,0,83
84,2973650,2973650,0,84
85,21465300,21465300,0,85
86,43182900,43182900,0,86
87,37758100,37758100,0,87
88,1546780,1546780,0,88
89,12018700,12018700,0,89
90,22023700,22023700,0,90
91,6523760,6523760,0,91
92,437147,437147,0,92
93,6568100,6568100,0,93
94,3942200,3942200,0,94
95,821966,821966,0,95
96,8471180,8471180,0,96
97,9564560,9564560,0,97
98,16185400,16185400,0,98
99,9901740,9901740,0,99
100,37164000,37164000,0,100
101,22179200,22179200,0,101
102,18944300,18944300,0,102
103,6070680,6070680,0,103
104,10807300,10807300,0,104
105,8704840,8704840,0,105
106,6256530,6256530,0,106
107,11474400,11474400,0,107
108,7493790,7493790,0,108
109,14591100,14591100,0,109
110,20635900,20635900,0,110
111,14260700,14260700,0,111
112,16332900,16332900,0,112
113,27020300,27020300,0,113
114,11461600,11461600,0,114
115,13238200,13238200,0,115
116,14318100,14318100,0,116
117,15245600,15245600,0,117
118,30848300,30848300,0,118
119,5550400,5550400,0,119
120,4344520,4344520,0,120
121,17798400,17798400,0,121
122,29456800,29456800,0,122
123,28871900,28871900,0,123
124,32749300,32749300,0,124
125,18589700,18589700,0,125
126,29459600,29459600,0,126
127,64497700,64497700,0,127
128,27509900,27509900,0,128
129,7035650,7035650,0,129
130,25361900,25361900,0,130
131,30534200,30534200,0,131
132,9374010,9374010,0,132
133,50225000,50225000,0,133
134,27123200,27123200,0,134
135,22942000,22942000,0,135
136,69962500,69962500,0,136
137,134770000,134770000,0,137
138,182702000,182702000,0,138
139,161570000,161570000,0,139
140,100893000,100893000,0,140
141,217450000,217450000,0,141
142,106218000,106218000,0,142
143,334705000,334705000,0,143
144,340475000,340475000,0,144
145,77781900,77781900,0,145
146,162037000,162037000,0,146
147,16787400,16787400,0,147
148,786117,786117,0,148
149,227134000,225478000,1656000,149
150,61694900,61694900,0,150
151,39067300,39067300,0,151
152,19461600,19461600,0,152
153,85458800,85458800,0,153
154,39262300,39262300,0,154
155,33801300,33801300,0,155
156,43467400,43467400,0,156
157,44758300,44758300,0,157
158,120900000,120900000,0,158
159,143033000,143033000,0,159
160,38196700,38196700,0,160
161,55034700,55034700,0,161
162,38169500,38169500,0,162
163,75316900,75316900,0,163
164,92269800,92269800,0,164
165,96444100,96444100,0,165
166,767842,767842,0,166
167,464297,464297,0,167
168,1447050,1447050,0,168
169,10865500,10865500,0,169
170,2421400,2421400,0,170
171,162034000,162034000,0,171
172,88083400,88083400,0,172
173,68611300,68611300,0,173
174,64694800,64694800,0,174
175,865495,865495,0,175
176,49604200,49604200,0,176
177,1569590,1569590,0,177
178,3597730,3597730,0,178
179,39946500,39946500,0,179
180,42345200,42345200,0,180
181,39752400,39752400,0,181
182,73749200,73749200,0,182
183,56462900,56462900,0,183
184,19545100,19545100,0,184
185,15545200,15545200,0,185
186,60632400,60632400,0,186
187,67547600,67547600,0,187
188,73233800,73233800,0,188
189,11863800,11863800,0,189
190,26851900,26784600,67300,190
191,27002700,27002700,0,191
192,1656410,1656410,0,192
193,2538620,2538620,0,193
194,5727320,5727320,0,194
195,9853400,9853400,0,195
196,2095790,2095790,0,196
197,6313850,6313850,0,197
198,8488630,8488630,0,198
199,2359260,2359260,0,199
200,4207870,4207870,0,200
201,3348740,3348740,0,201
202,98267700,98267700,0,202
203,6593570,6593570,0,203
204,182068000,182068000,0,204
205,35433900,35433900,0,205
206,65041000,63590000,1451000,206
207,15131900,15131900,0,207
208,54461400,54461400,0,208
209,12390600,12390600,0,209
210,9740060,11191000,-1450940,210
211,145221000,145221000,0,211
212,43754300,48162600,-4408300,212
213,82992700,78584400,4408300,213
214,78051000,109930000,-31879000,214
215,36382300,36382300,0,215
216,91709800,91709800,0,216
217,96908700,96908700,0,217
218,35592900,35592900,0,218
219,25809500,25809500,0,219
220,64279900,117330000,-53050100,220
221,94893400,94893400,0,221
222,35373300,35373300,0,222
223,104392000,115206000,-10814000,223
224,17269000,17269000,0,224
225,30161000,30161000,0,225
226,4729230,6301440,-1572210,226
227,22600300,22600300,0,227
228,55301900,55301900,0,228
229,21622900,21622900,0,229
230,51506300,51506300,0,230
231,20912700,20912700,0,231
232,39085800,39085800,0,232
233,33306300,33306300,0,233
234,11505500,11505500,0,234
235,10567200,10567200,0,235
236,9267860,9267860,0,236
237,11116100,11116100,0,237
238,12085500,12085500,0,238
239,7351990,7351990,0,239
240,18075400,18075400,0,240
241,62767100,62767100,0,241
242,10164200,10164200,0,242
243,14463300,11905700,2557600,243
244,24621200,24621200,0,244
245,32865000,32865000,0,245
246,16018500,16018500,0,246
247,105171000,105171000,0,247
248,39650300,39650300,0,248
249,116393000,109504000,6889000,249
250,53865100,49245600,4619500,250
251,31747800,30945100,802700,251
252,21014700,21014700,0,252
253,15999900,17581900,-1582000,253
254,31927500,23487000,8440500,254
255,22940700,52371300,-29430600,255
256,46046200,14079500,31966700,256
257,39094700,51849800,-12755100,257
258,69565700,106126000,-36560300,258
259,25492300,18235700,7256600,259
260,54462900,51805200,2657700,260
261,6329510,6329510,0,261
262,22230200,29486700,-7256500,262
263,21269600,23927300,-2657700,263
264,5908900,5908900,0,264
265,18103400,18103400,0,265
266,85704300,85704300,0,266
267,24683000,24683000,0,267
268,34551900,34551900,0,268
269,25501900,25501900,0,269
270,33420200,33420200,0,270
271,58187300,58187300,0,271
272,52346600,52346600,0,272
273,93671700,93671700,0,273
274,15498300,15498300,0,274
275,35207200,35207200,0,275
276,57615600,57615600,0,276
277,11424600,11424600,0,277
278,31563700,31563700,0,278
279,19078900,19078900,0,279
280,15318400,15318400,0,280
281,37656500,37656500,0,281
282,16237300,16237300,0,282
283,40105600,40105600,0,283
284,24714500,28316500,-3602000,284
285,3298660,3683250,-384590,285
286,45936200,45936200,0,286
287,61877000,58799200,3077800,287
288,21654700,21654700,0,288
289,3034930,3034930,0,289
290,54866000,54866000,0,290
291,19647000,19647000,0,291
292,68969800,68969800,0,292
293,9350580,9350580,0,293
294,14157700,14157700,0,294
295,15862200,15862200,0,295
296,82733600,82733600,0,296
297,90151700,90151700,0,297
298,128027000,128027000,0,298
