YYYYMMDD HH:MM:SS,MMDD HH,ICM-Hydro compartment->,346,347,348,349,350,351,352,353,354,384,498,572,703,705,726,979,1335,1337,1338,1421,1422,1424
20100101 00:00:00,0101 00,1/1/10 0:00,0.414088554,0.254885024,0.148749338,0.042613652,-0.116589878,-0.116589878,0.014402991,0.145395859,0.145395859,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.079789488,0.079789488,0.0802,0.0802,0.079789488,0.079789488
20100101 01:00:00,0101 01,1/1/10 1:00,0.442572476,0.289771704,0.187904523,0.086037341,-0.066763431,-0.066763431,0.026486639,0.119736708,0.119736708,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.104360355,0.104360355,0.0775,0.0775,0.104360355,0.104360355
20100101 02:00:00,0101 02,1/1/10 2:00,0.368000091,0.210594201,0.105656942,0.000719682,-0.156686208,-0.156686208,-0.052268472,0.052149264,0.052149264,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.050069511,0.050069511,0.0827,0.0827,0.050069511,0.050069511
20100101 03:00:00,0101 03,1/1/10 3:00,0.274313847,0.139873555,0.050246693,-0.039380169,-0.173820461,-0.173820461,-0.085953157,0.001914148,0.001914148,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.030537947,0.030537947,0.0414,0.0414,0.030537947,0.030537947
20100101 04:00:00,0101 04,1/1/10 4:00,0.432107289,0.270960608,0.163529488,0.056098367,-0.105048314,-0.105048314,0.073296062,0.251640437,0.251640437,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.01712613,0.01712613,0.0303,0.0303,0.01712613,0.01712613
20100101 05:00:00,0101 05,1/1/10 5:00,0.424202758,0.249842253,0.133601917,0.01736158,-0.156998925,-0.156998925,0.006690451,0.170379826,0.170379826,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,0.010514599,0.010514599,0.0117,0.0117,0.010514599,0.010514599
20100101 06:00:00,0101 06,1/1/10 6:00,0.340283695,0.181641104,0.075879377,-0.02988235,-0.188524941,-0.188524941,-0.149849534,-0.111174127,-0.111174127,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.078544414,-0.078544414,-0.0307,-0.0307,-0.078544414,-0.078544414
20100101 07:00:00,0101 07,1/1/10 7:00,0.292224707,0.149616981,0.054545163,-0.040526655,-0.183134381,-0.183134381,-0.183666388,-0.184198395,-0.184198395,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.175916338,-0.175916338,-0.1119,-0.1119,-0.175916338,-0.175916338
20100101 08:00:00,0101 08,1/1/10 8:00,0.34621928,0.198887727,0.100666692,0.002445657,-0.144885896,-0.144885896,-0.034684322,0.075517252,0.075517252,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.243357787,-0.243357787,-0.1837,-0.1837,-0.243357787,-0.243357787
20100101 09:00:00,0101 09,1/1/10 9:00,0.342210205,0.175238511,0.063924048,-0.047390415,-0.214362109,-0.214362109,-0.032054273,0.150253564,0.150253564,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.334785627,-0.334785627,-0.3119,-0.3119,-0.334785627,-0.334785627
20100101 10:00:00,0101 10,1/1/10 10:00,0.125224101,0.030051779,-0.033396435,-0.096844649,-0.192016971,-0.192016971,-0.134872591,-0.077728211,-0.077728211,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.332202157,-0.332202157,-0.2963,-0.2963,-0.332202157,-0.332202157
20100101 11:00:00,0101 11,1/1/10 11:00,0.128301078,0.035846351,-0.025790134,-0.087426618,-0.179881345,-0.179881345,-0.159561011,-0.139240676,-0.139240676,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.230097058,-0.230097058,-0.1814,-0.1814,-0.230097058,-0.230097058
