Year,S01,S03,S04,S06,S07,S08,S09,S34,S35
2025,0.033542181,0.061268519,0.047688272,0.033568673,0.03655,0.049883333,0.069883333,0.02725,0.054416667
2026,0.040250617,0.073522222,0.057225926,0.040282408,0.04386,0.05986,0.08386,0.0327,0.0653
2027,0.046959053,0.085775926,0.06676358,0.046996142,0.05117,0.069836667,0.097836667,0.03815,0.076183333
2028,0.05366749,0.09802963,0.076301235,0.053709877,0.05848,0.079813333,0.111813333,0.0436,0.087066667
2029,0.060375926,0.110283333,0.085838889,0.060423612,0.06579,0.08979,0.12579,0.04905,0.09795
2030,0.067084362,0.122537037,0.095376543,0.067137346,0.0731,0.099766667,0.139766667,0.0545,0.108833333
2031,0.075007476,0.137685802,0.106986214,0.074467069,0.081743333,0.111743333,0.155743333,0.06035,0.12085
2032,0.08293059,0.152834568,0.118595885,0.081796791,0.090386667,0.12372,0.17172,0.0662,0.132866667
2033,0.090853704,0.167983333,0.130205556,0.089126514,0.09903,0.135696667,0.187696667,0.07205,0.144883333
2034,0.098776818,0.183132099,0.141815226,0.096456236,0.107673333,0.147673333,0.203673333,0.0779,0.1569
2035,0.106699931,0.198280864,0.153424897,0.103785959,0.116316667,0.15965,0.21965,0.08375,0.168916667
2036,0.114623045,0.21342963,0.165034568,0.111115681,0.12496,0.171626667,0.235626667,0.0896,0.180933333
2037,0.122546159,0.228578395,0.176644239,0.118445403,0.133603333,0.183603333,0.251603333,0.09545,0.19295
2038,0.130469273,0.24372716,0.188253909,0.125775126,0.142246667,0.19558,0.26758,0.1013,0.204966667
2039,0.138392387,0.258875926,0.19986358,0.133104848,0.15089,0.207556667,0.283556667,0.10715,0.216983333
2040,0.146315501,0.274024691,0.211473251,0.140434571,0.159533333,0.219533333,0.299533333,0.113,0.229
2041,0.155453292,0.292068519,0.225154938,0.14810075,0.169176667,0.23451,0.321176667,0.1197,0.243583333
2042,0.164591084,0.310112346,0.238836626,0.155766929,0.17882,0.249486667,0.34282,0.1264,0.258166667
2043,0.173728875,0.328156173,0.252518313,0.163433107,0.188463333,0.264463333,0.364463333,0.1331,0.27275
2044,0.182866667,0.3462,0.2662,0.171099286,0.198106667,0.27944,0.386106667,0.1398,0.287333333
2045,0.192004458,0.364243827,0.279881687,0.178765465,0.20775,0.294416667,0.40775,0.1465,0.301916667
2046,0.20114225,0.382287654,0.293563374,0.186431644,0.217393333,0.309393333,0.429393333,0.1532,0.3165
2047,0.210280041,0.400331481,0.307245062,0.194097823,0.227036667,0.32437,0.451036667,0.1599,0.331083333
2048,0.219417833,0.418375309,0.320926749,0.201764002,0.23668,0.339346667,0.47268,0.1666,0.345666667
2049,0.228555624,0.436419136,0.334608436,0.209430181,0.246323333,0.354323333,0.494323333,0.1733,0.36025
2050,0.237693416,0.454462963,0.348290123,0.21709636,0.255966667,0.3693,0.515966667,0.18,0.374833333
2051,0.248045885,0.475401852,0.364043827,0.225145254,0.26761,0.388276667,0.54261,0.185966667,0.387016667
2052,0.258398354,0.496340741,0.379797531,0.233194148,0.279253333,0.407253333,0.569253333,0.191933333,0.3992
2053,0.268750823,0.51727963,0.395551235,0.241243043,0.290896667,0.42623,0.595896667,0.1979,0.411383333
2054,0.279103292,0.538218519,0.411304938,0.249291937,0.30254,0.445206667,0.62254,0.203866667,0.423566667
2055,0.289455761,0.559157407,0.427058642,0.257340831,0.314183333,0.464183333,0.649183333,0.209833333,0.43575
2056,0.29980823,0.580096296,0.442812346,0.265389726,0.325826667,0.48316,0.675826667,0.2158,0.447933333
2057,0.3101607,0.601035185,0.458566049,0.27343862,0.33747,0.502136667,0.70247,0.221766667,0.460116667
2058,0.320513169,0.621974074,0.474319753,0.281487514,0.349113333,0.521113333,0.729113333,0.227733333,0.4723
2059,0.330865638,0.642912963,0.490073457,0.289536409,0.360756667,0.54009,0.755756667,0.2337,0.484483333
2060,0.341218107,0.663851852,0.50582716,0.297585303,0.3724,0.559066667,0.7824,0.239666667,0.496666667
2061,0.352785254,0.687685802,0.523652881,0.305684937,0.385043333,0.580043333,0.813376667,0.24685,0.511383333
2062,0.364352401,0.711519753,0.541478601,0.313784571,0.397686667,0.60102,0.844353333,0.254033333,0.5261
2063,0.375919547,0.735353704,0.559304321,0.321884206,0.41033,0.621996667,0.87533,0.261216667,0.540816667
2064,0.387486694,0.759187654,0.577130041,0.32998384,0.422973333,0.642973333,0.906306667,0.2684,0.555533333
2065,0.399053841,0.783021605,0.594955761,0.338083474,0.435616667,0.66395,0.937283333,0.275583333,0.57025
2066,0.410620988,0.806855556,0.612781481,0.346183108,0.44826,0.684926667,0.96826,0.282766667,0.584966667
2067,0.422188134,0.830689506,0.630607202,0.354282742,0.460903333,0.705903333,0.999236667,0.28995,0.599683333
2068,0.433755281,0.854523457,0.648432922,0.362382376,0.473546667,0.72688,1.030213333,0.297133333,0.6144
2069,0.445322428,0.878357407,0.666258642,0.37048201,0.48619,0.747856667,1.06119,0.304316667,0.629116667
2070,0.456889575,0.902191358,0.684084362,0.378581644,0.498833333,0.768833333,1.092166667,0.3115,0.643833333
2071,0.469671399,0.92892037,0.703982099,0.385754708,0.513143333,0.792476667,1.126476667,0.318933333,0.659933333
2072,0.482453224,0.955649383,0.723879835,0.392927771,0.527453333,0.81612,1.160786667,0.326366667,0.676033333
2073,0.495235048,0.982378395,0.743777572,0.400100834,0.541763333,0.839763333,1.195096667,0.3338,0.692133333
2074,0.508016872,1.009107407,0.763675309,0.407273897,0.556073333,0.863406667,1.229406667,0.341233333,0.708233333
2075,0.520798697,1.03583642,0.783573045,0.414446961,0.570383333,0.88705,1.263716667,0.348666667,0.724333333
2076,0.533580521,1.062565432,0.803470782,0.421620024,0.584693333,0.910693333,1.298026667,0.3561,0.740433333
2077,0.546362346,1.089294444,0.823368519,0.428793087,0.599003333,0.934336667,1.332336667,0.363533333,0.756533333
2078,0.55914417,1.116023457,0.843266255,0.43596615,0.613313333,0.95798,1.366646667,0.370966667,0.772633333
